Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.7e-05,18.513628,[120  24] ; [29 25],[108.36363636  35.63636364] ; [40.63636364 13.36363636],1
s2,1,3.2e-05,17.307193,[111  33] ; [25 29],[98.90909091 45.09090909] ; [37.09090909 16.90909091],1
v4,1,0.001816,9.726458,[142   1] ; [49  5],[138.64467005   4.35532995] ; [52.35532995  1.64467005],0
s3,1,0.002127,9.436216,[116  28] ; [32 22],[107.63636364  36.36363636] ; [40.36363636 13.63636364],0
p5,1,0.010366,6.570908,[ 21 121] ; [ 1 53],[ 15.93877551 126.06122449] ; [ 6.06122449 47.93877551],0
p9,1,0.026811,4.902946,[133  11] ; [44 10],[128.72727273  15.27272727] ; [48.27272727  5.72727273],0
n5,1,0.032724,4.560144,[113  30] ; [34 19],[107.25  35.75] ; [39.75 13.25],0
v2,1,0.038313,4.291078,[65 76] ; [15 36],[58.75 82.25] ; [21.25 29.75],0
u1,1,0.044673,4.030937,[ 38 106] ; [ 7 47],[ 32.72727273 111.27272727] ; [12.27272727 41.72727273],0
r2,1,0.053108,3.740526,[136   4] ; [48  5],[133.47150259   6.52849741] ; [50.52849741  2.47150259],0
n1,1,0.054586,3.694682,[20 15] ; [3 9],[17.12765957 17.87234043] ; [5.87234043 6.12765957],0
s5,1,0.055538,3.665852,[61 75] ; [15 36],[55.27272727 80.72727273] ; [20.72727273 30.27272727],0
a2,1,0.058012,3.593333,[ 40 104] ; [ 8 46],[ 34.90909091 109.09090909] ; [13.09090909 40.90909091],0
s6,1,0.085064,2.965387,[129  14] ; [43 10],[125.48979592  17.51020408] ; [46.51020408  6.48979592],0
n6,1,0.093173,2.818672,[125  18] ; [42 12],[121.22335025  21.77664975] ; [45.77664975  8.22335025],0
p11,1,0.099597,2.711978,[110  34] ; [47  7],[114.18181818  29.81818182] ; [42.81818182 11.18181818],0
d4,1,0.103981,2.643394,[119  25] ; [39 15],[114.90909091  29.09090909] ; [43.09090909 10.90909091],0
a5,1,0.116796,2.459772,[114  30] ; [37 17],[109.81818182  34.18181818] ; [41.18181818 12.81818182],0
a6,1,0.191964,1.702483,[97 47] ; [31 23],[93.09090909 50.90909091] ; [34.90909091 19.09090909],0
b1,1,0.204547,1.609607,[55 89] ; [26 28],[58.90909091 85.09090909] ; [22.09090909 31.90909091],0
a4,1,0.206903,1.592967,[65 79] ; [19 35],[61.09090909 82.90909091] ; [22.90909091 31.09090909],0
p10,1,0.234781,1.411663,[125  17] ; [44 10],[122.43877551  19.56122449] ; [46.56122449  7.43877551],0
a8,1,0.253975,1.301307,[ 25 108] ; [ 6 45],[ 22.4076087 110.5923913] ; [ 8.5923913 42.4076087],0
r3,1,0.265159,1.241623,[136   8] ; [53  1],[137.45454545   6.54545455] ; [51.54545455  2.45454545],0
s1,1,0.330595,0.946564,[  7 135] ; [ 1 53],[  5.79591837 136.20408163] ; [ 2.20408163 51.79591837],0
