Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.735144,[ 8 69] ; [18 17],[17.875 59.125] ; [ 8.125 26.875],1
p2,1,0.000102,15.100621,[34 44] ; [29  6],[43.48672566 34.51327434] ; [19.51327434 15.48672566],1
p6,1,0.001118,10.620662,[ 7 69] ; [12 23],[13.00900901 62.99099099] ; [ 5.99099099 29.00900901],0
s8,1,0.001481,10.10197,[ 9 69] ; [13 22],[15.18584071 62.81415929] ; [ 6.81415929 28.18584071],0
s6,1,0.005945,7.566872,[23 54] ; [20 15],[29.5625 47.4375] ; [13.4375 21.5625],0
d4,1,0.010172,6.604516,[48 30] ; [30  5],[53.84070796 24.15929204] ; [24.15929204 10.84070796],0
d1,1,0.011598,6.371294,[27 51] ; [21 14],[33.13274336 44.86725664] ; [14.86725664 20.13274336],0
v4,1,0.014763,5.944548,[52 26] ; [31  4],[57.2920354 20.7079646] ; [25.7079646  9.2920354],0
d5,1,0.017923,5.603648,[47 31] ; [29  6],[52.46017699 25.53982301] ; [23.53982301 11.46017699],0
r4,1,0.022814,5.182596,[31 47] ; [22 13],[36.5840708 41.4159292] ; [16.4159292 18.5840708],0
s2,1,0.024304,5.072778,[21 57] ; [17 18],[26.2300885 51.7699115] ; [11.7699115 23.2300885],0
r3,1,0.025335,5.000866,[53 24] ; [31  4],[57.75 19.25] ; [26.25  8.75],0
n6,1,0.026565,4.918886,[51 27] ; [30  5],[55.91150442 22.08849558] ; [25.08849558  9.91150442],0
p9,1,0.027246,4.875125,[47 25] ; [30  5],[51.81308411 20.18691589] ; [25.18691589  9.81308411],0
d3,1,0.029629,4.730715,[34 44] ; [23 12],[39.34513274 38.65486726] ; [17.65486726 17.34513274],0
n4,1,0.034968,4.446733,[44 34] ; [27  8],[49.00884956 28.99115044] ; [21.99115044 13.00884956],0
a4,1,0.040091,4.214026,[24 53] ; [18 17],[28.875 48.125] ; [13.125 21.875],0
n5,1,0.053155,3.739052,[48 30] ; [28  7],[52.46017699 25.53982301] ; [23.53982301 11.46017699],0
