Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000981,10.863605,[2 8] ; [22  6],[6.31578947 3.68421053] ; [17.68421053 10.31578947],1
s8,1,0.016058,5.796508,[2 8] ; [18 10],[5.26315789 4.73684211] ; [14.73684211 13.26315789],0
s1,1,0.019407,5.464496,[3 7] ; [ 1 27],[1.05263158 8.94736842] ; [ 2.94736842 25.05263158],0
p6,1,0.054364,3.701478,[2 8] ; [16 13],[4.61538462 5.38461538] ; [13.38461538 15.61538462],0
b4,1,0.116985,2.457234,[8 2] ; [15 14],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
v1,1,0.224244,1.477005,[2 8] ; [12 17],[3.58974359 6.41025641] ; [10.41025641 18.58974359],0
b5,1,0.224898,1.472838,[6 4] ; [11 18],[4.35897436 5.64102564] ; [12.64102564 16.35897436],0
a3,1,0.234713,1.412069,[7 3] ; [14 15],[5.38461538 4.61538462] ; [15.61538462 13.38461538],0
a6,1,0.234713,1.412069,[7 3] ; [14 15],[5.38461538 4.61538462] ; [15.61538462 13.38461538],0
r3,1,0.238897,1.387094,[8 2] ; [27  2],[8.97435897 1.02564103] ; [26.02564103  2.97435897],0
r4,1,0.238897,1.387094,[8 2] ; [27  2],[8.97435897 1.02564103] ; [26.02564103  2.97435897],0
r1,1,0.271174,1.210797,[7 3] ; [24  4],[8.15789474 1.84210526] ; [22.84210526  5.15789474],0
p9,1,0.271174,1.210797,[7 3] ; [24  4],[8.15789474 1.84210526] ; [22.84210526  5.15789474],0
p10,1,0.271174,1.210797,[7 3] ; [24  4],[8.15789474 1.84210526] ; [22.84210526  5.15789474],0
a7,1,0.280986,1.162315,[5 5] ; [20  9],[6.41025641 3.58974359] ; [18.58974359 10.41025641],0
p1,1,0.339702,0.911555,[1 9] ; [ 7 22],[2.05128205 7.94871795] ; [ 5.94871795 23.05128205],0
v2,1,0.351351,0.868571,[4 6] ; [16 12],[5.26315789 4.73684211] ; [14.73684211 13.26315789],0
p2,1,0.388904,0.742367,[7 3] ; [24  5],[7.94871795 2.05128205] ; [23.05128205  5.94871795],0
s4,1,0.392176,0.732184,[2 8] ; [10 19],[3.07692308 6.92307692] ; [ 8.92307692 20.07692308],0
s7,1,0.418741,0.653846,[6 3] ; [20  5],[6.88235294 2.11764706] ; [19.11764706  5.88235294],0
p4,1,0.503445,0.447667,[5 5] ; [18 11],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
b1,1,0.635454,0.224737,[5 5] ; [12 17],[4.35897436 5.64102564] ; [12.64102564 16.35897436],0
d3,1,0.635672,0.224447,[2 8] ; [ 8 21],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
a4,1,0.635672,0.224447,[2 8] ; [ 8 21],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
n5,1,0.757027,0.09572,[9 1] ; [25  4],[8.71794872 1.28205128] ; [25.28205128  3.71794872],0
p3,1,0.777231,0.080049,[5 5] ; [13 16],[4.61538462 5.38461538] ; [13.38461538 15.61538462],0
p11,1,0.788843,0.071724,[8 2] ; [22  7],[7.69230769 2.30769231] ; [22.30769231  6.69230769],0
v3,1,0.790643,0.070478,[4 6] ; [13 16],[4.35897436 5.64102564] ; [12.64102564 16.35897436],0
d5,1,0.790643,0.070478,[4 6] ; [13 16],[4.35897436 5.64102564] ; [12.64102564 16.35897436],0
b2,1,0.828812,0.046753,[1 2] ; [6 9],[1.16666667 1.83333333] ; [5.83333333 9.16666667],0
b3,1,0.828812,0.046753,[1 2] ; [6 9],[1.16666667 1.83333333] ; [5.83333333 9.16666667],0
s3,1,0.870754,0.026472,[5 4] ; [17 12],[5.21052632 3.78947368] ; [16.78947368 12.21052632],0
n4,1,0.880726,0.022515,[8 2] ; [23  5],[8.15789474 1.84210526] ; [22.84210526  5.15789474],0
p5,1,0.883708,0.021395,[3 7] ; [ 8 21],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
d2,1,0.883708,0.021395,[3 7] ; [ 8 21],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
s2,1,0.907679,0.013448,[6 4] ; [18 11],[6.15384615 3.84615385] ; [17.84615385 11.15384615],0
a5,1,0.939048,0.005847,[6 4] ; [17 12],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
