Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.1e-05,18.141795,[88  7] ; [6 6],[83.45794393 11.54205607] ; [10.54205607  1.45794393],1
r1,1,0.000121,14.774118,[74 21] ; [3 9],[68.36448598 26.63551402] ; [8.63551402 3.36448598],1
v4,1,0.006063,7.531432,[91  4] ; [9 3],[88.78504673  6.21495327] ; [11.21495327  0.78504673],0
r3,1,0.028001,4.828025,[89  6] ; [9 3],[87.00934579  7.99065421] ; [10.99065421  1.00934579],0
s3,1,0.029904,4.71483,[66 25] ; [5 7],[62.72815534 28.27184466] ; [8.27184466 3.72815534],0
n6,1,0.030262,4.694331,[80 15] ; [7 5],[77.24299065 17.75700935] ; [9.75700935 2.24299065],0
s7,1,0.032376,4.578491,[52 38] ; [3 9],[48.52941176 41.47058824] ; [6.47058824 5.52941176],0
a7,1,0.084578,2.974653,[63 31] ; [5 7],[60.30188679 33.69811321] ; [7.69811321 4.30188679],0
v1,1,0.09551,2.778959,[47 46] ; [3 9],[44.28571429 48.71428571] ; [5.71428571 6.28571429],0
n2,1,0.111824,2.528259,[17  5] ; [1 2],[15.84  6.16] ; [2.16 0.84],0
n4,1,0.127231,2.325967,[68 27] ; [6 6],[65.70093458 29.29906542] ; [8.29906542 3.70093458],0
v3,1,0.1348,2.236335,[36 57] ; [ 2 10],[33.65714286 59.34285714] ; [4.34285714 7.65714286],0
v2,1,0.155634,2.01614,[42 48] ; [3 9],[39.70588235 50.29411765] ; [5.29411765 6.70588235],0
p2,1,0.171525,1.869564,[72 22] ; [7 5],[70.05660377 23.94339623] ; [8.94339623 3.05660377],0
p9,1,0.173817,1.849711,[78 16] ; [8 4],[76.26415094 17.73584906] ; [9.73584906 2.26415094],0
a1,1,0.218151,1.516495,[ 2 93] ; [ 1 11],[ 2.6635514 92.3364486] ; [ 0.3364486 11.6635514],0
b4,1,0.225426,1.469492,[57 38] ; [5 7],[55.04672897 39.95327103] ; [6.95327103 5.04672897],0
n3,1,0.238149,1.391519,[15  7] ; [1 2],[14.08  7.92] ; [1.92 1.08],0
p7,1,0.248166,1.3336,[53 39] ; [9 3],[54.84615385 37.15384615] ; [7.15384615 4.84615385],0
s5,1,0.264965,1.242628,[38 53] ; [3 9],[36.22330097 54.77669903] ; [4.77669903 7.22330097],0
u3,1,0.268925,1.222222,[28 21] ; [2 4],[26.72727273 22.27272727] ; [3.27272727 2.72727273],0
d3,1,0.334829,0.93013,[41 53] ; [7 5],[42.56603774 51.43396226] ; [5.43396226 6.56603774],0
s4,1,0.336553,0.923519,[20 75] ; [4 8],[21.30841121 73.69158879] ; [2.69158879 9.30841121],0
p5,1,0.432081,0.617223,[15 79] ; [3 9],[15.96226415 78.03773585] ; [2.03773585 9.96226415],0
b1,1,0.461826,0.541466,[37 58] ; [6 6],[38.17757009 56.82242991] ; [4.82242991 7.17757009],0
b5,1,0.473274,0.514321,[53 42] ; [8 4],[54.1588785 40.8411215] ; [6.8411215 5.1588785],0
n5,1,0.49299,0.469994,[72 23] ; [8 4],[71.02803738 23.97196262] ; [8.97196262 3.02803738],0
p3,1,0.497321,0.460649,[41 53] ; [4 8],[39.90566038 54.09433962] ; [5.09433962 6.90566038],0
p6,1,0.499978,0.454982,[32 60] ; [3 9],[30.96153846 61.03846154] ; [4.03846154 7.96153846],0
p1,1,0.53922,0.376988,[14 80] ; [ 1 11],[13.30188679 80.69811321] ; [ 1.69811321 10.30188679],0
s8,1,0.560639,0.338599,[40 55] ; [4 8],[39.06542056 55.93457944] ; [4.93457944 7.06542056],0
s2,1,0.568474,0.325243,[54 39] ; [8 4],[54.91428571 38.08571429] ; [7.08571429 4.91428571],0
d2,1,0.611484,0.25802,[22 73] ; [ 2 10],[21.30841121 73.69158879] ; [2.69158879 9.30841121],0
p10,1,0.659142,0.194567,[74 18] ; [9 3],[73.42307692 18.57692308] ; [9.57692308 2.42307692],0
p11,1,0.665637,0.186748,[74 21] ; [10  2],[74.57943925 20.42056075] ; [9.42056075 2.57943925],0
a8,1,0.683343,0.166387,[12 76] ; [2 9],[12.44444444 75.55555556] ; [1.55555556 9.44444444],0
s1,1,0.685451,0.164054,[ 5 87] ; [ 1 11],[ 5.30769231 86.69230769] ; [ 0.69230769 11.30769231],0
p12,1,0.728713,0.120297,[11 83] ; [ 1 11],[10.64150943 83.35849057] ; [ 1.35849057 10.64150943],0
a5,1,0.780688,0.077519,[51 43] ; [6 6],[50.54716981 43.45283019] ; [6.45283019 5.54716981],0
d1,1,0.789986,0.070931,[ 6 89] ; [ 1 11],[ 6.21495327 88.78504673] ; [ 0.78504673 11.21495327],0
d4,1,0.843103,0.039175,[52 42] ; [7 5],[52.32075472 41.67924528] ; [6.67924528 5.32075472],0
p8,1,0.843103,0.039175,[52 42] ; [7 5],[52.32075472 41.67924528] ; [6.67924528 5.32075472],0
a6,1,0.846978,0.03724,[60 34] ; [8 4],[60.30188679 33.69811321] ; [7.69811321 4.30188679],0
a3,1,0.91621,0.011069,[45 48] ; [6 6],[45.17142857 47.82857143] ; [5.82857143 6.17142857],0
p4,1,0.91621,0.011069,[48 45] ; [6 6],[47.82857143 45.17142857] ; [6.17142857 5.82857143],0
