Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.061899,[104   9] ; [20 17],[93.41333333 19.58666667] ; [30.58666667  6.41333333],1
d5,1,1.6e-05,18.562293,[96 17] ; [18 18],[86.45637584 26.54362416] ; [27.54362416  8.45637584],1
a3,1,4.1e-05,16.809228,[80 32] ; [12 24],[69.62162162 42.37837838] ; [22.37837838 13.62162162],1
a5,1,8e-05,15.552499,[78 35] ; [12 25],[67.8 45.2] ; [22.2 14.8],1
s6,1,8.9e-05,15.346911,[84 27] ; [14 21],[74.50684932 36.49315068] ; [23.49315068 11.50684932],1
d4,1,0.00011,14.948931,[95 17] ; [20 17],[86.44295302 25.55704698] ; [28.55704698  8.44295302],1
d1,1,0.000152,14.341705,[68 45] ; [ 9 28],[58.00666667 54.99333333] ; [18.99333333 18.00666667],1
a7,1,0.001306,10.33373,[88 25] ; [18 18],[80.38926174 32.61073826] ; [25.61073826 10.38926174],0
r3,1,0.003512,8.520256,[105   6] ; [29  8],[100.5  10.5] ; [33.5  3.5],0
r2,1,0.003927,8.317368,[108   5] ; [29  7],[103.89932886   9.10067114] ; [33.10067114  2.89932886],0
s7,1,0.003951,8.306422,[59 45] ; [10 25],[51.62589928 52.37410072] ; [17.37410072 17.62589928],0
a4,1,0.012079,6.299257,[54 59] ; [ 9 28],[47.46 65.54] ; [15.54 21.46],0
v2,1,0.015335,5.877552,[56 50] ; [11 26],[49.66433566 56.33566434] ; [17.33566434 19.66433566],0
p10,1,0.020843,5.339898,[74 36] ; [17 20],[68.0952381 41.9047619] ; [22.9047619 14.0952381],0
a6,1,0.026801,4.903555,[75 38] ; [17 20],[69.30666667 43.69333333] ; [22.69333333 14.30666667],0
s3,1,0.040999,4.17606,[69 44] ; [15 21],[63.70469799 49.29530201] ; [20.29530201 15.70469799],0
a2,1,0.047194,3.938456,[30 83] ; [ 4 33],[25.61333333 87.38666667] ; [ 8.38666667 28.61333333],0
s8,1,0.058193,3.588153,[50 62] ; [10 27],[45.10067114 66.89932886] ; [14.89932886 22.10067114],0
p8,1,0.062612,3.466801,[47 64] ; [ 9 27],[42.28571429 68.71428571] ; [13.71428571 22.28571429],0
n4,1,0.065654,3.388463,[79 33] ; [20 17],[74.41610738 37.58389262] ; [24.58389262 12.41610738],0
