Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.2e-05,17.983965,[ 8 41] ; [36 29],[18.9122807 30.0877193] ; [25.0877193 39.9122807],1
p11,1,5.5e-05,16.25473,[14 36] ; [44 23],[24.78632479 25.21367521] ; [33.21367521 33.78632479],1
s2,1,7.3e-05,15.733418,[ 4 46] ; [27 39],[13.36206897 36.63793103] ; [17.63793103 48.36206897],1
p2,1,0.000369,12.683776,[18 31] ; [45 19],[27.31858407 21.68141593] ; [35.68141593 28.31858407],1
n6,1,0.002415,9.204138,[20 29] ; [45 20],[27.93859649 21.06140351] ; [37.06140351 27.93859649],0
s6,1,0.0032,8.689872,[ 9 41] ; [29 37],[16.37931034 33.62068966] ; [21.62068966 44.37931034],0
p9,1,0.005449,7.723891,[21 26] ; [46 19],[28.11607143 18.88392857] ; [38.88392857 26.11607143],0
d4,1,0.012885,6.184812,[28 22] ; [52 15],[34.18803419 15.81196581] ; [45.81196581 21.18803419],0
s8,1,0.014984,5.918302,[ 5 45] ; [19 48],[10.25641026 39.74358974] ; [13.74358974 53.25641026],0
p6,1,0.01816,5.580676,[ 4 45] ; [16 47],[ 8.75 40.25] ; [11.25 51.75],0
s3,1,0.022006,5.245287,[11 37] ; [28 36],[16.71428571 31.28571429] ; [22.28571429 41.71428571],0
s7,1,0.032569,4.568285,[ 8 39] ; [22 40],[12.93577982 34.06422018] ; [17.06422018 44.93577982],0
p1,1,0.072384,3.228103,[ 7 43] ; [ 3 63],[ 4.31034483 45.68965517] ; [ 5.68965517 60.31034483],0
p10,1,0.078117,3.103653,[21 28] ; [37 25],[25.6036036 23.3963964] ; [32.3963964 29.6036036],0
n3,1,0.079097,3.083367,[11 17] ; [17 10],[14.25454545 13.74545455] ; [13.74545455 13.25454545],0
b5,1,0.0827,3.011027,[21 29] ; [39 28],[25.64102564 24.35897436] ; [34.35897436 32.64102564],0
n2,1,0.100652,2.695187,[14 14] ; [20  8],[17. 11.] ; [17. 11.],0
v1,1,0.100987,2.68989,[15 35] ; [28 34],[19.19642857 30.80357143] ; [23.80357143 38.19642857],0
a7,1,0.103149,2.656167,[20 30] ; [37 30],[24.35897436 25.64102564] ; [32.64102564 34.35897436],0
v4,1,0.113684,2.502248,[26 24] ; [42 21],[30.08849558 19.91150442] ; [37.91150442 25.08849558],0
d1,1,0.119375,2.425498,[16 34] ; [31 36],[20.08547009 29.91452991] ; [26.91452991 40.08547009],0
b1,1,0.126427,2.335842,[31 19] ; [32 35],[26.92307692 23.07692308] ; [36.07692308 30.92307692],0
a1,1,0.146054,2.112985,[ 8 42] ; [ 5 62],[ 5.55555556 44.44444444] ; [ 7.44444444 59.55555556],0
s5,1,0.153155,2.040541,[ 5 45] ; [13 53],[ 7.75862069 42.24137931] ; [10.24137931 55.75862069],0
n5,1,0.169393,1.888303,[34 16] ; [36 29],[30.43478261 19.56521739] ; [39.56521739 25.43478261],0
p4,1,0.171946,1.865899,[14 35] ; [27 39],[17.46956522 31.53043478] ; [23.53043478 42.46956522],0
d5,1,0.173011,1.85666,[29 21] ; [47 20],[32.47863248 17.52136752] ; [43.52136752 23.47863248],0
