Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,29.807046,[  9 227] ; [18 56],[ 20.55483871 215.44516129] ; [ 6.44516129 67.55483871],1
s6,1,1e-06,24.175346,[ 88 149] ; [51 22],[106.26774194 130.73225806] ; [32.73225806 40.26774194],1
s4,1,0.000317,12.968589,[ 13 222] ; [14 59],[ 20.60064935 214.39935065] ; [ 6.39935065 66.60064935],1
p12,1,0.00181,9.732888,[  7 229] ; [ 9 65],[ 12.18064516 223.81935484] ; [ 3.81935484 70.18064516],0
p3,1,0.003604,8.473449,[101 135] ; [46 28],[111.90967742 124.09032258] ; [35.09032258 38.90967742],0
s8,1,0.006189,7.494335,[ 57 179] ; [30 44],[ 66.23225806 169.76774194] ; [20.76774194 53.23225806],0
s7,1,0.00966,6.696574,[ 57 168] ; [29 41],[ 65.59322034 159.40677966] ; [20.40677966 49.59322034],0
p6,1,0.012542,6.232612,[ 65 169] ; [32 42],[ 73.69480519 160.30519481] ; [23.30519481 50.69480519],0
b5,1,0.015508,5.857809,[151  86] ; [36 39],[142.04807692  94.95192308] ; [44.95192308 30.04807692],0
n6,1,0.02082,5.341823,[186  50] ; [68  7],[192.74598071  43.25401929] ; [61.25401929 13.74598071],0
p4,1,0.034849,4.452544,[122 114] ; [48 25],[129.8381877 106.1618123] ; [40.1618123 32.8381877],0
p10,1,0.03648,4.37452,[176  60] ; [63 10],[182.53721683  53.46278317] ; [56.46278317 16.53721683],0
p7,1,0.037285,4.337345,[132 101] ; [52 22],[139.64820847  93.35179153] ; [44.35179153 29.64820847],0
p1,1,0.037612,4.322477,[ 12 224] ; [ 9 66],[ 15.93569132 220.06430868] ; [ 5.06430868 69.93569132],0
u1,1,0.050554,3.822987,[ 34 203] ; [18 57],[ 39.5 197.5] ; [12.5 62.5],0
b2,1,0.052278,3.766849,[44 97] ; [22 25],[49.5 91.5] ; [16.5 30.5],0
b3,1,0.052278,3.766849,[44 97] ; [22 25],[49.5 91.5] ; [16.5 30.5],0
n4,1,0.058689,3.574041,[170  67] ; [62 13],[176.23076923  60.76923077] ; [55.76923077 19.23076923],0
n5,1,0.079761,3.069762,[160  75] ; [59 16],[166.01612903  68.98387097] ; [52.98387097 22.01612903],0
a8,1,0.109519,2.561149,[ 22 187] ; [12 55],[ 25.74637681 183.25362319] ; [ 8.25362319 58.74637681],0
p9,1,0.116595,2.462471,[180  56] ; [62 11],[184.82847896  51.17152104] ; [57.17152104 15.82847896],0
n3,1,0.126969,2.329175,[35 21] ; [14  3],[37.5890411 18.4109589] ; [11.4109589  5.5890411],0
a6,1,0.135217,2.231558,[173  64] ; [48 27],[167.875  69.125] ; [53.125 21.875],0
v2,1,0.178461,1.810391,[132  96] ; [50 25],[136.95049505  91.04950495] ; [45.04950495 29.95049505],0
d2,1,0.183815,1.766508,[104 133] ; [39 35],[108.97427653 128.02572347] ; [34.02572347 39.97427653],0
p8,1,0.222683,1.486999,[114 117] ; [42 31],[118.53947368 112.46052632] ; [37.46052632 35.53947368],0
a7,1,0.227116,1.458829,[180  57] ; [51 23],[176.03536977  60.96463023] ; [54.96463023 19.03536977],0
r4,1,0.236296,1.402558,[218  19] ; [72  3],[220.28846154  16.71153846] ; [69.71153846  5.28846154],0
s2,1,0.256415,1.288008,[ 26 209] ; [12 63],[ 28.80645161 206.19354839] ; [ 9.19354839 65.80645161],0
u2,1,0.265505,1.239825,[43 30] ; [10 12],[40.72631579 32.27368421] ; [12.27368421  9.72631579],0
n1,1,0.305491,1.050068,[16 41] ; [ 7 10],[17.71621622 39.28378378] ; [ 5.28378378 11.71621622],0
r3,1,0.339675,0.911658,[220  17] ; [71  3],[221.75884244  15.24115756] ; [69.24115756  4.75884244],0
s1,1,0.544561,0.367152,[  6 229] ; [ 1 73],[  5.3236246 229.6763754] ; [ 1.6763754 72.3236246],0
u3,1,0.569353,0.323766,[43 30] ; [12 11],[41.82291667 31.17708333] ; [13.17708333  9.82291667],0
v1,1,0.618257,0.248325,[129 107] ; [38 36],[127.13548387 108.86451613] ; [39.86451613 34.13548387],0
d3,1,0.630058,0.231982,[165  72] ; [50 25],[163.31730769  73.68269231] ; [51.68269231 23.31730769],0
v3,1,0.642662,0.215277,[ 84 143] ; [30 45],[ 85.68874172 141.31125828] ; [28.31125828 46.68874172],0
a2,1,0.649562,0.206453,[ 54 183] ; [19 56],[ 55.45192308 181.54807692] ; [17.54807692 57.45192308],0
d5,1,0.656751,0.197494,[198  39] ; [61 14],[196.74038462  40.25961538] ; [62.25961538 12.74038462],0
r2,1,0.735475,0.114144,[219  15] ; [71  4],[219.61165049  14.38834951] ; [70.38834951  4.61165049],0
a5,1,0.79284,0.068972,[183  54] ; [59 16],[183.82692308  53.17307692] ; [58.17307692 16.82692308],0
d4,1,0.814973,0.054763,[195  42] ; [60 14],[194.32475884  42.67524116] ; [60.67524116 13.32475884],0
p2,1,0.8193,0.052187,[191  45] ; [59 15],[190.32258065  45.67741935] ; [59.67741935 14.32258065],0
p11,1,0.863817,0.029418,[181  56] ; [58 17],[181.54807692  55.45192308] ; [57.45192308 17.54807692],0
b1,1,0.869714,0.026903,[ 86 151] ; [28 47],[ 86.59615385 150.40384615] ; [27.40384615 47.59615385],0
n2,1,0.875629,0.024496,[36 21] ; [11  7],[35.72 21.28] ; [11.28  6.72],0
a4,1,0.898359,0.016316,[105 131] ; [34 41],[105.47909968 130.52090032] ; [33.52090032 41.47909968],0
