Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,32.841634,[92  5] ; [18 16],[81.45038168 15.54961832] ; [28.54961832  5.45038168],1
r2,1,0.000217,13.681623,[91  3] ; [25  8],[85.85826772  8.14173228] ; [30.14173228  2.85826772],1
d4,1,0.001583,9.979832,[86 11] ; [22 12],[79.96946565 17.03053435] ; [28.03053435  5.96946565],0
a5,1,0.007029,7.265512,[75 22] ; [18 16],[68.86259542 28.13740458] ; [24.13740458  9.86259542],0
b3,1,0.011202,6.432995,[34 31] ; [ 5 18],[28.80681818 36.19318182] ; [10.19318182 12.80681818],0
b2,1,0.011202,6.432995,[34 31] ; [ 5 18],[28.80681818 36.19318182] ; [10.19318182 12.80681818],0
p10,1,0.02294,5.173021,[77 16] ; [21 12],[72.33333333 20.66666667] ; [25.66666667  7.33333333],0
v4,1,0.039734,4.229187,[91  6] ; [27  6],[88.04615385  8.95384615] ; [29.95384615  3.04615385],0
v3,1,0.045259,4.008976,[56 38] ; [13 20],[51.07086614 42.92913386] ; [17.92913386 15.07086614],0
b1,1,0.04717,3.939307,[38 59] ; [20 14],[42.94656489 54.05343511] ; [15.05343511 18.94656489],0
p3,1,0.048665,3.88688,[54 42] ; [12 21],[49.11627907 46.88372093] ; [16.88372093 16.11627907],0
s5,1,0.051706,3.785259,[42 50] ; [ 8 23],[37.39837398 54.60162602] ; [12.60162602 18.39837398],0
r3,1,0.055114,3.678648,[93  3] ; [30  4],[90.83076923  5.16923077] ; [32.16923077  1.83076923],0
d5,1,0.079407,3.076989,[84 13] ; [25  9],[80.70992366 16.29007634] ; [28.29007634  5.70992366],0
n4,1,0.08462,2.973851,[80 15] ; [24 10],[76.58914729 18.41085271] ; [27.41085271  6.58914729],0
a8,1,0.096054,2.769864,[13 81] ; [ 1 31],[10.44444444 83.55555556] ; [ 3.55555556 28.44444444],0
p8,1,0.133162,2.255249,[54 40] ; [13 18],[50.384 43.616] ; [16.616 14.384],0
b5,1,0.13969,2.181375,[40 57] ; [19 15],[43.6870229 53.3129771] ; [15.3129771 18.6870229],0
s7,1,0.148743,2.085094,[51 41] ; [13 19],[47.48387097 44.51612903] ; [16.51612903 15.48387097],0
s8,1,0.165003,1.927768,[50 46] ; [13 21],[46.52307692 49.47692308] ; [16.47692308 17.52307692],0
a3,1,0.165964,1.919026,[77 20] ; [23 11],[74.04580153 22.95419847] ; [25.95419847  8.04580153],0
