Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.8e-05,17.520549,[ 8 56] ; [24 26],[17.96491228 46.03508772] ; [14.03508772 35.96491228],1
s3,1,9.2e-05,15.301757,[20 47] ; [32 16],[30.29565217 36.70434783] ; [21.70434783 26.29565217],1
s5,1,0.000168,14.153846,[ 5 60] ; [18 32],[13. 52.] ; [10. 40.],1
p10,1,0.000223,13.626872,[28 38] ; [39 12],[37.79487179 28.20512821] ; [29.20512821 21.79487179],1
s2,1,0.000736,11.397163,[13 54] ; [24 25],[21.37068966 45.62931034] ; [15.62931034 33.37068966],1
v4,1,0.000768,11.316853,[47 18] ; [49  2],[53.79310345 11.20689655] ; [42.20689655  8.79310345],1
r4,1,0.001912,9.631741,[37 30] ; [42  9],[44.8559322 22.1440678] ; [34.1440678 16.8559322],0
s8,1,0.001952,9.594021,[ 6 61] ; [16 35],[12.49152542 54.50847458] ; [ 9.50847458 41.49152542],0
s4,1,0.004476,8.079745,[ 7 60] ; [16 35],[13.05932203 53.94067797] ; [ 9.94067797 41.05932203],0
a7,1,0.012243,6.275334,[26 40] ; [32 19],[32.71794872 33.28205128] ; [25.28205128 25.71794872],0
u2,1,0.012488,6.240278,[11 26] ; [17 11],[15.93846154 21.06153846] ; [12.06153846 15.93846154],0
p9,1,0.018374,5.560114,[36 29] ; [39 12],[42.02586207 22.97413793] ; [32.97413793 18.02586207],0
p11,1,0.020701,5.351819,[39 28] ; [40 11],[44.8559322 22.1440678] ; [34.1440678 16.8559322],0
v2,1,0.02667,4.912034,[17 45] ; [23 25],[22.54545455 39.45454545] ; [17.45454545 30.54545455],0
p8,1,0.028105,4.821595,[15 52] ; [21 30],[20.44067797 46.55932203] ; [15.55932203 35.44067797],0
v1,1,0.028531,4.795714,[20 45] ; [25 24],[25.65789474 39.34210526] ; [19.34210526 29.65789474],0
u3,1,0.033375,4.526444,[12 25] ; [17 12],[16.25757576 20.74242424] ; [12.74242424 16.25757576],0
a6,1,0.040939,4.178519,[28 39] ; [31 20],[33.5 33.5] ; [25.5 25.5],0
r1,1,0.046204,3.974124,[36 30] ; [37 14],[41.17948718 24.82051282] ; [31.82051282 19.17948718],0
r3,1,0.053693,3.722206,[48 17] ; [45  6],[52.11206897 12.88793103] ; [40.88793103 10.11206897],0
n6,1,0.060651,3.519505,[39 26] ; [39 12],[43.70689655 21.29310345] ; [34.29310345 16.70689655],0
a4,1,0.083372,2.997912,[13 54] ; [ 4 46],[ 9.73504274 57.26495726] ; [ 7.26495726 42.73504274],0
r2,1,0.086745,2.933756,[50 16] ; [45  6],[53.58974359 12.41025641] ; [41.41025641  9.58974359],0
a1,1,0.111086,2.538703,[ 6 61] ; [ 1 50],[ 3.97457627 63.02542373] ; [ 3.02542373 47.97457627],0
v3,1,0.12882,2.306669,[15 50] ; [18 32],[18.65217391 46.34782609] ; [14.34782609 35.65217391],0
n5,1,0.130283,2.289131,[39 27] ; [37 14],[42.87179487 23.12820513] ; [33.12820513 17.87179487],0
p2,1,0.174574,1.843221,[35 32] ; [33 18],[38.61016949 28.38983051] ; [29.38983051 21.61016949],0
p12,1,0.197366,1.661759,[ 1 65] ; [ 3 48],[ 2.25641026 63.74358974] ; [ 1.74358974 49.25641026],0
p7,1,0.230157,1.439892,[22 43] ; [22 27],[25.0877193 39.9122807] ; [18.9122807 30.0877193],0
d2,1,0.23134,1.432605,[15 52] ; [ 7 44],[12.49152542 54.50847458] ; [ 9.50847458 41.49152542],0
b2,1,0.234012,1.416308,[20 24] ; [ 7 16],[17.73134328 26.26865672] ; [ 9.26865672 13.73134328],0
b3,1,0.234012,1.416308,[20 24] ; [ 7 16],[17.73134328 26.26865672] ; [ 9.26865672 13.73134328],0
n2,1,0.268621,1.223776,[19  7] ; [14  2],[20.42857143  5.57142857] ; [12.57142857  3.42857143],0
u1,1,0.284141,1.147175,[ 4 63] ; [ 1 50],[ 2.83898305 64.16101695] ; [ 2.16101695 48.83898305],0
n4,1,0.316213,1.004545,[38 28] ; [34 17],[40.61538462 25.38461538] ; [31.38461538 19.61538462],0
p3,1,0.349969,0.87357,[10 57] ; [11 40],[11.92372881 55.07627119] ; [ 9.07627119 41.92372881],0
d3,1,0.396984,0.717441,[20 47] ; [19 32],[22.1440678 44.8559322] ; [16.8559322 34.1440678],0
p5,1,0.406313,0.689563,[ 1 66] ; [ 2 49],[ 1.70338983 65.29661017] ; [ 1.29661017 49.70338983],0
a5,1,0.419517,0.651668,[24 43] ; [22 29],[26.11864407 40.88135593] ; [19.88135593 31.11864407],0
s1,1,0.422308,0.643884,[ 3 63] ; [ 4 45],[ 4.0173913 61.9826087] ; [ 2.9826087 46.0173913],0
b1,1,0.443588,0.586984,[31 36] ; [20 31],[28.95762712 38.04237288] ; [22.04237288 28.95762712],0
p6,1,0.60756,0.263743,[11 55] ; [10 39],[12.05217391 53.94782609] ; [ 8.94782609 40.05217391],0
n1,1,0.635738,0.224359,[10 16] ; [ 5 11],[ 9.28571429 16.71428571] ; [ 5.71428571 10.28571429],0
p1,1,0.651,0.204641,[ 5 62] ; [ 5 46],[ 5.6779661 61.3220339] ; [ 4.3220339 46.6779661],0
d4,1,0.701627,0.146784,[30 36] ; [25 26],[31.02564103 34.97435897] ; [23.97435897 27.02564103],0
b5,1,0.728956,0.120072,[32 35] ; [26 25],[32.93220339 34.06779661] ; [25.06779661 25.93220339],0
b4,1,0.766884,0.087885,[36 31] ; [26 25],[35.20338983 31.79661017] ; [26.79661017 24.20338983],0
a3,1,0.818048,0.052926,[30 35] ; [22 28],[29.39130435 35.60869565] ; [22.60869565 27.39130435],0
a8,1,0.929724,0.007778,[ 7 57] ; [ 5 43],[ 6.85714286 57.14285714] ; [ 5.14285714 42.85714286],0
n3,1,1.0,0.0,[15  9] ; [10  6],[15.  9.] ; [10.  6.],0
