Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4.4e-05,16.687307,[2 9] ; [36  8],[7.6 3.4] ; [30.4 13.6],1
s6,1,0.002616,9.057687,[4 9] ; [32 10],[8.50909091 4.49090909] ; [27.49090909 14.50909091],0
d5,1,0.005369,7.750875,[5 7] ; [36  8],[8.78571429 3.21428571] ; [32.21428571 11.78571429],0
s3,1,0.005614,7.670132,[ 2 11] ; [26 18],[6.38596491 6.61403509] ; [21.61403509 22.38596491],0
b4,1,0.015137,5.900408,[ 3 10] ; [27 17],[6.84210526 6.15789474] ; [23.15789474 20.84210526],0
s8,1,0.022359,5.217651,[ 2 11] ; [22 21],[5.57142857 7.42857143] ; [18.42857143 24.57142857],0
v1,1,0.022359,5.217651,[ 2 11] ; [22 21],[5.57142857 7.42857143] ; [18.42857143 24.57142857],0
b1,1,0.032512,4.571276,[10  3] ; [19 25],[6.61403509 6.38596491] ; [22.38596491 21.61403509],0
s5,1,0.046039,3.980166,[ 2 11] ; [19 22],[5.05555556 7.94444444] ; [15.94444444 25.05555556],0
r4,1,0.046289,3.971047,[8 5] ; [38  6],[10.49122807  2.50877193] ; [35.50877193  8.49122807],0
a8,1,0.04855,3.890845,[ 3 10] ; [ 2 39],[ 1.2037037 11.7962963] ; [ 3.7962963 37.2037037],0
p8,1,0.074144,3.188811,[6 7] ; [32 12],[8.66666667 4.33333333] ; [29.33333333 14.66666667],0
s2,1,0.076346,3.141025,[5 8] ; [29 15],[7.75438596 5.24561404] ; [26.24561404 17.75438596],0
v2,1,0.113524,2.504472,[4 9] ; [24 19],[6.5 6.5] ; [21.5 21.5],0
p9,1,0.125748,2.344222,[8 5] ; [36  8],[10.03508772  2.96491228] ; [33.96491228 10.03508772],0
b5,1,0.142983,2.14556,[7 6] ; [33 11],[9.12280702 3.87719298] ; [30.87719298 13.12280702],0
a4,1,0.148478,2.087815,[ 3 10] ; [20 24],[5.24561404 7.75438596] ; [17.75438596 26.24561404],0
r3,1,0.178884,1.806868,[11  2] ; [42  2],[12.0877193  0.9122807] ; [40.9122807  3.0877193],0
v4,1,0.178884,1.806868,[11  2] ; [42  2],[12.0877193  0.9122807] ; [40.9122807  3.0877193],0
a5,1,0.1895,1.721503,[5 8] ; [26 18],[7.07017544 5.92982456] ; [23.92982456 20.07017544],0
s4,1,0.190787,1.711527,[ 3 10] ; [19 25],[5.01754386 7.98245614] ; [16.98245614 27.01754386],0
r1,1,0.198617,1.652513,[6 7] ; [29 15],[7.98245614 5.01754386] ; [27.01754386 16.98245614],0
a7,1,0.25728,1.283333,[7 5] ; [33 11],[8.57142857 3.42857143] ; [31.42857143 12.57142857],0
u3,1,0.275234,1.190476,[3 4] ; [12  6],[4.2 2.8] ; [10.8  7.2],0
s7,1,0.278988,1.172013,[4 9] ; [21 23],[5.70175439 7.29824561] ; [19.29824561 24.70175439],0
a6,1,0.329124,0.95234,[6 7] ; [27 17],[7.52631579 5.47368421] ; [25.47368421 18.52631579],0
v3,1,0.333488,0.935305,[ 1 12] ; [ 8 34],[ 2.12727273 10.87272727] ; [ 6.87272727 35.12727273],0
p5,1,0.337414,0.920233,[ 2 11] ; [ 3 41],[ 1.14035088 11.85964912] ; [ 3.85964912 40.14035088],0
p11,1,0.342607,0.900651,[8 5] ; [33 11],[9.35087719 3.64912281] ; [31.64912281 12.35087719],0
n2,1,0.383988,0.757895,[4 2] ; [15  3],[4.75 1.25] ; [14.25  3.75],0
a3,1,0.408862,0.682107,[6 7] ; [26 18],[7.29824561 5.70175439] ; [24.70175439 19.29824561],0
a2,1,0.453636,0.56155,[ 1 12] ; [ 7 37],[ 1.8245614 11.1754386] ; [ 6.1754386 37.8245614],0
b2,1,0.466473,0.530318,[3 7] ; [10 13],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
b3,1,0.466473,0.530318,[3 7] ; [10 13],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
p2,1,0.467872,0.526997,[11  2] ; [33 11],[10.03508772  2.96491228] ; [33.96491228 10.03508772],0
r2,1,0.515917,0.422049,[11  2] ; [40  4],[11.63157895  1.36842105] ; [39.36842105  4.63157895],0
d2,1,0.605405,0.266921,[4 9] ; [17 27],[4.78947368 8.21052632] ; [16.21052632 27.78947368],0
n1,1,0.632585,0.228571,[3 3] ; [ 7 11],[2.5 3.5] ; [ 7.5 10.5],0
p4,1,0.655286,0.199301,[8 5] ; [30 14],[8.66666667 4.33333333] ; [29.33333333 14.66666667],0
p10,1,0.678117,0.172253,[9 4] ; [33 11],[9.57894737 3.42105263] ; [32.42105263 11.57894737],0
p3,1,0.698216,0.150335,[6 7] ; [23 21],[6.61403509 6.38596491] ; [22.38596491 21.61403509],0
n5,1,0.8489,0.036299,[5 7] ; [17 27],[4.71428571 7.28571429] ; [17.28571429 26.71428571],0
n6,1,0.8572,0.032378,[8 5] ; [27 15],[8.27272727 4.72727273] ; [26.72727273 15.27272727],0
p12,1,0.875546,0.024529,[ 1 12] ; [ 4 40],[ 1.14035088 11.85964912] ; [ 3.85964912 40.14035088],0
a1,1,0.913676,0.011751,[ 1 12] ; [ 3 41],[ 0.9122807 12.0877193] ; [ 3.0877193 40.9122807],0
u2,1,0.968346,0.001575,[5 2] ; [13  5],[5.04 1.96] ; [12.96  5.04],0
