Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,36.498418,[52 13] ; [ 4 25],[38.72340426 26.27659574] ; [17.27659574 11.72340426],1
s3,1,1e-05,19.493098,[50 15] ; [ 8 20],[40.53763441 24.46236559] ; [17.46236559 10.53763441],1
s6,1,0.000999,10.828744,[58  7] ; [14 10],[52.58426966 12.41573034] ; [19.41573034  4.58426966],1
s2,1,0.00123,10.445292,[45 21] ; [ 9 19],[37.91489362 28.08510638] ; [16.08510638 11.91489362],0
n4,1,0.025234,5.007729,[61  5] ; [22  7],[57.66315789  8.33684211] ; [25.33684211  3.66315789],0
r2,1,0.036695,4.364522,[62  3] ; [23  5],[59.40860215  5.59139785] ; [25.59139785  2.40860215],0
r1,1,0.03703,4.349026,[57  9] ; [19  9],[53.36170213 12.63829787] ; [22.63829787  5.36170213],0
p6,1,0.053458,3.729547,[44 21] ; [13 15],[39.83870968 25.16129032] ; [17.16129032 10.83870968],0
a3,1,0.053959,3.713979,[55 11] ; [19 10],[51.41052632 14.58947368] ; [22.58947368  6.41052632],0
b5,1,0.060842,3.514289,[25 41] ; [17 12],[29.17894737 36.82105263] ; [12.82105263 16.17894737],0
p8,1,0.0747,3.176594,[56 10] ; [20  9],[52.8 13.2] ; [23.2  5.8],0
b1,1,0.087276,2.92391,[24 42] ; [16 13],[27.78947368 38.21052632] ; [12.21052632 16.78947368],0
p7,1,0.087755,2.915088,[54 10] ; [20  9],[50.92473118 13.07526882] ; [23.07526882  5.92473118],0
p3,1,0.090173,2.871278,[53 12] ; [19 10],[49.78723404 15.21276596] ; [22.21276596  6.78723404],0
n5,1,0.117077,2.456,[60  6] ; [23  6],[57.66315789  8.33684211] ; [25.33684211  3.66315789],0
v4,1,0.128971,2.304849,[64  2] ; [25  3],[62.4893617  3.5106383] ; [26.5106383  1.4893617],0
p12,1,0.13148,2.274945,[21 44] ; [ 5 24],[17.9787234 47.0212766] ; [ 8.0212766 20.9787234],0
d3,1,0.1399,2.179059,[48 17] ; [17 12],[44.94680851 20.05319149] ; [20.05319149  8.94680851],0
n6,1,0.220213,1.502979,[61  4] ; [25  4],[59.46808511  5.53191489] ; [26.53191489  2.46808511],0
a6,1,0.247299,1.338499,[39 26] ; [21  8],[41.4893617 23.5106383] ; [18.5106383 10.4893617],0
r4,1,0.252893,1.307251,[60  6] ; [24  5],[58.35789474  7.64210526] ; [25.64210526  3.35789474],0
b4,1,0.257795,1.28056,[35 31] ; [19 10],[37.51578947 28.48421053] ; [16.48421053 12.51578947],0
a7,1,0.298878,1.079195,[48 18] ; [18 11],[45.85263158 20.14736842] ; [20.14736842  8.85263158],0
d2,1,0.37928,0.773036,[34 31] ; [18 11],[35.95744681 29.04255319] ; [16.04255319 12.95744681],0
a8,1,0.38099,0.767506,[ 9 51] ; [ 2 23],[ 7.76470588 52.23529412] ; [ 3.23529412 21.76470588],0
v3,1,0.397316,0.716435,[37 27] ; [13 14],[35.16483516 28.83516484] ; [14.83516484 12.16483516],0
u2,1,0.466394,0.530507,[6 5] ; [7 3],[6.80952381 4.19047619] ; [6.19047619 3.80952381],0
n1,1,0.475533,0.509091,[10  8] ; [1 2],[9.42857143 8.57142857] ; [1.57142857 1.42857143],0
u1,1,0.503902,0.446708,[12 54] ; [ 7 22],[13.2 52.8] ; [ 5.8 23.2],0
a2,1,0.503902,0.446708,[12 54] ; [ 7 22],[13.2 52.8] ; [ 5.8 23.2],0
d4,1,0.522175,0.409594,[57  8] ; [24  5],[56.0106383  8.9893617] ; [24.9893617  4.0106383],0
p4,1,0.522175,0.409594,[57  8] ; [24  5],[56.0106383  8.9893617] ; [24.9893617  4.0106383],0
u3,1,0.536632,0.381818,[8 3] ; [6 4],[7.33333333 3.66666667] ; [6.66666667 3.33333333],0
a4,1,0.596898,0.2797,[28 38] ; [14 15],[29.17894737 36.82105263] ; [12.82105263 16.17894737],0
a5,1,0.624877,0.239072,[53 13] ; [22  7],[52.10526316 13.89473684] ; [22.89473684  6.10526316],0
b2,1,0.650267,0.205564,[26 25] ; [ 9 11],[25.14084507 25.85915493] ; [ 9.85915493 10.14084507],0
b3,1,0.650267,0.205564,[26 25] ; [ 9 11],[25.14084507 25.85915493] ; [ 9.85915493 10.14084507],0
a1,1,0.656511,0.19779,[ 9 57] ; [ 3 26],[ 8.33684211 57.66315789] ; [ 3.66315789 25.33684211],0
d1,1,0.664701,0.187863,[44 22] ; [18 11],[43.07368421 22.92631579] ; [18.92631579 10.07368421],0
n2,1,0.675706,0.175,[14  4] ; [2 1],[13.71428571  4.28571429] ; [2.28571429 0.71428571],0
n3,1,0.718816,0.12963,[10  8] ; [2 1],[10.28571429  7.71428571] ; [1.71428571 1.28571429],0
s5,1,0.744393,0.106303,[39 23] ; [16  8],[39.65116279 22.34883721] ; [15.34883721  8.65116279],0
p1,1,0.789106,0.071541,[20 46] ; [ 8 21],[19.45263158 46.54736842] ; [ 8.54736842 20.45263158],0
v2,1,0.791022,0.070216,[36 28] ; [16 11],[36.57142857 27.42857143] ; [15.42857143 11.57142857],0
d5,1,0.79982,0.064303,[53 12] ; [23  6],[52.55319149 12.44680851] ; [23.44680851  5.55319149],0
p2,1,0.806746,0.059842,[60  6] ; [25  3],[59.68085106  6.31914894] ; [25.31914894  2.68085106],0
p11,1,0.821281,0.05103,[58  8] ; [25  4],[57.66315789  8.33684211] ; [25.33684211  3.66315789],0
s4,1,0.828398,0.046983,[ 9 57] ; [ 4 22],[ 9.32608696 56.67391304] ; [ 3.67391304 22.32608696],0
v1,1,0.878408,0.023405,[44 20] ; [19  8],[44.30769231 19.69230769] ; [18.69230769  8.30769231],0
r3,1,0.941716,0.005346,[61  5] ; [26  2],[61.08510638  4.91489362] ; [25.91489362  2.08510638],0
