Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.4e-05,18.847265,[101 136] ; [16 77],[ 84.02727273 152.97272727] ; [32.97272727 60.02727273],1
p9,1,1.9e-05,18.241507,[202  36] ; [57 33],[187.93292683  50.06707317] ; [71.06707317 18.93292683],1
p7,1,0.000148,14.403653,[132 102] ; [30 61],[116.64 117.36] ; [45.36 45.64],1
p11,1,0.000192,13.9103,[196  49] ; [56 37],[182.66272189  62.33727811] ; [69.33727811 23.66272189],1
p10,1,0.00029,13.130754,[189  53] ; [53 38],[175.86786787  66.13213213] ; [66.13213213 24.86786787],1
b1,1,0.000866,11.093239,[ 76 169] ; [47 46],[ 89.15680473 155.84319527] ; [33.84319527 59.15680473],1
s1,1,0.002414,9.204864,[  3 237] ; [ 7 85],[  7.22891566 232.77108434] ; [ 2.77108434 89.22891566],0
d5,1,0.003734,8.408981,[196  48] ; [60 32],[185.9047619  58.0952381] ; [70.0952381 21.9047619],0
u4,1,0.008107,7.00972,[  1 244] ; [ 4 89],[  3.62426036 241.37573964] ; [ 1.37573964 91.62426036],0
r3,1,0.025401,4.996323,[241   3] ; [88  5],[238.20771513   5.79228487] ; [90.79228487  2.20771513],0
n1,1,0.081387,3.036985,[21 40] ; [17 15],[24.92473118 36.07526882] ; [13.07526882 18.92473118],0
a6,1,0.100241,2.701711,[169  75] ; [55 37],[162.66666667  81.33333333] ; [61.33333333 30.66666667],0
a5,1,0.109601,2.559964,[170  75] ; [56 37],[163.81656805  81.18343195] ; [62.18343195 30.81656805],0
s3,1,0.165659,1.921798,[132 112] ; [41 49],[126.38323353 117.61676647] ; [46.61676647 43.38323353],0
v1,1,0.179601,1.800919,[112 127] ; [36 57],[106.54216867 132.45783133] ; [41.45783133 51.54216867],0
s4,1,0.197994,1.657109,[ 36 207] ; [19 73],[ 39.89552239 203.10447761] ; [15.10447761 76.89552239],0
d4,1,0.201307,1.632865,[196  48] ; [68 24],[191.71428571  52.28571429] ; [72.28571429 19.71428571],0
r1,1,0.239579,1.383071,[204  39] ; [73 20],[200.33035714  42.66964286] ; [76.66964286 16.33035714],0
a8,1,0.261005,1.263416,[ 36 188] ; [10 80],[ 32.81528662 191.18471338] ; [13.18471338 76.81528662],0
v4,1,0.270065,1.216416,[236   7] ; [88  5],[234.32142857   8.67857143] ; [89.67857143  3.32142857],0
a3,1,0.277578,1.178909,[169  75] ; [58 34],[164.8452381  79.1547619] ; [62.1547619 29.8452381],0
n6,1,0.283776,1.148915,[199  45] ; [71 22],[195.48961424  48.51038576] ; [74.51038576 18.48961424],0
b3,1,0.300029,1.074067,[49 81] ; [17 40],[45.88235294 84.11764706] ; [20.11764706 36.88235294],0
b2,1,0.300029,1.074067,[49 81] ; [17 40],[45.88235294 84.11764706] ; [20.11764706 36.88235294],0
d3,1,0.300093,1.07378,[153  91] ; [52 40],[148.86904762  95.13095238] ; [56.13095238 35.86904762],0
a1,1,0.36948,0.805413,[  6 239] ; [ 4 89],[  7.24852071 237.75147929] ; [ 2.75147929 90.24852071],0
a7,1,0.426244,0.633036,[171  73] ; [61 32],[167.97626113  76.02373887] ; [64.02373887 28.97626113],0
p12,1,0.468039,0.526602,[ 11 230] ; [ 6 86],[ 12.3033033 228.6966967] ; [ 4.6966967 87.3033033],0
p1,1,0.47136,0.518787,[ 11 232] ; [ 6 87],[ 12.29464286 230.70535714] ; [ 4.70535714 88.29464286],0
n2,1,0.501206,0.452381,[51 12] ; [24  8],[49.73684211 13.26315789] ; [25.26315789  6.73684211],0
n4,1,0.517571,0.418731,[169  75] ; [61 32],[166.52818991  77.47181009] ; [63.47181009 29.52818991],0
p6,1,0.544745,0.366816,[ 45 192] ; [15 78],[ 43.09090909 193.90909091] ; [16.90909091 76.09090909],0
a4,1,0.545697,0.365082,[ 95 150] ; [39 53],[ 97.41839763 147.58160237] ; [36.58160237 55.41839763],0
u3,1,0.550711,0.356045,[41 35] ; [21 14],[42.45045045 33.54954955] ; [19.54954955 15.45045045],0
