Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.5e-05,18.701931,[2 2] ; [77  2],[3.80722892 0.19277108] ; [75.19277108  3.80722892],1
p4,1,0.018875,5.513097,[2 2] ; [69  8],[3.50617284 0.49382716] ; [67.49382716  9.50617284],0
p1,1,0.030312,4.691495,[3 1] ; [20 59],[1.10843373 2.89156627] ; [21.89156627 57.10843373],0
p2,1,0.03828,4.292551,[2 2] ; [69 10],[3.42168675 0.57831325] ; [67.57831325 11.42168675],0
v4,1,0.053404,3.731243,[3 1] ; [76  3],[3.80722892 0.19277108] ; [75.19277108  3.80722892],0
a2,1,0.069702,3.290025,[2 2] ; [12 67],[0.6746988 3.3253012] ; [13.3253012 65.6746988],0
p6,1,0.081177,3.041186,[1 3] ; [52 25],[2.61728395 1.38271605] ; [50.38271605 26.61728395],0
n6,1,0.105252,2.624109,[3 1] ; [74  4],[3.75609756 0.24390244] ; [73.24390244  4.75609756],0
a4,1,0.155943,2.013135,[3 1] ; [31 48],[1.63855422 2.36144578] ; [32.36144578 46.63855422],0
p3,1,0.164649,1.931001,[2 2] ; [62 16],[3.12195122 0.87804878] ; [60.87804878 17.12195122],0
v2,1,0.198796,1.651198,[1 3] ; [45 33],[2.24390244 1.75609756] ; [43.75609756 34.24390244],0
s1,1,0.285943,1.138623,[1 3] ; [ 7 72],[0.38554217 3.61445783] ; [ 7.61445783 71.38554217],0
r2,1,0.292107,1.109884,[3 1] ; [71  7],[3.6097561 0.3902439] ; [70.3902439  7.6097561],0
b5,1,0.29382,1.102036,[3 1] ; [38 41],[1.97590361 2.02409639] ; [39.02409639 39.97590361],0
d2,1,0.305212,1.051282,[3 1] ; [38 40],[2. 2.] ; [39. 39.],0
s2,1,0.444601,0.58438,[2 2] ; [54 25],[2.69879518 1.30120482] ; [53.30120482 25.69879518],0
s8,1,0.492979,0.470018,[2 2] ; [52 26],[2.63414634 1.36585366] ; [51.36585366 26.63414634],0
d1,1,0.536424,0.382208,[3 1] ; [47 32],[2.40963855 1.59036145] ; [47.59036145 31.40963855],0
d4,1,0.60759,0.2637,[3 1] ; [66 12],[3.36585366 0.63414634] ; [65.63414634 12.36585366],0
p11,1,0.656164,0.198217,[3 1] ; [66 13],[3.3253012 0.6746988] ; [65.6746988 13.3253012],0
v1,1,0.729424,0.119641,[3 1] ; [52 26],[2.68292683 1.31707317] ; [52.31707317 25.68292683],0
v3,1,0.761616,0.092027,[2 2] ; [45 33],[2.29268293 1.70731707] ; [44.70731707 33.29268293],0
p8,1,0.766156,0.088451,[3 1] ; [64 15],[3.22891566 0.77108434] ; [63.77108434 15.22891566],0
u1,1,0.766156,0.088451,[1 3] ; [15 64],[0.77108434 3.22891566] ; [15.22891566 63.77108434],0
d3,1,0.767553,0.087366,[3 1] ; [53 25],[2.73170732 1.26829268] ; [53.26829268 24.73170732],0
s5,1,0.769296,0.086022,[3 1] ; [51 24],[2.73417722 1.26582278] ; [51.26582278 23.73417722],0
s7,1,0.819508,0.052065,[3 1] ; [59 15],[3.17948718 0.82051282] ; [58.82051282 15.17948718],0
s3,1,0.835557,0.04309,[2 1] ; [57 22],[2.15853659 0.84146341] ; [56.84146341 22.15853659],0
a7,1,0.859465,0.031348,[3 1] ; [56 23],[2.84337349 1.15662651] ; [56.15662651 22.84337349],0
p12,1,0.859465,0.031348,[1 3] ; [23 56],[1.15662651 2.84337349] ; [22.84337349 56.15662651],0
d5,1,0.879941,0.022814,[3 1] ; [61 17],[3.12195122 0.87804878] ; [60.87804878 17.12195122],0
