Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,67.419786,[ 4 23] ; [98 10],[20.4  6.6] ; [81.6 26.4],1
p2,1,3e-05,17.425374,[12 15] ; [89 18],[20.35074627  6.64925373] ; [80.64925373 26.35074627],1
p11,1,0.000167,14.169268,[10 17] ; [81 27],[18.2  8.8] ; [72.8 35.2],1
r4,1,0.001294,10.351633,[18  9] ; [98 10],[23.2  3.8] ; [92.8 15.2],0
v4,1,0.014429,5.984881,[22  5] ; [102   5],[24.98507463  2.01492537] ; [99.01492537  7.98507463],0
r2,1,0.014429,5.984881,[22  5] ; [102   5],[24.98507463  2.01492537] ; [99.01492537  7.98507463],0
b1,1,0.022479,5.208333,[14 13] ; [31 77],[ 9. 18.] ; [36. 72.],0
r3,1,0.022687,5.192308,[24  3] ; [106   2],[26.  1.] ; [104.   4.],0
s8,1,0.030383,4.6875,[ 7 20] ; [53 55],[12. 15.] ; [48. 60.],0
v1,1,0.042949,4.097397,[ 8 19] ; [54 51],[12.68181818 14.31818182] ; [49.31818182 55.68181818],0
r1,1,0.068729,3.313112,[16 11] ; [82 25],[19.74626866  7.25373134] ; [78.25373134 28.74626866],0
a5,1,0.084508,2.976001,[14 13] ; [75 33],[17.8  9.2] ; [71.2 36.8],0
s3,1,0.097012,2.753993,[14 13] ; [73 33],[17.66165414  9.33834586] ; [69.33834586 36.66165414],0
a4,1,0.124621,2.358257,[ 6 21] ; [41 67],[ 9.4 17.6] ; [37.6 70.4],0
n6,1,0.131711,2.272216,[15 12] ; [75 31],[18.27067669  8.72932331] ; [71.72932331 34.27067669],0
s7,1,0.14324,2.142799,[ 8 18] ; [49 56],[11.3129771 14.6870229] ; [45.6870229 59.3129771],0
a6,1,0.15747,1.998355,[16 11] ; [79 29],[19.  8.] ; [76. 32.],0
p7,1,0.157873,1.994486,[13 14] ; [65 38],[16.2 10.8] ; [61.8 41.2],0
a3,1,0.188941,1.725852,[13 14] ; [67 41],[16. 11.] ; [64. 44.],0
p4,1,0.196398,1.668956,[17 10] ; [53 55],[14. 13.] ; [56. 52.],0
n3,1,0.212417,1.554878,[5 5] ; [29 12],[6.66666667 3.33333333] ; [27.33333333 13.66666667],0
u2,1,0.226352,1.463641,[6 8] ; [24 15],[7.9245283 6.0754717] ; [22.0754717 16.9245283],0
a7,1,0.229517,1.44385,[18  9] ; [84 24],[20.4  6.6] ; [81.6 26.4],0
n5,1,0.230128,1.44007,[ 7 20] ; [41 66],[ 9.67164179 17.32835821] ; [38.32835821 68.67164179],0
n2,1,0.240294,1.378868,[6 4] ; [32  9],[7.45098039 2.54901961] ; [30.54901961 10.45098039],0
b3,1,0.262868,1.25359,[ 3 12] ; [17 31],[ 4.76190476 10.23809524] ; [15.23809524 32.76190476],0
b2,1,0.262868,1.25359,[ 3 12] ; [17 31],[ 4.76190476 10.23809524] ; [15.23809524 32.76190476],0
d4,1,0.267938,1.227273,[24  3] ; [86 22],[22.  5.] ; [88. 20.],0
s5,1,0.268044,1.226732,[ 9 17] ; [49 56],[11.51145038 14.48854962] ; [46.48854962 58.51145038],0
s1,1,0.285248,1.141917,[ 1 26] ; [  1 107],[ 0.4 26.6] ; [  1.6 106.4],0
v3,1,0.308103,1.038788,[ 6 21] ; [33 69],[ 8.1627907 18.8372093] ; [30.8372093 71.1627907],0
p1,1,0.33451,0.931359,[ 1 26] ; [10 96],[ 2.23308271 24.76691729] ; [ 8.76691729 97.23308271],0
d5,1,0.423092,0.641711,[22  5] ; [80 28],[20.4  6.6] ; [81.6 26.4],0
s2,1,0.424389,0.63813,[15 12] ; [69 39],[16.8 10.2] ; [67.2 40.8],0
b5,1,0.480817,0.497009,[18  9] ; [64 44],[16.4 10.6] ; [65.6 42.4],0
v2,1,0.49365,0.46856,[13 14] ; [55 44],[14.57142857 12.42857143] ; [53.42857143 45.57142857],0
u3,1,0.508009,0.438166,[10  4] ; [24 15],[8.98113208 5.01886792] ; [25.01886792 13.98113208],0
p6,1,0.525591,0.402908,[ 6 21] ; [30 76],[ 7.30827068 19.69172932] ; [28.69172932 77.30827068],0
d3,1,0.568904,0.324519,[18  9] ; [78 30],[19.2  7.8] ; [76.8 31.2],0
u1,1,0.572346,0.318772,[ 2 25] ; [12 96],[ 2.8 24.2] ; [11.2 96.8],0
p3,1,0.602686,0.270963,[13 14] ; [46 62],[11.8 15.2] ; [47.2 60.8],0
s4,1,0.648077,0.208333,[10 17] ; [35 73],[ 9. 18.] ; [36. 72.],0
a2,1,0.652548,0.202703,[ 4 23] ; [20 88],[ 4.8 22.2] ; [19.2 88.8],0
d2,1,0.722563,0.12605,[11 16] ; [40 68],[10.2 16.8] ; [40.8 67.2],0
p8,1,0.829481,0.046383,[14 13] ; [53 54],[13.5 13.5] ; [53.5 53.5],0
a1,1,0.834591,0.043605,[ 1 26] ; [  5 103],[ 1.2 25.8] ; [  4.8 103.2],0
b4,1,0.859619,0.031279,[17 10] ; [66 42],[16.6 10.4] ; [66.4 41.6],0
a8,1,0.963028,0.002149,[ 1 23] ; [ 4 97],[ 0.96 23.04] ; [ 4.04 96.96],0
n1,1,0.963683,0.002073,[3 7] ; [12 29],[2.94117647 7.05882353] ; [12.05882353 28.94117647],0
d1,1,1.0,0.0,[14 13] ; [56 52],[14. 13.] ; [56. 52.],0
