Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,114.157765,[304 139] ; [ 42 146],[242.91283677 200.08716323] ; [103.08716323  84.91283677],1
s3,1,0.0,111.422525,[318 123] ; [ 50 137],[258.42038217 182.57961783] ; [109.57961783  77.42038217],1
s7,1,0.0,68.199464,[272 157] ; [ 49 133],[225.38297872 203.61702128] ; [95.61702128 86.38297872],1
s8,1,0.0,59.569045,[261 182] ; [ 48 141],[216.59335443 226.40664557] ; [92.40664557 96.59335443],1
s5,1,0.0,59.373605,[204 226] ; [ 26 155],[161.86579378 268.13420622] ; [ 68.13420622 112.86579378],1
p4,1,3.6e-05,17.07696,[304 140] ; [95 91],[281.2 162.8] ; [117.8  68.2],1
p6,1,0.000142,14.479218,[195 244] ; [ 52 133],[173.77083333 265.22916667] ; [ 73.22916667 111.77083333],1
p12,1,0.000185,13.976187,[ 54 390] ; [  5 182],[ 41.51505547 402.48494453] ; [ 17.48494453 169.51505547],1
s4,1,0.000366,12.697489,[ 91 349] ; [ 17 172],[ 75.54848967 364.45151033] ; [ 32.45151033 156.54848967],1
r4,1,0.000834,11.163572,[416  29] ; [161  28],[404.99211356  40.00788644] ; [172.00788644  16.99211356],1
p3,1,0.00108,10.685462,[252 192] ; [ 80 108],[233.24050633 210.75949367] ; [98.75949367 89.24050633],0
v1,1,0.001908,9.635643,[265 167] ; [88 96],[247.55844156 184.44155844] ; [105.44155844  78.55844156],0
u1,1,0.003708,8.421438,[104 341] ; [ 25 164],[ 90.54416404 354.45583596] ; [ 38.45583596 150.54416404],0
n6,1,0.00576,7.623995,[389  52] ; [150  38],[377.89984102  63.10015898] ; [161.10015898  26.89984102],0
n5,1,0.007424,7.167426,[349  93] ; [129  58],[335.89189189 106.10810811] ; [142.10810811  44.89189189],0
p5,1,0.01015,6.60842,[ 66 375] ; [ 14 173],[ 56.17834395 384.82165605] ; [ 23.82165605 163.17834395],0
a5,1,0.010252,6.5906,[359  86] ; [135  54],[346.73501577  98.26498423] ; [147.26498423  41.73501577],0
a2,1,0.011741,6.349509,[130 315] ; [ 37 152],[117.21608833 327.78391167] ; [ 49.78391167 139.21608833],0
p7,1,0.012126,6.292309,[297 132] ; [110  77],[283.44642857 145.55357143] ; [123.55357143  63.44642857],0
v4,1,0.013811,6.062092,[431  12] ; [176  13],[425.47626582  17.52373418] ; [181.52373418   7.47626582],0
n4,1,0.023149,5.157326,[358  86] ; [137  52],[347.20379147  96.79620853] ; [147.79620853  41.20379147],0
r2,1,0.030233,4.695967,[421  17] ; [171  15],[415.53846154  22.46153846] ; [176.46153846   9.53846154],0
r1,1,0.042498,4.115246,[371  73] ; [145  44],[361.93364929  82.06635071] ; [154.06635071  34.93364929],0
r3,1,0.043759,4.065848,[430  13] ; [177  12],[425.47626582  17.52373418] ; [181.52373418   7.47626582],0
p2,1,0.048308,3.899255,[392  50] ; [155  32],[384.37837838  57.62162162] ; [162.62162162  24.37837838],0
u4,1,0.078484,3.096015,[ 16 429] ; [  2 187],[ 12.6340694 432.3659306] ; [  5.3659306 183.6340694],0
a4,1,0.080791,3.048914,[231 213] ; [ 84 105],[220.9478673 223.0521327] ; [94.0521327 94.9478673],0
d2,1,0.121017,2.404108,[243 202] ; [90 98],[234.09952607 210.90047393] ; [98.90047393 89.09952607],0
d5,1,0.128701,2.308101,[396  49] ; [160  29],[390.25236593  54.74763407] ; [165.74763407  23.25236593],0
p1,1,0.128829,2.306559,[ 39 403] ; [ 10 179],[ 34.32329635 407.67670365] ; [ 14.67670365 174.32329635],0
d1,1,0.130436,2.287309,[321 124] ; [125  64],[313.04416404 131.95583596] ; [132.95583596  56.04416404],0
p10,1,0.155057,2.021783,[407  36] ; [166  22],[402.28050713  40.71949287] ; [170.71949287  17.28050713],0
a1,1,0.191756,1.704078,[ 28 417] ; [  7 182],[ 24.56624606 420.43375394] ; [ 10.43375394 178.56624606],0
s1,1,0.210851,1.565573,[ 15 424] ; [  3 185],[ 12.60287081 426.39712919] ; [  5.39712919 182.60287081],0
p8,1,0.211386,1.56191,[244 194] ; [94 93],[236.8704 201.1296] ; [101.1296  85.8704],0
v3,1,0.256928,1.285236,[179 249] ; [ 66 113],[172.75123558 255.24876442] ; [ 72.24876442 106.75123558],0
v2,1,0.264893,1.243006,[260 167] ; [102  80],[253.81609195 173.18390805] ; [108.18390805  73.81609195],0
b4,1,0.332304,0.939896,[268 177] ; [106  83],[262.50788644 182.49211356] ; [111.49211356  77.50788644],0
u3,1,0.388729,0.742913,[63 36] ; [27 21],[60.6122449 38.3877551] ; [29.3877551 18.6122449],0
b5,1,0.415467,0.663102,[279 166] ; [112  77],[274.44006309 170.55993691] ; [116.55993691  72.44006309],0
n2,1,0.50362,0.447299,[74 24] ; [28 12],[72.43478261 25.56521739] ; [29.56521739 10.43478261],0
d3,1,0.505115,0.444173,[352  93] ; [145  44],[348.84069401  96.15930599] ; [148.15930599  40.84069401],0
u2,1,0.53468,0.38549,[63 36] ; [28 20],[61.28571429 37.71428571] ; [29.71428571 18.28571429],0
n1,1,0.594959,0.282666,[40 58] ; [14 25],[38.62773723 59.37226277] ; [15.37226277 23.62773723],0
a3,1,0.615431,0.252342,[343 101] ; [141  46],[340.56418384 103.43581616] ; [143.43581616  43.56418384],0
b3,1,0.683666,0.166028,[110 160] ; [49 65],[111.796875 158.203125] ; [47.203125 66.796875],0
b2,1,0.683666,0.166028,[110 160] ; [49 65],[111.796875 158.203125] ; [47.203125 66.796875],0
a8,1,0.686072,0.16337,[ 60 347] ; [ 23 148],[ 58.44463668 348.55536332] ; [ 24.55536332 146.44463668],0
a7,1,0.686918,0.162442,[331 113] ; [138  51],[328.96682464 115.03317536] ; [140.03317536  48.96682464],0
a6,1,0.795408,0.067234,[310 134] ; [130  59],[308.62559242 135.37440758] ; [131.37440758  57.62559242],0
n3,1,0.872021,0.025951,[69 28] ; [29 11],[69.38686131 27.61313869] ; [28.61313869 11.38686131],0
p11,1,0.909553,0.012905,[368  77] ; [157  32],[368.49369085  76.50630915] ; [156.50630915  32.49369085],0
