Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.2e-05,19.220859,[69  4] ; [16 11],[62.05 10.95] ; [22.95  4.05],1
r2,1,0.005236,7.796187,[70  2] ; [21  5],[66.85714286  5.14285714] ; [24.14285714  1.85714286],0
r3,1,0.018376,5.559967,[70  3] ; [22  5],[67.16  5.84] ; [24.84  2.16],0
v2,1,0.020922,5.33324,[38 30] ; [ 8 19],[32.92631579 35.07368421] ; [13.07368421 13.92631579],0
p11,1,0.021912,5.252724,[53 20] ; [13 14],[48.18 24.82] ; [17.82  9.18],0
p10,1,0.039866,4.223569,[52 20] ; [13 13],[47.75510204 24.24489796] ; [17.24489796  8.75510204],0
a5,1,0.040974,4.177096,[58 15] ; [16 11],[54.02 18.98] ; [19.98  7.02],0
p8,1,0.081311,3.038503,[44 29] ; [11 16],[40.15 32.85] ; [14.85 12.15],0
s1,1,0.088144,2.907955,[ 2 71] ; [ 3 24],[ 3.65 69.35] ; [ 1.35 25.65],0
v3,1,0.154326,2.028967,[23 44] ; [ 5 21],[20.17204301 46.82795699] ; [ 7.82795699 18.17204301],0
u1,1,0.156138,2.011236,[10 63] ; [ 1 26],[ 8.03 64.97] ; [ 2.97 24.03],0
n2,1,0.169686,1.885714,[6 5] ; [9 2],[7.5 3.5] ; [7.5 3.5],0
b4,1,0.179955,1.797996,[51 22] ; [15 12],[48.18 24.82] ; [17.82  9.18],0
s5,1,0.185803,1.750588,[20 48] ; [11 14],[22.66666667 45.33333333] ; [ 8.33333333 16.66666667],0
a1,1,0.190579,1.713138,[ 3 70] ; [ 3 24],[ 4.38 68.62] ; [ 1.62 25.38],0
s2,1,0.196923,1.665052,[30 43] ; [15 12],[32.85 40.15] ; [12.15 14.85],0
a7,1,0.200237,1.640643,[53 20] ; [16 11],[50.37 22.63] ; [18.63  8.37],0
d4,1,0.218664,1.513117,[64  9] ; [21  6],[62.05 10.95] ; [22.95  4.05],0
a2,1,0.22134,1.495664,[16 57] ; [ 3 24],[13.87 59.13] ; [ 5.13 21.87],0
s4,1,0.262662,1.254673,[14 59] ; [ 8 19],[16.06 56.94] ; [ 5.94 21.06],0
n3,1,0.268925,1.222222,[10  1] ; [8 3],[9. 2.] ; [9. 2.],0
n4,1,0.274089,1.196169,[36 37] ; [10 17],[33.58 39.42] ; [12.42 14.58],0
d3,1,0.2814,1.160317,[54 19] ; [17 10],[51.83 21.17] ; [19.17  7.83],0
a3,1,0.284656,1.144723,[49 24] ; [15 12],[46.72 26.28] ; [17.28  9.72],0
a6,1,0.311768,1.023169,[46 27] ; [14 13],[43.8 29.2] ; [16.2 10.8],0
p4,1,0.316744,1.002345,[51 22] ; [16 11],[48.91 24.09] ; [18.09  8.91],0
v4,1,0.327127,0.960237,[69  4] ; [24  3],[67.89  5.11] ; [25.11  1.89],0
n1,1,0.338352,0.916667,[2 9] ; [4 7],[3. 8.] ; [3. 8.],0
n6,1,0.379965,0.770816,[41 31] ; [18  9],[42.90909091 29.09090909] ; [16.09090909 10.90909091],0
d1,1,0.402251,0.701587,[42 31] ; [13 14],[40.15 32.85] ; [14.85 12.15],0
p9,1,0.407016,0.6875,[54 18] ; [18  9],[52.36363636 19.63636364] ; [19.63636364  7.36363636],0
u3,1,0.414216,0.666667,[19  5] ; [8 4],[18.  6.] ; [9. 3.],0
p2,1,0.41452,0.6658,[61 11] ; [21  6],[59.63636364 12.36363636] ; [22.36363636  4.63636364],0
d5,1,0.422752,0.642652,[57 16] ; [19  8],[55.48 17.52] ; [20.52  6.48],0
b1,1,0.425144,0.636054,[34 39] ; [15 12],[35.77 37.23] ; [13.23 13.77],0
p1,1,0.460246,0.545296,[ 9 62] ; [ 5 22],[10.14285714 60.85714286] ; [ 3.85714286 23.14285714],0
p6,1,0.471355,0.518799,[31 39] ; [ 9 16],[29.47368421 40.52631579] ; [10.52631579 14.47368421],0
p5,1,0.485537,0.486401,[ 5 68] ; [ 3 24],[ 5.84 67.16] ; [ 2.16 24.84],0
s6,1,0.548069,0.360787,[48 25] ; [16 11],[46.72 26.28] ; [17.28  9.72],0
p12,1,0.556504,0.345794,[ 5 68] ; [ 1 26],[ 4.38 68.62] ; [ 1.62 25.38],0
a4,1,0.558744,0.341884,[29 44] ; [ 9 18],[27.74 45.26] ; [10.26 16.74],0
s7,1,0.607562,0.26374,[27 40] ; [12 14],[28.09677419 38.90322581] ; [10.90322581 15.09677419],0
b5,1,0.624113,0.240129,[42 31] ; [17 10],[43.07 29.93] ; [15.93 11.07],0
u2,1,0.689095,0.160066,[15  8] ; [7 5],[14.45714286  8.54285714] ; [7.54285714 4.45714286],0
s3,1,0.807995,0.059055,[38 34] ; [13 13],[37.46938776 34.53061224] ; [13.53061224 12.46938776],0
p7,1,0.853812,0.033951,[52 20] ; [20  7],[52.36363636 19.63636364] ; [19.63636364  7.36363636],0
d2,1,0.859163,0.031485,[31 42] ; [12 15],[31.39 41.61] ; [11.61 15.39],0
v1,1,0.865215,0.028811,[29 39] ; [11 16],[28.63157895 39.36842105] ; [11.36842105 15.63157895],0
b2,1,0.896979,0.016765,[14 31] ; [ 5 12],[13.79032258 31.20967742] ; [ 5.20967742 11.79032258],0
b3,1,0.896979,0.016765,[14 31] ; [ 5 12],[13.79032258 31.20967742] ; [ 5.20967742 11.79032258],0
s8,1,0.974426,0.001028,[30 43] ; [11 16],[29.93 43.07] ; [11.07 15.93],0
