Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,96.540184,[ 54 123] ; [318 116],[107.76432079  69.23567921] ; [264.23567921 169.76432079],1
p6,1,0.0,62.714628,[ 27 151] ; [215 218],[ 70.50081833 107.49918167] ; [171.49918167 261.50081833],1
p3,1,0.0,45.041749,[ 58 120] ; [273 165],[95.6461039 82.3538961] ; [235.3538961 202.6461039],1
p4,1,0.0,36.110749,[85 94] ; [319 119],[117.20583468  61.79416532] ; [286.79416532 151.20583468],1
s7,1,1e-06,24.354306,[ 57 114] ; [234 186],[84.19796954 86.80203046] ; [206.80203046 213.19796954],1
s8,1,9e-06,19.769093,[ 55 123] ; [220 215],[79.85318108 98.14681892] ; [195.14681892 239.85318108],1
s5,1,1.4e-05,18.855717,[ 35 136] ; [166 259],[ 57.66946309 113.33053691] ; [143.33053691 281.66946309],1
p5,1,0.000585,11.823866,[ 10 169] ; [ 69 368],[ 22.95616883 156.04383117] ; [ 56.04383117 380.95616883],1
b1,1,0.00205,9.504267,[ 45 134] ; [167 271],[ 61.50405186 117.49594814] ; [150.49594814 287.50405186],0
v3,1,0.003081,8.758608,[ 54 120] ; [187 237],[ 70.12374582 103.87625418] ; [170.87625418 253.12374582],0
s6,1,0.006629,7.370775,[104  73] ; [299 127],[118.29353234  58.70646766] ; [284.70646766 141.29353234],0
a1,1,0.007184,7.22628,[  2 177] ; [ 27 411],[  8.41329011 170.58670989] ; [ 20.58670989 417.41329011],0
r1,1,0.00816,6.997998,[133  45] ; [365  70],[144.60685155  33.39314845] ; [353.39314845  81.60685155],0
p10,1,0.01228,6.269973,[147  31] ; [391  44],[156.22185971  21.77814029] ; [381.77814029  53.22185971],0
r4,1,0.012971,6.172998,[154  25] ; [405  33],[162.17341977  16.82658023] ; [396.82658023  41.17341977],0
a2,1,0.013519,6.099935,[ 30 149] ; [114 324],[ 41.77633712 137.22366288] ; [102.22366288 335.77633712],0
d3,1,0.016983,5.698091,[113  66] ; [319 119],[125.32901135  53.67098865] ; [306.67098865 131.32901135],0
s2,1,0.025237,5.007575,[ 74 101] ; [227 207],[86.49425287 88.50574713] ; [214.50574713 219.49425287],0
v4,1,0.028672,4.78717,[167  11] ; [421  11],[171.58032787   6.41967213] ; [416.41967213  15.58032787],0
v1,1,0.032163,4.589806,[85 87] ; [252 175],[96.76794658 75.23205342] ; [240.23205342 186.76794658],0
b5,1,0.039789,4.226855,[117  62] ; [247 191],[105.6012966  73.3987034] ; [258.3987034 179.6012966],0
a3,1,0.043944,4.058709,[121  58] ; [330 107],[131.05357143  47.94642857] ; [319.94642857 117.05357143],0
u1,1,0.044898,4.022454,[ 23 156] ; [ 86 352],[ 31.62236629 147.37763371] ; [ 77.37763371 360.62236629],0
p9,1,0.058466,3.580387,[153  24] ; [398  37],[159.35784314  17.64215686] ; [391.64215686  43.35784314],0
s3,1,0.06237,3.473222,[89 87] ; [253 177],[99.32673267 76.67326733] ; [242.67326733 187.32673267],0
b4,1,0.085405,2.958911,[114  65] ; [246 192],[104.44084279  74.55915721] ; [255.55915721 182.44084279],0
p1,1,0.107464,2.591121,[ 11 167] ; [ 45 392],[ 16.20813008 161.79186992] ; [ 39.79186992 397.20813008],0
v2,1,0.116919,2.458109,[92 80] ; [257 168],[100.54941374  71.45058626] ; [248.45058626 176.54941374],0
s4,1,0.142815,2.147358,[ 21 157] ; [ 71 360],[ 26.88998358 151.11001642] ; [ 65.11001642 365.88998358],0
u3,1,0.17214,1.864207,[37 21] ; [57 51],[32.84337349 25.15662651] ; [61.15662651 46.84337349],0
n5,1,0.179475,1.801969,[132  46] ; [345  91],[138.28338762  39.71661238] ; [338.71661238  97.28338762],0
d4,1,0.184958,1.757326,[142  36] ; [368  69],[147.6097561  30.3902439] ; [362.3902439  74.6097561],0
d1,1,0.194669,1.681925,[99 80] ; [267 171],[106.1815235  72.8184765] ; [259.8184765 178.1815235],0
a8,1,0.207286,1.590283,[ 20 142] ; [ 66 332],[ 24.87857143 137.12142857] ; [ 61.12142857 336.87857143],0
b3,1,0.337213,0.921,[36 66] ; [116 169],[40.0620155 61.9379845] ; [111.9379845 173.0620155],0
b2,1,0.337213,0.921,[36 66] ; [116 169],[40.0620155 61.9379845] ; [111.9379845 173.0620155],0
r3,1,0.345411,0.890245,[169   8] ; [422  13],[170.92647059   6.07352941] ; [420.07352941  14.92647059],0
d5,1,0.360051,0.837716,[144  35] ; [365  72],[147.90746753  31.09253247] ; [361.09253247  75.90746753],0
n4,1,0.384015,0.757809,[140  39] ; [356  82],[143.89627229  35.10372771] ; [352.10372771  85.89627229],0
n6,1,0.384598,0.755953,[153  26] ; [383  52],[156.26058632  22.73941368] ; [379.73941368  55.26058632],0
u4,1,0.422721,0.642737,[  2 177] ; [  9 428],[  3.19642857 175.80357143] ; [  7.80357143 429.19642857],0
a5,1,0.471342,0.518827,[132  47] ; [335 103],[135.48298217  43.51701783] ; [331.51701783 106.48298217],0
p12,1,0.616607,0.250666,[ 14 163] ; [ 40 396],[ 15.59216966 161.40783034] ; [ 38.40783034 397.59216966],0
r2,1,0.680343,0.169741,[167  12] ; [404  25],[168.10690789  10.89309211] ; [402.89309211  26.10690789],0
d2,1,0.716097,0.132263,[82 95] ; [210 228],[84.03902439 92.96097561] ; [207.96097561 230.03902439],0
n1,1,0.781478,0.076947,[14 27] ; [25 54],[13.325 27.675] ; [25.675 53.325],0
u2,1,0.805355,0.060724,[33 25] ; [63 44],[33.74545455 24.25454545] ; [62.25454545 44.74545455],0
a6,1,0.816001,0.054145,[125  54] ; [301 136],[123.78896104  55.21103896] ; [302.21103896 134.78896104],0
a7,1,0.834119,0.043857,[131  47] ; [318 119],[129.95447154  48.04552846] ; [319.04552846 117.95447154],0
a4,1,0.834706,0.043543,[ 78 101] ; [194 242],[79.16747967 99.83252033] ; [192.83252033 243.16747967],0
n2,1,0.857499,0.032241,[30 11] ; [59 20],[30.40833333 10.59166667] ; [58.59166667 20.40833333],0
n3,1,0.898753,0.016189,[32 10] ; [61 18],[32.28099174  9.71900826] ; [60.71900826 18.28099174],0
s1,1,0.970395,0.001377,[  4 173] ; [ 10 423],[  4.06229508 172.93770492] ; [  9.93770492 423.06229508],0
