Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,25.261032,[64 36] ; [ 48 103],[44.62151394 55.37848606] ; [67.37848606 83.62151394],1
s6,1,0.000206,13.77558,[63 42] ; [ 58 100],[48.30798479 56.69201521] ; [72.69201521 85.30798479],1
p2,1,0.001142,10.581232,[80 25] ; [90 69],[67.61363636 37.38636364] ; [102.38636364  56.61363636],0
p4,1,0.003746,8.402887,[48 57] ; [ 45 114],[36.98863636 68.01136364] ; [ 56.01136364 102.98863636],0
a5,1,0.003818,8.368236,[79 26] ; [92 67],[68.01136364 36.98863636] ; [102.98863636  56.01136364],0
s7,1,0.006018,7.544817,[39 60] ; [ 35 116],[29.304 69.696] ; [ 44.696 106.304],0
p9,1,0.006829,7.317315,[81 23] ; [96 59],[71.07335907 32.92664093] ; [105.92664093  49.07335907],0
v3,1,0.013023,6.166048,[39 60] ; [ 38 116],[30.13043478 68.86956522] ; [ 46.86956522 107.13043478],0
r3,1,0.016163,5.785063,[96  8] ; [130  29],[89.36882129 14.63117871] ; [136.63117871  22.36882129],0
p11,1,0.017968,5.599302,[77 28] ; [94 65],[68.01136364 36.98863636] ; [102.98863636  56.01136364],0
r1,1,0.02076,5.346845,[82 23] ; [103  56],[73.57954545 31.42045455] ; [111.42045455  47.57954545],0
p3,1,0.025601,4.982782,[33 71] ; [ 31 127],[25.40458015 78.59541985] ; [ 38.59541985 119.40458015],0
r2,1,0.026811,4.902966,[97  8] ; [131  27],[91.02661597 13.97338403] ; [136.97338403  21.02661597],0
s2,1,0.036103,4.392219,[39 63] ; [ 41 117],[31.38461538 70.61538462] ; [ 48.61538462 109.38461538],0
r4,1,0.042765,4.104672,[85 20] ; [111  48],[77.95454545 27.04545455] ; [118.04545455  40.95454545],0
p6,1,0.066451,3.368584,[17 87] ; [ 14 144],[12.30534351 91.69465649] ; [ 18.69465649 139.30534351],0
p10,1,0.085162,2.963524,[70 34] ; [89 68],[63.35632184 40.64367816] ; [95.64367816 61.35632184],0
v4,1,0.090678,2.86229,[93 11] ; [130  29],[88.18250951 15.81749049] ; [134.81749049  24.18250951],0
u2,1,0.126235,2.338205,[19 15] ; [25 38],[15.42268041 18.57731959] ; [28.57731959 34.42268041],0
a1,1,0.135024,2.233775,[  2 103] ; [  9 150],[  4.375 100.625] ; [  6.625 152.375],0
n2,1,0.154128,2.030909,[22  8] ; [39 28],[18.86597938 11.13402062] ; [42.13402062 24.86597938],0
n4,1,0.154955,2.022783,[78 27] ; [105  54],[72.78409091 32.21590909] ; [110.21590909  48.78409091],0
u4,1,0.173341,1.853812,[  4 101] ; [  2 157],[  2.38636364 102.61363636] ; [  3.61363636 155.38636364],0
u3,1,0.174974,1.8398,[20 15] ; [27 36],[16.78571429 18.21428571] ; [30.21428571 32.78571429],0
n3,1,0.176491,1.826923,[21  9] ; [36 29],[18. 12.] ; [39. 26.],0
b1,1,0.195148,1.678317,[34 71] ; [64 95],[38.97727273 66.02272727] ; [59.02272727 99.97727273],0
b4,1,0.211453,1.561453,[60 45] ; [103  56],[64.82954545 40.17045455] ; [98.17045455 60.82954545],0
s3,1,0.254028,1.301014,[44 58] ; [ 57 101],[39.62307692 62.37692308] ; [61.37692308 96.62307692],0
a2,1,0.256074,1.28986,[23 82] ; [ 26 133],[19.48863636 85.51136364] ; [ 29.51136364 129.48863636],0
d3,1,0.280565,1.164349,[69 36] ; [94 65],[64.82954545 40.17045455] ; [98.17045455 60.82954545],0
a3,1,0.281799,1.158393,[70 34] ; [96 62],[65.89312977 38.10687023] ; [100.10687023  57.89312977],0
a6,1,0.293709,1.102542,[72 33] ; [99 60],[68.01136364 36.98863636] ; [102.98863636  56.01136364],0
n5,1,0.370792,0.801008,[74 31] ; [103  55],[70.66539924 34.33460076] ; [106.33460076  51.66539924],0
a7,1,0.389875,0.739332,[74 31] ; [104  55],[70.79545455 34.20454545] ; [107.20454545  51.79545455],0
