Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,6.9e-05,15.827922,[12 65] ; [9 5],[17.76923077 59.23076923] ; [ 3.23076923 10.76923077],1
p6,1,0.001113,10.629898,[ 7 68] ; [6 8],[10.95505618 64.04494382] ; [ 2.04494382 11.95505618],0
p7,1,0.00128,10.371106,[13 62] ; [8 6],[17.69662921 57.30337079] ; [ 3.30337079 10.69662921],0
p3,1,0.006518,7.401316,[13 63] ; [7 7],[16.88888889 59.11111111] ; [ 3.11111111 10.88888889],0
s2,1,0.04009,4.214077,[18 59] ; [7 7],[21.15384615 55.84615385] ; [ 3.84615385 10.15384615],0
p5,1,0.049713,3.851097,[ 2 75] ; [ 2 12],[ 3.38461538 73.61538462] ; [ 0.61538462 13.38461538],0
b1,1,0.095697,2.775824,[46 31] ; [5 9],[43.15384615 33.84615385] ; [7.84615385 6.15384615],0
a7,1,0.097934,2.738863,[40 36] ; [ 4 10],[37.15555556 38.84444444] ; [6.84444444 7.15555556],0
n4,1,0.127353,2.32448,[49 27] ; [6 8],[46.44444444 29.55555556] ; [8.55555556 5.44444444],0
s8,1,0.143671,2.138193,[10 66] ; [ 4 10],[11.82222222 64.17777778] ; [ 2.17777778 11.82222222],0
n2,1,0.22704,1.459311,[19 18] ; [4 1],[20.26190476 16.73809524] ; [2.73809524 2.26190476],0
r2,1,0.242881,1.363792,[59 15] ; [13  1],[60.54545455 13.45454545] ; [11.45454545  2.54545455],0
a6,1,0.244687,1.353383,[36 40] ; [9 5],[38. 38.] ; [7. 7.],0
s6,1,0.2565,1.287551,[31 45] ; [8 6],[32.93333333 43.06666667] ; [6.06666667 7.93333333],0
s3,1,0.258626,1.276095,[23 53] ; [6 7],[24.76404494 51.23595506] ; [4.23595506 8.76404494],0
a5,1,0.276748,1.182992,[43 34] ; [10  4],[44.84615385 32.15384615] ; [8.15384615 5.84615385],0
p11,1,0.278087,1.176417,[28 49] ; [ 3 11],[26.23076923 50.76923077] ; [4.76923077 9.23076923],0
v2,1,0.333523,0.935172,[22 52] ; [6 8],[23.54545455 50.45454545] ; [4.45454545 9.54545455],0
u3,1,0.342178,0.902256,[18 14] ; [3 5],[16.8 15.2] ; [4.2 3.8],0
r3,1,0.346998,0.884404,[50 26] ; [11  3],[51.51111111 24.48888889] ; [9.48888889 4.51111111],0
a3,1,0.379137,0.773497,[45 31] ; [6 7],[43.5505618 32.4494382] ; [7.4494382 5.5505618],0
a4,1,0.392379,0.731557,[33 43] ; [4 9],[31.59550562 44.40449438] ; [5.40449438 7.59550562],0
n1,1,0.409215,0.681081,[15 22] ; [3 2],[15.85714286 21.14285714] ; [2.14285714 2.85714286],0
r1,1,0.461987,0.541077,[46 30] ; [7 7],[44.75555556 31.24444444] ; [8.24444444 5.75555556],0
p9,1,0.488785,0.4792,[15 59] ; [ 4 10],[15.97727273 58.02272727] ; [ 3.02272727 10.97727273],0
d4,1,0.502733,0.449162,[53 23] ; [11  3],[54.04444444 21.95555556] ; [9.95555556 4.04444444],0
b3,1,0.535143,0.384615,[20 32] ; [4 4],[20.8 31.2] ; [3.2 4.8],0
b2,1,0.535143,0.384615,[20 32] ; [4 4],[20.8 31.2] ; [3.2 4.8],0
u1,1,0.537211,0.380733,[10 67] ; [ 1 13],[ 9.30769231 67.69230769] ; [ 1.69230769 12.30769231],0
b4,1,0.557131,0.344697,[45 32] ; [7 7],[44. 33.] ; [8. 6.],0
u2,1,0.581831,0.303283,[15 16] ; [3 5],[14.30769231 16.69230769] ; [3.69230769 4.30769231],0
u4,1,0.585673,0.297153,[ 3 74] ; [ 1 13],[ 3.38461538 73.61538462] ; [ 0.61538462 13.38461538],0
d2,1,0.591603,0.287848,[38 37] ; [6 8],[37.07865169 37.92134831] ; [6.92134831 7.07865169],0
v4,1,0.614795,0.253251,[49 27] ; [10  4],[49.82222222 26.17777778] ; [9.17777778 4.82222222],0
r4,1,0.618126,0.24851,[44 33] ; [9 5],[44.84615385 32.15384615] ; [8.15384615 5.84615385],0
s7,1,0.626523,0.236805,[16 55] ; [ 4 10],[16.70588235 54.29411765] ; [ 3.29411765 10.70588235],0
n5,1,0.648942,0.207237,[43 33] ; [7 7],[42.22222222 33.77777778] ; [7.77777778 6.22222222],0
n3,1,0.676166,0.174474,[17 17] ; [2 3],[16.56410256 17.43589744] ; [2.43589744 2.56410256],0
v1,1,0.685581,0.163911,[23 53] ; [5 9],[23.64444444 52.35555556] ; [4.35555556 9.64444444],0
n6,1,0.738328,0.111602,[43 33] ; [8 5],[43.5505618 32.4494382] ; [7.4494382 5.5505618],0
b5,1,0.787937,0.072356,[41 36] ; [8 6],[41.46153846 35.53846154] ; [7.53846154 6.46153846],0
s1,1,0.797553,0.0658,[ 9 67] ; [ 2 12],[ 9.28888889 66.71111111] ; [ 1.71111111 12.28888889],0
a2,1,0.809598,0.058054,[13 64] ; [ 2 12],[12.69230769 64.30769231] ; [ 2.30769231 11.69230769],0
d1,1,0.857406,0.032284,[35 42] ; [6 8],[34.69230769 42.30769231] ; [6.30769231 7.69230769],0
s5,1,0.871522,0.026155,[12 63] ; [ 2 12],[11.79775281 63.20224719] ; [ 2.20224719 11.79775281],0
v3,1,0.882417,0.021876,[22 50] ; [ 4 10],[21.76744186 50.23255814] ; [4.23255814 9.76744186],0
d5,1,0.913354,0.011839,[50 26] ; [9 5],[49.82222222 26.17777778] ; [9.17777778 4.82222222],0
d3,1,0.927886,0.008191,[37 39] ; [7 7],[37.15555556 38.84444444] ; [6.84444444 7.15555556],0
