Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000844,11.140954,[ 3 27] ; [11 10],[ 8.23529412 21.76470588] ; [ 5.76470588 15.23529412],1
p11,1,0.001971,9.576667,[ 7 23] ; [14  7],[12.35294118 17.64705882] ; [ 8.64705882 12.35294118],0
r3,1,0.002596,9.07139,[11 19] ; [16  4],[16.2 13.8] ; [10.8  9.2],0
p10,1,0.003042,8.781827,[ 6 23] ; [13  8],[11.02 17.98] ; [ 7.98 13.02],0
p6,1,0.004442,8.09387,[ 1 28] ; [ 7 14],[ 4.64 24.36] ; [ 3.36 17.64],0
n6,1,0.012592,6.225591,[ 9 20] ; [14  7],[13.34 15.66] ; [ 9.66 11.34],0
p9,1,0.012592,6.225591,[ 9 20] ; [14  7],[13.34 15.66] ; [ 9.66 11.34],0
s8,1,0.025504,4.989365,[ 1 29] ; [ 5 16],[ 3.52941176 26.47058824] ; [ 2.47058824 18.52941176],0
s6,1,0.028818,4.778439,[ 5 25] ; [ 9 11],[ 8.4 21.6] ; [ 5.6 14.4],0
p4,1,0.036435,4.376633,[ 6 24] ; [10 11],[ 9.41176471 20.58823529] ; [ 6.58823529 14.41176471],0
v2,1,0.043931,4.05921,[ 6 23] ; [10 11],[ 9.28 19.72] ; [ 6.72 14.28],0
n3,1,0.054514,3.696875,[ 5 11] ; [4 1],[6.85714286 9.14285714] ; [2.14285714 2.85714286],0
r1,1,0.061582,3.494267,[ 8 22] ; [11 10],[11.17647059 18.82352941] ; [ 7.82352941 13.17647059],0
d5,1,0.157751,1.995652,[14 16] ; [14  7],[16.47058824 13.52941176] ; [11.52941176  9.47058824],0
v1,1,0.167291,1.907051,[ 5 25] ; [ 7 14],[ 7.05882353 22.94117647] ; [ 4.94117647 16.05882353],0
d3,1,0.173744,1.85034,[10 20] ; [11 10],[12.35294118 17.64705882] ; [ 8.64705882 12.35294118],0
b5,1,0.191654,1.704857,[13 17] ; [13  8],[15.29411765 14.70588235] ; [10.70588235 10.29411765],0
p1,1,0.194062,1.686508,[ 5 25] ; [ 1 20],[ 3.52941176 26.47058824] ; [ 2.47058824 18.52941176],0
d2,1,0.196005,1.671891,[15 14] ; [ 7 14],[12.76 16.24] ; [ 9.24 11.76],0
