Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.70041,[28 58] ; [49 19],[43. 43.] ; [34. 34.],1
p7,1,3e-06,21.543784,[27 57] ; [47 20],[41.16556291 42.83443709] ; [32.83443709 34.16556291],1
s7,1,0.000355,12.756592,[22 61] ; [36 29],[32.52702703 50.47297297] ; [25.47297297 39.52702703],1
v1,1,0.000831,11.171473,[25 56] ; [39 28],[35.02702703 45.97297297] ; [28.97297297 38.02702703],1
p8,1,0.001231,10.44376,[24 60] ; [37 31],[33.71052632 50.28947368] ; [27.28947368 40.71052632],0
p6,1,0.001687,9.862013,[19 65] ; [31 35],[28. 56.] ; [22. 44.],0
p1,1,0.006083,7.52569,[ 3 84] ; [11 57],[ 7.85806452 79.14193548] ; [ 6.14193548 61.85806452],0
p5,1,0.008923,6.838194,[ 5 82] ; [13 54],[10.16883117 76.83116883] ; [ 7.83116883 59.16883117],0
p2,1,0.009531,6.720608,[53 33] ; [55 13],[60.31168831 25.68831169] ; [47.68831169 20.31168831],0
s8,1,0.014438,5.983737,[21 66] ; [29 39],[28.06451613 58.93548387] ; [21.93548387 46.06451613],0
s6,1,0.024765,5.040226,[43 42] ; [46 21],[49.76973684 35.23026316] ; [39.23026316 27.76973684],0
s2,1,0.02602,4.954672,[33 54] ; [38 30],[39.8516129 47.1483871] ; [31.1483871 36.8516129],0
s5,1,0.033031,4.544172,[19 64] ; [24 37],[24.78472222 58.21527778] ; [18.21527778 42.78472222],0
s3,1,0.075701,3.154869,[34 51] ; [37 31],[39.44444444 45.55555556] ; [31.55555556 36.44444444],0
s1,1,0.100814,2.692621,[ 1 85] ; [ 4 64],[ 2.79220779 83.20779221] ; [ 2.20779221 65.79220779],0
p9,1,0.136489,2.217106,[62 22] ; [57 11],[65.76315789 18.23684211] ; [53.23684211 14.76315789],0
v4,1,0.140019,2.177751,[69 18] ; [60  8],[72.40645161 14.59354839] ; [56.59354839 11.40645161],0
v3,1,0.148394,2.088677,[24 61] ; [26 40],[28.14569536 56.85430464] ; [21.85430464 44.14569536],0
r2,1,0.164621,1.93126,[62 20] ; [56 10],[65.37837838 16.62162162] ; [52.62162162 13.37837838],0
a5,1,0.195406,1.676383,[50 37] ; [46 22],[53.88387097 33.11612903] ; [42.11612903 25.88387097],0
v2,1,0.207591,1.58815,[34 50] ; [34 33],[37.82781457 46.17218543] ; [30.17218543 36.82781457],0
p10,1,0.221606,1.493939,[58 29] ; [50 16],[61.41176471 25.58823529] ; [46.58823529 19.41176471],0
b5,1,0.24747,1.33753,[59 28] ; [40 28],[55.56774194 31.43225806] ; [43.43225806 24.56774194],0
b1,1,0.253125,1.305976,[33 54] ; [32 36],[36.48387097 50.51612903] ; [28.51612903 39.48387097],0
n5,1,0.255729,1.291731,[52 35] ; [46 21],[55.36363636 31.63636364] ; [42.63636364 24.36363636],0
n6,1,0.273862,1.197301,[65 22] ; [55 12],[67.79220779 19.20779221] ; [52.20779221 14.79220779],0
d5,1,0.292745,1.106956,[67 20] ; [57 11],[69.6 17.4] ; [54.4 13.6],0
p11,1,0.300389,1.072465,[60 27] ; [52 16],[62.86451613 24.13548387] ; [49.13548387 18.86451613],0
a8,1,0.31718,1.000539,[ 9 74] ; [ 4 61],[ 7.29054054 75.70945946] ; [ 5.70945946 59.29054054],0
n4,1,0.334889,0.929899,[55 32] ; [48 20],[57.81290323 29.18709677] ; [45.18709677 22.81290323],0
r3,1,0.341198,0.905924,[72 15] ; [60  8],[74.09032258 12.90967742] ; [57.90967742 10.09032258],0
d1,1,0.355564,0.853502,[46 41] ; [41 27],[48.83225806 38.16774194] ; [38.16774194 29.83225806],0
r4,1,0.384529,0.756174,[49 38] ; [43 25],[51.63870968 35.36129032] ; [40.36129032 27.63870968],0
d2,1,0.442178,0.590624,[40 46] ; [27 40],[37.66013072 48.33986928] ; [29.33986928 37.66013072],0
u1,1,0.44376,0.586541,[ 8 79] ; [ 4 64],[ 6.73548387 80.26451613] ; [ 5.26451613 62.73548387],0
n2,1,0.452505,0.564369,[23  9] ; [17  4],[24.1509434  7.8490566] ; [15.8490566  5.1509434],0
p12,1,0.4788,0.501596,[ 3 83] ; [ 4 64],[ 3.90909091 82.09090909] ; [ 3.09090909 64.90909091],0
