Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.2e-05,19.189079,[ 3 11] ; [70 19],[9.9223301 4.0776699] ; [63.0776699 25.9223301],1
d4,1,0.000128,14.668737,[7 7] ; [80  9],[11.82524272  2.17475728] ; [75.17475728 13.82524272],1
d2,1,0.000649,11.631184,[ 2 12] ; [56 33],[7.88349515 6.11650485] ; [50.11650485 38.88349515],1
d3,1,0.017624,5.633187,[6 8] ; [66 23],[9.78640777 4.21359223] ; [62.21359223 26.78640777],0
b4,1,0.019482,5.457769,[ 4 10] ; [55 34],[8.01941748 5.98058252] ; [50.98058252 38.01941748],0
p5,1,0.031487,4.626226,[ 2 12] ; [ 2 86],[ 0.54901961 13.45098039] ; [ 3.45098039 84.54901961],0
s3,1,0.031907,4.603464,[11  3] ; [42 46],[7.2745098 6.7254902] ; [45.7254902 42.2745098],0
a6,1,0.075017,3.169687,[6 8] ; [60 29],[8.97087379 5.02912621] ; [57.02912621 31.97087379],0
a8,1,0.102169,2.671358,[ 3 10] ; [ 6 68],[ 1.34482759 11.65517241] ; [ 7.65517241 66.34482759],0
a5,1,0.102647,2.663928,[8 6] ; [69 20],[10.46601942  3.53398058] ; [66.53398058 22.46601942],0
p8,1,0.144645,2.127839,[7 7] ; [26 60],[4.62 9.38] ; [28.38 57.62],0
v1,1,0.192691,1.696924,[10  4] ; [47 42],[7.74757282 6.25242718] ; [49.25242718 39.74757282],0
p9,1,0.204489,1.610018,[7 7] ; [58 28],[9.1 4.9] ; [55.9 30.1],0
n6,1,0.22621,1.464537,[12  2] ; [61 26],[10.11881188  3.88118812] ; [62.88118812 24.11881188],0
p7,1,0.265709,1.238765,[9 5] ; [41 44],[7.07070707 6.92929293] ; [42.92929293 42.07070707],0
n5,1,0.287148,1.132944,[10  4] ; [49 38],[8.17821782 5.82178218] ; [50.82178218 36.17821782],0
r4,1,0.310046,1.030479,[13  1] ; [73 16],[11.68932039  2.31067961] ; [74.31067961 14.68932039],0
n1,1,0.310611,1.028077,[2 1] ; [11 19],[1.18181818 1.81818182] ; [11.81818182 18.18181818],0
u2,1,0.359339,0.840201,[6 4] ; [ 8 11],[4.82758621 5.17241379] ; [9.17241379 9.82758621],0
p10,1,0.410175,0.678295,[7 7] ; [53 33],[8.4 5.6] ; [51.6 34.4],0
r1,1,0.413603,0.668421,[10  4] ; [72 17],[11.14563107  2.85436893] ; [70.85436893 18.14563107],0
s5,1,0.425354,0.635476,[ 4 10] ; [33 50],[5.34020619 8.65979381] ; [31.65979381 51.34020619],0
v4,1,0.429063,0.625358,[12  2] ; [82  7],[12.77669903  1.22330097] ; [81.22330097  7.77669903],0
b2,1,0.524522,0.404992,[1 4] ; [16 31],[1.63461538 3.36538462] ; [15.36538462 31.63461538],0
b3,1,0.524522,0.404992,[1 4] ; [16 31],[1.63461538 3.36538462] ; [15.36538462 31.63461538],0
s8,1,0.546007,0.364519,[5 9] ; [39 49],[6.03921569 7.96078431] ; [37.96078431 50.03921569],0
a7,1,0.559448,0.340661,[9 5] ; [64 25],[9.9223301 4.0776699] ; [63.0776699 25.9223301],0
p3,1,0.575943,0.312839,[5 9] ; [38 49],[5.96039604 8.03960396] ; [37.03960396 49.96039604],0
s2,1,0.576716,0.311574,[7 7] ; [51 37],[7.96078431 6.03921569] ; [50.03921569 37.96078431],0
b5,1,0.618823,0.247525,[8 6] ; [57 32],[8.83495146 5.16504854] ; [56.16504854 32.83495146],0
p4,1,0.620039,0.245813,[8 6] ; [43 43],[7.14 6.86] ; [43.86 42.14],0
n4,1,0.684066,0.165584,[10  4] ; [58 30],[9.33333333 4.66666667] ; [58.66666667 29.33333333],0
b1,1,0.703887,0.14446,[6 8] ; [43 46],[6.66019417 7.33980583] ; [42.33980583 46.66019417],0
p6,1,0.800457,0.063885,[6 8] ; [33 51],[5.57142857 8.42857143] ; [33.42857143 50.57142857],0
n3,1,0.804748,0.061111,[2 1] ; [22  8],[2.18181818 0.81818182] ; [21.81818182  8.18181818],0
p1,1,0.829142,0.046571,[ 1 13] ; [ 5 83],[ 0.82352941 13.17647059] ; [ 5.17647059 82.82352941],0
v3,1,0.838195,0.041699,[7 7] ; [40 45],[6.64646465 7.35353535] ; [40.35353535 44.64646465],0
s7,1,0.895755,0.017168,[7 7] ; [41 38],[7.22580645 6.77419355] ; [40.77419355 38.22580645],0
p2,1,0.905404,0.014122,[9 5] ; [58 30],[9.19607843 4.80392157] ; [57.80392157 30.19607843],0
s6,1,0.906264,0.013866,[10  4] ; [62 23],[10.18181818  3.81818182] ; [61.81818182 23.18181818],0
u3,1,0.919347,0.010253,[6 5] ; [10  9],[5.86666667 5.13333333] ; [10.13333333  8.86666667],0
