Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000445,12.331882,[40  5] ; [42 30],[31.53846154 13.46153846] ; [50.46153846 21.53846154],1
p10,1,0.001978,9.570191,[28 17] ; [23 47],[19.95652174 25.04347826] ; [31.04347826 38.95652174],0
p4,1,0.003148,8.719694,[16 28] ; [ 9 61],[ 9.64912281 34.35087719] ; [15.35087719 54.64912281],0
s4,1,0.006437,7.423692,[10 34] ; [ 4 67],[ 5.35652174 38.64347826] ; [ 8.64347826 62.35652174],0
v3,1,0.007886,7.059137,[19 25] ; [14 56],[12.73684211 31.26315789] ; [20.26315789 49.73684211],0
p3,1,0.014039,6.033208,[17 27] ; [13 59],[11.37931034 32.62068966] ; [18.62068966 53.37931034],0
d4,1,0.016226,5.778247,[38  7] ; [46 26],[32.30769231 12.69230769] ; [51.69230769 20.30769231],0
a7,1,0.018495,5.548609,[33 12] ; [37 35],[26.92307692 18.07692308] ; [43.07692308 28.92307692],0
s5,1,0.019797,5.429685,[11 33] ; [ 6 62],[ 6.67857143 37.32142857] ; [10.32142857 57.67857143],0
p7,1,0.020288,5.386927,[16 28] ; [12 58],[10.80701754 33.19298246] ; [17.19298246 52.80701754],0
r1,1,0.024337,5.070468,[32 13] ; [36 36],[26.15384615 18.84615385] ; [41.84615385 30.15384615],0
n6,1,0.026984,4.891854,[35 10] ; [41 30],[29.48275862 15.51724138] ; [46.51724138 24.48275862],0
v1,1,0.03454,4.467751,[15 29] ; [12 59],[10.33043478 33.66956522] ; [16.66956522 54.33043478],0
s6,1,0.038123,4.299524,[19 26] ; [17 54],[13.96551724 31.03448276] ; [22.03448276 48.96551724],0
d5,1,0.041186,4.168357,[34 11] ; [41 31],[28.84615385 16.15384615] ; [46.15384615 25.84615385],0
p6,1,0.066716,3.362032,[ 8 36] ; [ 5 66],[ 4.97391304 39.02608696] ; [ 8.02608696 62.97391304],0
p11,1,0.078083,3.104363,[25 20] ; [28 44],[20.38461538 24.61538462] ; [32.61538462 39.38461538],0
p8,1,0.082643,3.012143,[13 32] ; [11 60],[ 9.31034483 35.68965517] ; [14.68965517 56.31034483],0
v4,1,0.087949,2.911526,[36  9] ; [47 25],[31.92307692 13.07692308] ; [51.07692308 20.92307692],0
r4,1,0.092454,2.831111,[32 13] ; [40 32],[27.69230769 17.30769231] ; [44.30769231 27.69230769],0
d1,1,0.106806,2.60086,[25 20] ; [29 43],[20.76923077 24.23076923] ; [33.23076923 38.76923077],0
n5,1,0.14165,2.159947,[25 20] ; [49 22],[28.70689655 16.29310345] ; [45.29310345 25.70689655],0
n1,1,0.206677,1.594549,[ 4 10] ; [16 17],[5.95744681 8.04255319] ; [14.04255319 18.95744681],0
u3,1,0.21465,1.539784,[9 6] ; [13 19],[7.0212766 7.9787234] ; [14.9787234 17.0212766],0
p9,1,0.223236,1.483445,[23 21] ; [28 41],[19.85840708 24.14159292] ; [31.14159292 37.85840708],0
s7,1,0.22533,1.470102,[12 32] ; [12 56],[ 9.42857143 34.57142857] ; [14.57142857 53.42857143],0
a5,1,0.232994,1.422492,[30 15] ; [40 32],[26.92307692 18.07692308] ; [43.07692308 28.92307692],0
a3,1,0.307105,1.043084,[30 15] ; [40 30],[27.39130435 17.60869565] ; [42.60869565 27.39130435],0
p12,1,0.311631,1.02375,[ 3 42] ; [ 2 70],[ 1.92307692 43.07692308] ; [ 3.07692308 68.92307692],0
a2,1,0.392967,0.729742,[ 6 39] ; [14 58],[ 7.69230769 37.30769231] ; [12.30769231 59.69230769],0
r2,1,0.413553,0.668562,[37  6] ; [56 14],[35.38938053  7.61061947] ; [57.61061947 12.38938053],0
p1,1,0.422917,0.642196,[ 3 42] ; [ 8 64],[ 4.23076923 40.76923077] ; [ 6.76923077 65.23076923],0
a6,1,0.456014,0.555661,[25 20] ; [45 27],[26.92307692 18.07692308] ; [43.07692308 28.92307692],0
n3,1,0.469111,0.524069,[6 7] ; [18 13],[7.09090909 5.90909091] ; [16.90909091 14.09090909],0
s8,1,0.476275,0.507381,[10 35] ; [12 59],[ 8.53448276 36.46551724] ; [13.46551724 57.53448276],0
u2,1,0.555067,0.348317,[7 7] ; [13 19],[6.08695652 7.91304348] ; [13.91304348 18.08695652],0
n4,1,0.564576,0.331843,[27 18] ; [47 25],[28.46153846 16.53846154] ; [45.53846154 26.46153846],0
a4,1,0.585959,0.296699,[19 26] ; [26 44],[17.60869565 27.39130435] ; [27.39130435 42.60869565],0
d3,1,0.619177,0.247027,[24 21] ; [35 37],[22.69230769 22.30769231] ; [36.30769231 35.69230769],0
s3,1,0.632881,0.228175,[10 35] ; [13 57],[ 9. 36.] ; [14. 56.],0
b5,1,0.638959,0.220106,[23 22] ; [40 32],[24.23076923 20.76923077] ; [38.76923077 33.23076923],0
a1,1,0.699904,0.148571,[ 4 41] ; [ 8 64],[ 4.61538462 40.38461538] ; [ 7.38461538 64.61538462],0
p5,1,0.726346,0.122493,[ 3 42] ; [ 6 65],[ 3.49137931 41.50862069] ; [ 5.50862069 65.49137931],0
u4,1,0.735126,0.114457,[ 1 44] ; [ 1 71],[ 0.76923077 44.23076923] ; [ 1.23076923 70.76923077],0
d2,1,0.739199,0.110832,[22 23] ; [32 38],[21.13043478 23.86956522] ; [32.86956522 37.13043478],0
