Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.5e-05,16.630498,[ 7 57] ; [17 19],[15.36 48.64] ; [ 8.64 27.36],1
v4,1,0.002372,9.236466,[42 23] ; [34  3],[48.43137255 16.56862745] ; [27.56862745  9.43137255],0
r3,1,0.01105,6.457281,[41 25] ; [31  5],[46.58823529 19.41176471] ; [25.41176471 10.58823529],0
b4,1,0.023311,5.145145,[33 33] ; [27 10],[38.44660194 27.55339806] ; [21.55339806 15.44660194],0
p11,1,0.026428,4.92778,[26 40] ; [23 14],[31.39805825 34.60194175] ; [17.60194175 19.39805825],0
n6,1,0.027244,4.875255,[31 34] ; [26 11],[36.32352941 28.67647059] ; [20.67647059 16.32352941],0
p7,1,0.03827,4.292999,[21 45] ; [19 17],[25.88235294 40.11764706] ; [14.11764706 21.88235294],0
d4,1,0.04132,4.162841,[38 28] ; [28  8],[42.70588235 23.29411765] ; [23.29411765 12.70588235],0
p6,1,0.051846,3.780743,[ 7 58] ; [ 9 26],[10.4 54.6] ; [ 5.6 29.4],0
a6,1,0.065619,3.389347,[36 30] ; [27 10],[40.36893204 25.63106796] ; [22.63106796 14.36893204],0
v1,1,0.068829,3.310734,[14 52] ; [14 23],[17.94174757 48.05825243] ; [10.05825243 26.94174757],0
p4,1,0.083772,2.990166,[15 51] ; [14 22],[18.76470588 47.23529412] ; [10.23529412 25.76470588],0
d2,1,0.087378,2.92203,[35 30] ; [13 23],[30.89108911 34.10891089] ; [17.10891089 18.89108911],0
r4,1,0.0876,2.917942,[35 31] ; [26 11],[39.08737864 26.91262136] ; [21.91262136 15.08737864],0
n3,1,0.095188,2.784375,[15 17] ; [9 3],[17.45454545 14.54545455] ; [6.54545455 5.45454545],0
d1,1,0.102015,2.673761,[23 43] ; [19 18],[26.91262136 39.08737864] ; [15.08737864 21.91262136],0
s4,1,0.104374,2.637405,[ 8 58] ; [ 1 36],[ 5.76699029 60.23300971] ; [ 3.23300971 33.76699029],0
p8,1,0.109755,2.557748,[12 53] ; [12 25],[15.29411765 49.70588235] ; [ 8.70588235 28.29411765],0
