Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000143,14.46679,[5 4] ; [93  6],[8.16666667 0.83333333] ; [89.83333333  9.16666667],1
r4,1,0.000516,12.058033,[3 6] ; [82 17],[7.08333333 1.91666667] ; [77.91666667 21.08333333],1
r2,1,0.003317,8.624482,[5 4] ; [89 10],[7.83333333 1.16666667] ; [86.16666667 12.83333333],0
a7,1,0.006517,7.401399,[3 6] ; [75 24],[6.5 2.5] ; [71.5 27.5],0
p10,1,0.009192,6.785052,[3 6] ; [73 25],[6.39252336 2.60747664] ; [69.60747664 28.39252336],0
p2,1,0.012794,6.197367,[4 5] ; [79 19],[6.98130841 2.01869159] ; [76.01869159 21.98130841],0
p11,1,0.032379,4.57833,[3 6] ; [68 31],[5.91666667 3.08333333] ; [65.08333333 33.91666667],0
n6,1,0.036654,4.366426,[3 6] ; [66 31],[5.85849057 3.14150943] ; [63.14150943 33.85849057],0
d5,1,0.042419,4.118408,[4 5] ; [75 24],[6.58333333 2.41666667] ; [72.41666667 26.58333333],0
a6,1,0.074193,3.187721,[3 6] ; [63 36],[5.5 3.5] ; [60.5 38.5],0
s8,1,0.074193,3.187721,[1 8] ; [41 58],[3.5 5.5] ; [38.5 60.5],0
r1,1,0.093445,2.813996,[4 5] ; [70 28],[6.22429907 2.77570093] ; [67.77570093 30.22429907],0
b1,1,0.098266,2.733471,[6 3] ; [38 61],[3.66666667 5.33333333] ; [40.33333333 58.66666667],0
d1,1,0.103984,2.643357,[2 7] ; [50 49],[4.33333333 4.66666667] ; [47.66666667 51.33333333],0
n2,1,0.106795,2.601017,[1 2] ; [26  8],[2.18918919 0.81081081] ; [24.81081081  9.18918919],0
n1,1,0.186379,1.746013,[2 1] ; [10 24],[0.97297297 2.02702703] ; [11.02702703 22.97297297],0
p9,1,0.192438,1.698851,[5 4] ; [74 24],[6.64485981 2.35514019] ; [72.35514019 25.64485981],0
v2,1,0.241446,1.372129,[3 6] ; [50 43],[4.67647059 4.32352941] ; [48.32352941 44.67647059],0
d3,1,0.27559,1.188712,[5 4] ; [72 27],[6.41666667 2.58333333] ; [70.58333333 28.41666667],0
s2,1,0.323834,0.973398,[3 6] ; [50 49],[4.41666667 4.58333333] ; [48.58333333 50.41666667],0
s1,1,0.333785,0.934157,[1 8] ; [ 4 95],[0.41666667 8.58333333] ; [ 4.58333333 94.41666667],0
b4,1,0.37738,0.779221,[4 5] ; [59 40],[5.25 3.75] ; [57.75 41.25],0
p6,1,0.395016,0.723445,[2 7] ; [36 63],[3.16666667 5.83333333] ; [34.83333333 64.16666667],0
a8,1,0.432371,0.616445,[1 7] ; [ 5 85],[0.48979592 7.51020408] ; [ 5.51020408 84.48979592],0
b3,1,0.437202,0.603616,[1 5] ; [17 36],[1.83050847 4.16949153] ; [16.16949153 36.83050847],0
b2,1,0.437202,0.603616,[1 5] ; [17 36],[1.83050847 4.16949153] ; [16.16949153 36.83050847],0
d4,1,0.449255,0.57253,[6 3] ; [77 22],[6.91666667 2.08333333] ; [76.08333333 22.91666667],0
s5,1,0.459597,0.546875,[2 7] ; [33 63],[3. 6.] ; [32. 64.],0
p3,1,0.51976,0.41437,[6 3] ; [55 44],[5.08333333 3.91666667] ; [55.91666667 43.08333333],0
v1,1,0.529033,0.396249,[3 6] ; [42 53],[3.89423077 5.10576923] ; [41.10576923 53.89423077],0
s4,1,0.546494,0.363636,[3 6] ; [24 75],[2.25 6.75] ; [24.75 74.25],0
p8,1,0.636077,0.223909,[4 4] ; [58 41],[4.63551402 3.36448598] ; [57.36448598 41.63551402],0
b5,1,0.636657,0.22314,[6 3] ; [58 41],[5.33333333 3.66666667] ; [58.66666667 40.33333333],0
p7,1,0.684871,0.164695,[7 2] ; [70 28],[6.47663551 2.52336449] ; [70.52336449 27.47663551],0
n5,1,0.747913,0.103293,[3 6] ; [38 60],[3.44859813 5.55140187] ; [37.55140187 60.44859813],0
s7,1,0.762279,0.0915,[3 5] ; [40 53],[3.40594059 4.59405941] ; [39.59405941 53.40594059],0
a4,1,0.765,0.089354,[3 6] ; [38 61],[3.41666667 5.58333333] ; [37.58333333 61.41666667],0
p1,1,0.76812,0.086928,[1 8] ; [ 8 89],[0.76415094 8.23584906] ; [ 8.23584906 88.76415094],0
d2,1,0.810082,0.057754,[3 6] ; [37 62],[3.33333333 5.66666667] ; [36.66666667 62.33333333],0
a3,1,0.810082,0.057754,[6 3] ; [62 37],[5.66666667 3.33333333] ; [62.33333333 36.66666667],0
n3,1,0.861443,0.030463,[2 1] ; [25 10],[2.13157895 0.86842105] ; [24.86842105 10.13157895],0
s3,1,0.885868,0.020602,[5 4] ; [52 46],[4.79439252 4.20560748] ; [52.20560748 45.79439252],0
v3,1,0.908128,0.013317,[2 6] ; [25 68],[2.13861386 5.86138614] ; [24.86138614 68.13861386],0
s6,1,0.951252,0.003737,[6 3] ; [65 34],[5.91666667 3.08333333] ; [65.08333333 33.91666667],0
u2,1,1.0,0.0,[2 1] ; [24 12],[2. 1.] ; [24. 12.],0
