Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.034108,4.489275,[  9 106] ; [2 4],[ 10.45454545 104.54545455] ; [0.54545455 5.45454545],0
p4,1,0.051972,3.776657,[26 91] ; [3 2],[27.81147541 89.18852459] ; [1.18852459 3.81147541],0
p8,1,0.0709,3.262057,[23 96] ; [3 3],[24.752 94.248] ; [1.248 4.752],0
p3,1,0.160441,1.970067,[29 90] ; [3 3],[30.464 88.536] ; [1.536 4.464],0
d4,1,0.165032,1.927506,[89 29] ; [3 3],[87.5483871 30.4516129] ; [4.4516129 1.5483871],0
s6,1,0.171772,1.867414,[46 73] ; [4 2],[47.6 71.4] ; [2.4 3.6],0
p7,1,0.189043,1.725058,[30 87] ; [3 3],[31.3902439 85.6097561] ; [1.6097561 4.3902439],0
a6,1,0.198502,1.653363,[67 51] ; [5 1],[68.51612903 49.48387097] ; [3.48387097 2.51612903],0
v3,1,0.217098,1.523453,[30 82] ; [3 3],[31.3220339 80.6779661] ; [1.6779661 4.3220339],0
a5,1,0.21766,1.519732,[69 50] ; [5 1],[70.448 48.552] ; [3.552 2.448],0
v2,1,0.22793,1.45373,[46 65] ; [1 5],[44.58974359 66.41025641] ; [2.41025641 3.58974359],0
r2,1,0.250379,1.321185,[98 18] ; [4 2],[96.98360656 19.01639344] ; [5.01639344 0.98360656],0
a4,1,0.271703,1.208131,[46 72] ; [1 5],[44.72580645 73.27419355] ; [2.27419355 3.72580645],0
n5,1,0.271703,1.208131,[72 46] ; [5 1],[73.27419355 44.72580645] ; [3.72580645 2.27419355],0
d5,1,0.340584,0.908232,[81 37] ; [3 3],[79.93548387 38.06451613] ; [4.06451613 1.93548387],0
p12,1,0.357876,0.845333,[  8 111] ; [1 5],[  8.568 110.432] ; [0.432 5.568],0
s5,1,0.365725,0.818137,[21 93] ; [2 4],[21.85 92.15] ; [1.15 4.85],0
s1,1,0.42762,0.629279,[  9 109] ; [1 5],[  9.51612903 108.48387097] ; [0.48387097 5.51612903],0
d1,1,0.461124,0.543166,[58 61] ; [2 4],[57.12 61.88] ; [2.88 3.12],0
b5,1,0.485593,0.486276,[62 57] ; [4 2],[62.832 56.168] ; [3.168 2.832],0
p1,1,0.485726,0.48598,[ 10 109] ; [1 5],[ 10.472 108.528] ; [0.528 5.472],0
b3,1,0.500865,0.453102,[25 47] ; [1 4],[24.31168831 47.68831169] ; [1.68831169 3.31168831],0
b2,1,0.500865,0.453102,[25 47] ; [1 4],[24.31168831 47.68831169] ; [1.68831169 3.31168831],0
a3,1,0.560546,0.33876,[73 45] ; [3 3],[72.32258065 45.67741935] ; [3.67741935 2.32258065],0
s7,1,0.575403,0.313725,[30 81] ; [1 5],[29.41025641 81.58974359] ; [1.58974359 4.41025641],0
r3,1,0.583258,0.300998,[91 28] ; [4 2],[90.44 28.56] ; [4.56 1.44],0
u2,1,0.601529,0.272696,[22 23] ; [1 2],[21.5625 23.4375] ; [1.4375 1.5625],0
v4,1,0.607334,0.264076,[88 31] ; [5 1],[88.536 30.464] ; [4.464 1.536],0
p10,1,0.621188,0.244202,[57 60] ; [3 2],[57.54098361 59.45901639] ; [2.45901639 2.54098361],0
b4,1,0.645096,0.212139,[68 51] ; [4 2],[68.544 50.456] ; [3.456 2.544],0
a7,1,0.673718,0.177284,[69 50] ; [4 2],[69.496 49.504] ; [3.504 2.496],0
n3,1,0.707196,0.141093,[25 20] ; [2 1],[25.3125 19.6875] ; [1.6875 1.3125],0
s8,1,0.729921,0.119184,[27 92] ; [1 5],[26.656 92.344] ; [1.344 4.656],0
p6,1,0.778028,0.079462,[ 15 103] ; [1 5],[ 15.22580645 102.77419355] ; [0.77419355 5.22580645],0
u3,1,0.785493,0.074075,[19 27] ; [1 2],[18.7755102 27.2244898] ; [1.2244898 1.7755102],0
r1,1,0.793683,0.068399,[73 46] ; [4 2],[73.304 45.696] ; [3.696 2.304],0
n1,1,0.815021,0.054735,[20 28] ; [1 1],[20.16 27.84] ; [0.84 1.16],0
p11,1,0.824483,0.049188,[54 65] ; [3 3],[54.264 64.736] ; [2.736 3.264],0
n2,1,0.850814,0.035374,[30 19] ; [2 1],[30.15384615 18.84615385] ; [1.84615385 1.15384615],0
n4,1,0.85679,0.032567,[75 44] ; [4 2],[75.208 43.792] ; [3.792 2.208],0
d2,1,0.868882,0.027251,[54 62] ; [3 3],[54.19672131 61.80327869] ; [2.80327869 3.19672131],0
b1,1,0.888022,0.019827,[63 56] ; [3 3],[62.832 56.168] ; [3.168 2.832],0
p9,1,0.933202,0.007025,[55 59] ; [3 3],[55.1 58.9] ; [2.9 3.1],0
d3,1,0.935409,0.006568,[61 57] ; [3 3],[60.90322581 57.09677419] ; [3.09677419 2.90322581],0
s4,1,0.950939,0.003786,[21 98] ; [1 5],[20.944 98.056] ; [1.056 4.944],0
s3,1,0.965233,0.0019,[38 79] ; [2 4],[38.04878049 78.95121951] ; [1.95121951 4.04878049],0
r4,1,0.988692,0.000201,[79 40] ; [4 2],[79.016 39.984] ; [3.984 2.016],0
