Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,32.513536,[274  82] ; [32 41],[253.93006993 102.06993007] ; [52.06993007 20.93006993],1
n4,1,0.0,26.28075,[282  76] ; [37 37],[264.35648148  93.64351852] ; [54.64351852 19.35648148],1
p10,1,0.000198,13.854414,[304  51] ; [50 24],[292.93706294  62.06293706] ; [61.06293706 12.93706294],1
r4,1,0.001886,9.657723,[319  39] ; [56 18],[310.76388889  47.23611111] ; [64.23611111  9.76388889],0
a5,1,0.002348,9.255044,[262  96] ; [41 33],[251.09722222 106.90277778] ; [51.90277778 22.09722222],0
b1,1,0.007292,7.19953,[120 238] ; [37 37],[130.10648148 227.89351852] ; [26.89351852 47.10648148],0
p9,1,0.010019,6.631602,[310  45] ; [56 18],[302.86713287  52.13286713] ; [63.13286713 10.86713287],0
r2,1,0.017071,5.689101,[329  24] ; [61 11],[323.92941176  29.07058824] ; [66.07058824  5.92941176],0
a4,1,0.023342,5.142871,[152 205] ; [21 53],[143.29698376 213.70301624] ; [29.70301624 44.29698376],0
d1,1,0.026518,4.921938,[191 167] ; [29 45],[182.31481481 175.68518519] ; [37.68518519 36.31481481],0
u2,1,0.02858,4.792723,[60 58] ; [20  7],[65.10344828 52.89655172] ; [14.89655172 12.10344828],0
s5,1,0.037013,4.349816,[114 232] ; [15 58],[106.52505967 239.47494033] ; [22.47494033 50.52505967],0
p3,1,0.04066,4.190114,[167 190] ; [25 49],[159.03480278 197.96519722] ; [32.96519722 41.03480278],0
u3,1,0.050019,3.840814,[63 55] ; [20  7],[67.54482759 50.45517241] ; [15.45517241 11.54482759],0
r1,1,0.06487,3.408268,[276  81] ; [49 24],[269.8255814  87.1744186] ; [55.1744186 17.8255814],0
u1,1,0.066681,3.36289,[ 59 299] ; [ 6 68],[ 53.86574074 304.13425926] ; [11.13425926 62.86574074],0
n1,1,0.072139,3.23367,[24 53] ; [11 10],[27.5 49.5] ; [ 7.5 13.5],0
a7,1,0.085432,2.958409,[254 104] ; [45 29],[247.78240741 110.21759259] ; [51.21759259 22.78240741],0
d5,1,0.085526,2.956621,[280  78] ; [51 23],[274.30092593  83.69907407] ; [56.69907407 17.30092593],0
d2,1,0.097116,2.752282,[158 199] ; [25 49],[151.5800464 205.4199536] ; [31.4199536 42.5800464],0
p6,1,0.108687,2.573215,[132 223] ; [19 51],[126.12941176 228.87058824] ; [24.87058824 45.12941176],0
b5,1,0.142007,2.156077,[209 149] ; [50 24],[214.63425926 143.36574074] ; [44.36574074 29.63425926],0
s6,1,0.148332,2.089321,[231 121] ; [42 32],[225.57746479 126.42253521] ; [47.42253521 26.57746479],0
r3,1,0.155438,2.018058,[342  15] ; [68  6],[339.60556845  17.39443155] ; [70.39443155  3.60556845],0
s2,1,0.160652,1.96808,[166 189] ; [28 46],[160.53613054 194.46386946] ; [33.46386946 40.53613054],0
s7,1,0.161294,1.962057,[148 201] ; [23 46],[142.77272727 206.22727273] ; [28.22727273 40.77272727],0
d4,1,0.18592,1.749658,[286  72] ; [54 20],[281.75925926  76.24074074] ; [58.24074074 15.75925926],0
a2,1,0.187636,1.736081,[ 72 286] ; [10 64],[ 67.9537037 290.0462963] ; [14.0462963 59.9537037],0
b2,1,0.204538,1.609669,[ 79 137] ; [12 33],[ 75.31034483 140.68965517] ; [15.68965517 29.31034483],0
b3,1,0.204538,1.609669,[ 79 137] ; [12 33],[ 75.31034483 140.68965517] ; [15.68965517 29.31034483],0
b4,1,0.207325,1.590007,[217 141] ; [39 35],[212.14814815 145.85185185] ; [43.85185185 30.14814815],0
p4,1,0.216275,1.528919,[209 148] ; [37 36],[204.2372093 152.7627907] ; [41.7627907 31.2372093],0
n2,1,0.216546,1.527117,[56 20] ; [19  3],[58.16326531 17.83673469] ; [16.83673469  5.16326531],0
v4,1,0.228838,1.448066,[336  21] ; [65  7],[333.6993007  23.3006993] ; [67.3006993  4.6993007],0
p12,1,0.27314,1.200907,[ 21 334] ; [ 2 71],[ 19.0771028 335.9228972] ; [ 3.9228972 69.0771028],0
p2,1,0.287657,1.130555,[306  51] ; [59 14],[303.03488372  53.96511628] ; [61.96511628 11.03488372],0
v1,1,0.302829,1.061696,[158 191] ; [27 43],[154.09307876 194.90692124] ; [30.90692124 39.09307876],0
n3,1,0.309277,1.033762,[59 16] ; [15  7],[57.21649485 17.78350515] ; [16.78350515  5.21649485],0
p5,1,0.31122,1.025491,[ 32 324] ; [ 4 70],[ 29.80465116 326.19534884] ; [ 6.19534884 67.80465116],0
p8,1,0.33687,0.922305,[191 162] ; [35 38],[187.27230047 165.72769953] ; [38.72769953 34.27230047],0
d3,1,0.428182,0.627751,[235 123] ; [45 29],[232.03703704 125.96296296] ; [47.96296296 26.03703704],0
u4,1,0.454758,0.558765,[  2 356] ; [ 1 73],[  2.48611111 355.51388889] ; [ 0.51388889 73.48611111],0
s3,1,0.474829,0.510716,[181 175] ; [41 33],[183.79534884 172.20465116] ; [38.20465116 35.79534884],0
s1,1,0.476736,0.506321,[ 10 345] ; [ 1 72],[  9.12383178 345.87616822] ; [ 1.87616822 71.12383178],0
s8,1,0.485316,0.486895,[136 221] ; [25 49],[133.35730858 223.64269142] ; [27.64269142 46.35730858],0
a1,1,0.563332,0.333968,[ 10 348] ; [ 3 71],[ 10.77314815 347.22685185] ; [ 2.22685185 71.77314815],0
a8,1,0.563405,0.333842,[ 47 288] ; [ 8 62],[ 45.49382716 289.50617284] ; [ 9.50617284 60.49382716],0
a3,1,0.590969,0.288833,[239 119] ; [47 27],[237.00925926 120.99074074] ; [48.99074074 25.00925926],0
p7,1,0.622262,0.242701,[216 135] ; [44 24],[217.80429594 133.19570406] ; [42.19570406 25.80429594],0
v2,1,0.662857,0.190072,[144 204] ; [27 43],[142.36363636 205.63636364] ; [28.63636364 41.36363636],0
a6,1,0.717961,0.130454,[240 118] ; [48 26],[238.66666667 119.33333333] ; [49.33333333 24.66666667],0
p1,1,0.75316,0.098895,[ 23 333] ; [ 4 69],[ 22.40559441 333.59440559] ; [ 4.59440559 68.40559441],0
s4,1,0.761024,0.092499,[ 67 284] ; [13 61],[ 66.07058824 284.92941176] ; [13.92941176 60.07058824],0
