Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.378723,[2 7] ; [90 17],[7.13793103 1.86206897] ; [84.86206897 22.13793103],1
r3,1,0.001156,10.558633,[5 4] ; [96  9],[7.97368421 1.02631579] ; [93.02631579 11.97368421],0
n2,1,0.004053,8.259821,[1 4] ; [23  5],[3.63636364 1.36363636] ; [20.36363636  7.63636364],0
r2,1,0.009935,6.646573,[5 3] ; [97  9],[7.15789474 0.84210526] ; [94.84210526 11.15789474],0
s2,1,0.013874,6.054161,[3 6] ; [77 29],[6.26086957 2.73913043] ; [73.73913043 32.26086957],0
r1,1,0.016136,5.787954,[3 6] ; [77 30],[6.20689655 2.79310345] ; [73.79310345 33.20689655],0
a7,1,0.017181,5.677826,[3 6] ; [76 30],[6.1826087 2.8173913] ; [72.8173913 33.1826087],0
a6,1,0.01775,5.620617,[2 7] ; [67 40],[5.35344828 3.64655172] ; [63.64655172 43.35344828],0
d5,1,0.018041,5.592155,[4 5] ; [84 22],[6.88695652 2.11304348] ; [81.11304348 24.88695652],0
s3,1,0.019791,5.430204,[3 6] ; [76 31],[6.12931034 2.87068966] ; [72.87068966 34.12931034],0
d4,1,0.021828,5.25943,[4 5] ; [84 23],[6.82758621 2.17241379] ; [81.17241379 25.82758621],0
s8,1,0.034199,4.484703,[1 8] ; [51 56],[4.03448276 4.96551724] ; [47.96551724 59.03448276],0
s1,1,0.034964,4.446933,[2 7] ; [  5 101],[0.54782609 8.45217391] ; [ 6.45217391 99.54782609],0
p9,1,0.035866,4.403453,[5 4] ; [88 17],[7.34210526 1.65789474] ; [85.65789474 19.34210526],0
s6,1,0.050833,3.813758,[5 4] ; [85 18],[7.23214286 1.76785714] ; [82.76785714 20.23214286],0
p6,1,0.052285,3.766621,[1 8] ; [47 59],[3.75652174 5.24347826] ; [44.24347826 61.75652174],0
n3,1,0.074447,3.182143,[2 3] ; [22  6],[3.63636364 1.36363636] ; [20.36363636  7.63636364],0
b1,1,0.084565,2.974911,[6 3] ; [40 67],[3.56896552 5.43103448] ; [42.43103448 64.56896552],0
p10,1,0.088958,2.893124,[5 4] ; [84 21],[7.02631579 1.97368421] ; [81.97368421 23.02631579],0
s5,1,0.110612,2.545455,[2 7] ; [48 48],[4.28571429 4.71428571] ; [45.71428571 50.28571429],0
p2,1,0.117653,2.448288,[5 4] ; [84 23],[6.90517241 2.09482759] ; [82.09482759 24.90517241],0
a5,1,0.166099,1.917801,[4 5] ; [72 35],[5.89655172 3.10344828] ; [70.10344828 36.89655172],0
a4,1,0.224372,1.476188,[2 7] ; [46 61],[3.72413793 5.27586207] ; [44.27586207 62.72413793],0
d1,1,0.250308,1.321584,[3 6] ; [57 50],[4.65517241 4.34482759] ; [55.34482759 51.65517241],0
n4,1,0.256545,1.287307,[4 5] ; [68 39],[5.5862069 3.4137931] ; [66.4137931 40.5862069],0
n6,1,0.290007,1.11959,[6 3] ; [87 20],[7.21551724 1.78448276] ; [85.78448276 21.21551724],0
d3,1,0.308271,1.038071,[5 4] ; [76 30],[6.33913043 2.66086957] ; [74.66086957 31.33913043],0
p7,1,0.357038,0.848286,[4 5] ; [62 41],[5.30357143 3.69642857] ; [60.69642857 42.30357143],0
p4,1,0.399806,0.708909,[4 5] ; [63 44],[5.19827586 3.80172414] ; [61.80172414 45.19827586],0
p11,1,0.400373,0.707205,[5 4] ; [74 33],[6.12931034 2.87068966] ; [72.87068966 34.12931034],0
b4,1,0.465763,0.532009,[4 5] ; [61 46],[5.04310345 3.95689655] ; [59.95689655 47.04310345],0
n1,1,0.492331,0.471429,[1 4] ; [10 18],[1.66666667 3.33333333] ; [ 9.33333333 18.66666667],0
p8,1,0.528189,0.397875,[3 5] ; [52 54],[3.85964912 4.14035088] ; [51.14035088 54.85964912],0
b2,1,0.58208,0.302885,[2 5] ; [11 45],[1.44444444 5.55555556] ; [11.55555556 44.44444444],0
b3,1,0.58208,0.302885,[2 5] ; [11 45],[1.44444444 5.55555556] ; [11.55555556 44.44444444],0
b5,1,0.633368,0.227521,[5 4] ; [68 39],[5.6637931 3.3362069] ; [67.3362069 39.6637931],0
a3,1,0.726346,0.122493,[6 3] ; [65 42],[5.50862069 3.49137931] ; [65.49137931 41.50862069],0
n5,1,0.829684,0.046271,[6 3] ; [75 32],[6.28448276 2.71551724] ; [74.71551724 32.28448276],0
p1,1,0.862172,0.03014,[1 8] ; [10 97],[0.85344828 8.14655172] ; [10.14655172 96.85344828],0
v1,1,0.889199,0.01941,[4 5] ; [45 62],[3.80172414 5.19827586] ; [45.19827586 61.80172414],0
p3,1,0.895015,0.017414,[4 5] ; [50 57],[4.18965517 4.81034483] ; [49.81034483 57.18965517],0
v2,1,0.922158,0.009548,[3 6] ; [36 67],[3.13392857 5.86607143] ; [35.86607143 67.13392857],0
u3,1,0.933668,0.006927,[2 1] ; [27 15],[1.93333333 1.06666667] ; [27.06666667 14.93333333],0
d2,1,0.980801,0.000579,[4 5] ; [48 59],[4.03448276 4.96551724] ; [47.96551724 59.03448276],0
s7,1,0.990038,0.000156,[5 4] ; [57 46],[4.98214286 4.01785714] ; [57.01785714 45.98214286],0
