Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.6e-05,18.63937,[35  8] ; [35 50],[23.515625 19.484375] ; [46.484375 38.515625],1
s7,1,0.000937,10.948853,[22 19] ; [18 59],[13.89830508 27.10169492] ; [26.10169492 50.89830508],1
s5,1,0.001953,9.593001,[15 26] ; [10 70],[ 8.47107438 32.52892562] ; [16.52892562 63.47107438],0
s2,1,0.0029,8.869376,[26 17] ; [28 57],[18.140625 24.859375] ; [35.859375 49.140625],0
b2,1,0.005647,7.659667,[14 18] ; [ 6 35],[ 8.76712329 23.23287671] ; [11.23287671 29.76712329],0
b3,1,0.005647,7.659667,[14 18] ; [ 6 35],[ 8.76712329 23.23287671] ; [11.23287671 29.76712329],0
p10,1,0.011702,6.355424,[33 10] ; [44 38],[26.488 16.512] ; [50.512 31.488],0
p9,1,0.012939,6.177438,[36  7] ; [51 31],[29.928 13.072] ; [57.072 24.928],0
v1,1,0.025964,4.958448,[25 18] ; [31 52],[19.11111111 23.88888889] ; [36.88888889 46.11111111],0
p5,1,0.027268,4.873762,[ 4 39] ; [ 1 82],[ 1.70634921 41.29365079] ; [ 3.29365079 79.70634921],0
p11,1,0.027373,4.867145,[34 10] ; [49 36],[28.31007752 15.68992248] ; [54.68992248 30.31007752],0
s4,1,0.032035,4.596626,[11 33] ; [ 9 76],[ 6.82170543 37.17829457] ; [13.17829457 71.82170543],0
p6,1,0.040361,4.202658,[15 29] ; [14 65],[10.37398374 33.62601626] ; [18.62601626 60.37398374],0
d1,1,0.04058,4.193463,[27 17] ; [36 49],[21.48837209 22.51162791] ; [41.51162791 43.48837209],0
u3,1,0.068516,3.318227,[15  1] ; [19  8],[12.65116279  3.34883721] ; [21.34883721  5.65116279],0
p3,1,0.070851,3.2632,[23 21] ; [30 54],[18.21875 25.78125] ; [34.78125 49.21875],0
d5,1,0.077672,3.112951,[38  6] ; [61 23],[34.03125  9.96875] ; [64.96875 19.03125],0
