Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.6e-05,17.709668,[20  8] ; [ 5 25],[12.06896552 15.93103448] ; [12.93103448 17.06896552],1
p11,1,0.002014,9.537169,[16 13] ; [ 5 25],[10.3220339 18.6779661] ; [10.6779661 19.3220339],0
p2,1,0.005827,7.603167,[17 10] ; [ 8 22],[11.84210526 15.15789474] ; [13.15789474 16.84210526],0
b5,1,0.006201,7.49095,[20  9] ; [10 20],[14.74576271 14.25423729] ; [15.25423729 14.74576271],0
n2,1,0.017335,5.662167,[9 2] ; [ 7 12],[5.86666667 5.13333333] ; [10.13333333  8.86666667],0
v4,1,0.01753,5.642506,[19  9] ; [11 19],[14.48275862 13.51724138] ; [15.51724138 14.48275862],0
v1,1,0.034721,4.458859,[14 14] ; [ 7 23],[10.13793103 17.86206897] ; [10.86206897 19.13793103],0
p7,1,0.049737,3.850289,[16 11] ; [10 20],[12.31578947 14.68421053] ; [13.68421053 16.31578947],0
d2,1,0.083124,3.002737,[ 9 20] ; [16 14],[12.28813559 16.71186441] ; [12.71186441 17.28813559],0
r3,1,0.091185,2.853334,[16 13] ; [10 20],[12.77966102 16.22033898] ; [13.22033898 16.77966102],0
r1,1,0.093372,2.815255,[ 5 24] ; [11 19],[ 7.86440678 21.13559322] ; [ 8.13559322 21.86440678],0
b3,1,0.096875,2.75625,[ 3 13] ; [ 9 11],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
b2,1,0.096875,2.75625,[ 3 13] ; [ 9 11],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
s8,1,0.115746,2.473958,[ 6 23] ; [ 2 28],[ 3.93220339 25.06779661] ; [ 4.06779661 25.93220339],0
b1,1,0.119431,2.424773,[22  7] ; [17 13],[19.16949153  9.83050847] ; [19.83050847 10.16949153],0
a4,1,0.119431,2.424773,[ 7 22] ; [13 17],[ 9.83050847 19.16949153] ; [10.16949153 19.83050847],0
v2,1,0.138058,2.199472,[12 17] ; [ 7 23],[ 9.33898305 19.66101695] ; [ 9.66101695 20.33898305],0
s6,1,0.138058,2.199472,[12 17] ; [ 7 23],[ 9.33898305 19.66101695] ; [ 9.66101695 20.33898305],0
v3,1,0.147892,2.093856,[ 7 22] ; [ 3 27],[ 4.91525424 24.08474576] ; [ 5.08474576 24.91525424],0
n3,1,0.15631,2.009569,[7 4] ; [ 7 12],[5.13333333 5.86666667] ; [ 8.86666667 10.13333333],0
p4,1,0.168715,1.894326,[ 9 19] ; [ 5 25],[ 6.75862069 21.24137931] ; [ 7.24137931 22.75862069],0
s1,1,0.172895,1.857659,[ 1 28] ; [ 4 26],[ 2.45762712 26.54237288] ; [ 2.54237288 27.45762712],0
s3,1,0.184927,1.757576,[15 14] ; [10 19],[12.5 16.5] ; [12.5 16.5],0
s2,1,0.21095,1.564896,[10 19] ; [ 6 24],[ 7.86440678 21.13559322] ; [ 8.13559322 21.86440678],0
s7,1,0.246219,1.344632,[ 9 19] ; [ 5 22],[ 7.12727273 20.87272727] ; [ 6.87272727 20.12727273],0
u2,1,0.249561,1.325758,[7 3] ; [7 8],[5.6 4.4] ; [8.4 6.6],0
p3,1,0.251276,1.316195,[ 6 22] ; [ 3 26],[ 4.42105263 23.57894737] ; [ 4.57894737 24.42105263],0
r2,1,0.256066,1.289901,[18  9] ; [15 14],[15.91071429 11.08928571] ; [17.08928571 11.91071429],0
a8,1,0.267642,1.228792,[ 3 25] ; [ 1 29],[ 1.93103448 26.06896552] ; [ 2.06896552 27.93103448],0
p8,1,0.272562,1.20381,[ 8 19] ; [ 5 24],[ 6.26785714 20.73214286] ; [ 6.73214286 22.26785714],0
a3,1,0.286233,1.137255,[19 10] ; [15 14],[17. 12.] ; [17. 12.],0
p6,1,0.410531,0.677261,[ 6 21] ; [ 4 25],[ 4.82142857 22.17857143] ; [ 5.17857143 23.82142857],0
d1,1,0.47211,0.517034,[ 9 20] ; [12 18],[10.3220339 18.6779661] ; [10.6779661 19.3220339],0
u3,1,0.48384,0.490196,[4 6] ; [ 4 11],[3.2 6.8] ; [ 4.8 10.2],0
a7,1,0.506394,0.441511,[17 12] ; [15 15],[15.72881356 13.27118644] ; [16.27118644 13.72881356],0
a5,1,0.506394,0.441511,[12 17] ; [15 15],[13.27118644 15.72881356] ; [13.72881356 16.27118644],0
n5,1,0.513538,0.426852,[16 13] ; [14 16],[14.74576271 14.25423729] ; [15.25423729 14.74576271],0
a6,1,0.518764,0.41635,[14 15] ; [17 13],[15.23728814 13.76271186] ; [15.76271186 14.23728814],0
d5,1,0.523508,0.406977,[16 13] ; [19 11],[17.20338983 11.79661017] ; [17.79661017 12.20338983],0
n1,1,0.592097,0.287081,[3 8] ; [ 7 12],[3.66666667 7.33333333] ; [ 6.33333333 12.66666667],0
d3,1,0.599209,0.27619,[15 13] ; [14 16],[14. 14.] ; [15. 15.],0
p1,1,0.66872,0.183103,[ 2 27] ; [ 3 27],[ 2.45762712 26.54237288] ; [ 2.54237288 27.45762712],0
b4,1,0.697667,0.15091,[15 14] ; [14 16],[14.25423729 14.74576271] ; [14.74576271 15.25423729],0
a2,1,0.722675,0.125944,[ 3 26] ; [ 4 26],[ 3.44067797 25.55932203] ; [ 3.55932203 26.44067797],0
a1,1,0.758918,0.094189,[ 4 25] ; [ 5 25],[ 4.42372881 24.57627119] ; [ 4.57627119 25.42372881],0
