Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.693669,[75  3] ; [19 13],[66.65454545 11.34545455] ; [27.34545455  4.65454545],1
r2,1,3.5e-05,17.128187,[76  2] ; [22  9],[70.12844037  7.87155963] ; [27.87155963  3.12844037],1
v4,1,0.00069,11.514811,[74  4] ; [23  9],[68.78181818  9.21818182] ; [28.21818182  3.78181818],1
p1,1,0.00079,11.263628,[ 2 76] ; [ 7 25],[ 6.38181818 71.61818182] ; [ 2.61818182 29.38181818],1
s3,1,0.006885,7.302659,[43 33] ; [ 9 23],[36.59259259 39.40740741] ; [15.40740741 16.59259259],0
r3,1,0.037145,4.343771,[76  2] ; [28  4],[73.74545455  4.25454545] ; [30.25454545  1.74545455],0
n4,1,0.063164,3.452292,[60 18] ; [19 13],[56.01818182 21.98181818] ; [22.98181818  9.01818182],0
b4,1,0.073455,3.204068,[47 31] ; [25  7],[51.05454545 26.94545455] ; [20.94545455 11.05454545],0
p12,1,0.093476,2.813468,[11 67] ; [ 1 31],[ 8.50909091 69.49090909] ; [ 3.49090909 28.50909091],0
p3,1,0.130138,2.290862,[31 46] ; [ 8 24],[27.55045872 49.44954128] ; [11.44954128 20.55045872],0
n1,1,0.154044,2.031746,[11  7] ; [5 9],[9. 9.] ; [7. 7.],0
u3,1,0.156469,2.00802,[22 10] ; [6 7],[19.91111111 12.08888889] ; [8.08888889 4.91111111],0
b2,1,0.180658,1.792199,[21 31] ; [ 5 16],[18.52054795 33.47945205] ; [ 7.47945205 13.52054795],0
b3,1,0.180658,1.792199,[21 31] ; [ 5 16],[18.52054795 33.47945205] ; [ 7.47945205 13.52054795],0
s6,1,0.186353,1.746217,[49 28] ; [16 16],[45.91743119 31.08256881] ; [19.08256881 12.91743119],0
a4,1,0.18692,1.741727,[35 43] ; [10 22],[31.90909091 46.09090909] ; [13.09090909 18.90909091],0
s7,1,0.189773,1.719377,[35 41] ; [10 21],[31.96261682 44.03738318] ; [13.03738318 17.96261682],0
v3,1,0.20943,1.575359,[29 44] ; [ 8 22],[26.22330097 46.77669903] ; [10.77669903 19.22330097],0
v2,1,0.230623,1.437015,[41 32] ; [12 16],[38.30693069 34.69306931] ; [14.69306931 13.30693069],0
a6,1,0.248589,1.331213,[50 27] ; [17 15],[47.33027523 29.66972477] ; [19.66972477 12.33027523],0
p7,1,0.25484,1.296572,[29 44] ; [ 9 23],[26.41904762 46.58095238] ; [11.58095238 20.41904762],0
a7,1,0.265155,1.241639,[48 30] ; [16 16],[45.38181818 32.61818182] ; [18.61818182 13.38181818],0
a5,1,0.283877,1.148434,[50 28] ; [17 15],[47.50909091 30.49090909] ; [19.49090909 12.50909091],0
p6,1,0.321258,0.983818,[15 62] ; [ 9 23],[16.95412844 60.04587156] ; [ 7.04587156 24.95412844],0
u1,1,0.324529,0.970606,[13 65] ; [ 3 29],[11.34545455 66.65454545] ; [ 4.65454545 27.34545455],0
a2,1,0.324529,0.970606,[13 65] ; [ 3 29],[11.34545455 66.65454545] ; [ 4.65454545 27.34545455],0
p10,1,0.355083,0.855209,[58 20] ; [21 11],[56.01818182 21.98181818] ; [22.98181818  9.01818182],0
b5,1,0.371981,0.797036,[44 34] ; [21 11],[46.09090909 31.90909091] ; [18.90909091 13.09090909],0
s2,1,0.372858,0.794118,[38 38] ; [13 19],[35.88888889 40.11111111] ; [15.11111111 16.88888889],0
d1,1,0.401066,0.705128,[41 37] ; [14 18],[39. 39.] ; [16. 16.],0
b1,1,0.405854,0.690912,[36 42] ; [12 20],[34.03636364 43.96363636] ; [13.96363636 18.03636364],0
p4,1,0.419022,0.653057,[30 46] ; [10 22],[28.14814815 47.85185185] ; [11.85185185 20.14814815],0
v1,1,0.419194,0.652575,[37 39] ; [12 18],[35.13207547 40.86792453] ; [13.86792453 16.13207547],0
s1,1,0.428047,0.628117,[ 4 72] ; [ 3 29],[ 4.92592593 71.07407407] ; [ 2.07407407 29.92592593],0
a1,1,0.490747,0.474888,[ 5 73] ; [ 1 31],[ 4.25454545 73.74545455] ; [ 1.74545455 30.25454545],0
u2,1,0.507211,0.439817,[20 11] ; [7 6],[19.02272727 11.97727273] ; [7.97727273 5.02272727],0
p8,1,0.548557,0.359909,[20 58] ; [10 22],[21.27272727 56.72727273] ; [ 8.72727273 23.27272727],0
d3,1,0.577099,0.310949,[43 34] ; [16 16],[41.67889908 35.32110092] ; [17.32110092 14.67889908],0
d5,1,0.583364,0.300828,[50 27] ; [19 13],[48.74311927 28.25688073] ; [20.25688073 11.74311927],0
a8,1,0.586295,0.296167,[ 7 67] ; [ 2 30],[ 6.28301887 67.71698113] ; [ 2.71698113 29.28301887],0
s4,1,0.615448,0.252318,[15 61] ; [ 5 27],[14.07407407 61.92592593] ; [ 5.92592593 26.07407407],0
u4,1,0.646877,0.20986,[ 4 74] ; [ 1 31],[ 3.54545455 74.45454545] ; [ 1.45454545 30.54545455],0
d2,1,0.68948,0.159649,[34 43] ; [15 16],[34.93518519 42.06481481] ; [14.06481481 16.93518519],0
p9,1,0.717759,0.13065,[58 20] ; [22  9],[57.24770642 20.75229358] ; [22.75229358  8.24770642],0
s5,1,0.758099,0.09485,[21 52] ; [ 8 23],[20.35576923 52.64423077] ; [ 8.64423077 22.35576923],0
n2,1,0.804748,0.061111,[15  3] ; [12  3],[14.72727273  3.27272727] ; [12.27272727  2.72727273],0
d4,1,0.816979,0.053561,[57 20] ; [23  9],[56.51376147 20.48623853] ; [23.48623853  8.51376147],0
s8,1,0.829857,0.046176,[33 44] ; [13 19],[32.49541284 44.50458716] ; [13.50458716 18.49541284],0
p5,1,0.879251,0.023079,[ 8 67] ; [ 3 28],[ 7.78301887 67.21698113] ; [ 3.21698113 27.78301887],0
n3,1,0.907226,0.013581,[11  6] ; [10  5],[11.15625  5.84375] ; [9.84375 5.15625],0
n5,1,0.962474,0.002214,[55 22] ; [23  9],[55.10091743 21.89908257] ; [22.89908257  9.10091743],0
a3,1,0.969037,0.001507,[46 32] ; [19 13],[46.09090909 31.90909091] ; [18.90909091 13.09090909],0
n6,1,0.988089,0.000223,[62 15] ; [25  6],[62.02777778 14.97222222] ; [24.97222222  6.02777778],0
