Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.000122,14.758401,[38  3] ; [24 19],[30.26190476 10.73809524] ; [31.73809524 11.26190476],1
v4,1,0.000255,13.374207,[40  1] ; [28 14],[33.59036145  7.40963855] ; [34.40963855  7.59036145],1
n6,1,0.006342,7.450366,[31 10] ; [20 23],[24.89285714 16.10714286] ; [26.10714286 16.89285714],0
n2,1,0.015239,5.888637,[16  4] ; [ 7 10],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
p9,1,0.059172,3.56044,[30  9] ; [24 18],[26. 13.] ; [28. 14.],0
s6,1,0.065425,3.394238,[22 18] ; [15 28],[17.8313253 22.1686747] ; [19.1686747 23.8313253],0
a5,1,0.083171,3.001811,[22 19] ; [15 28],[18.05952381 22.94047619] ; [18.94047619 24.05952381],0
s8,1,0.097015,2.753942,[13 28] ; [ 7 36],[ 9.76190476 31.23809524] ; [10.23809524 32.76190476],0
p10,1,0.107873,2.58511,[27 13] ; [21 21],[23.41463415 16.58536585] ; [24.58536585 17.41463415],0
p6,1,0.119189,2.427947,[14 27] ; [ 8 34],[10.86746988 30.13253012] ; [11.13253012 30.86746988],0
b1,1,0.123536,2.371907,[16 25] ; [24 19],[19.52380952 21.47619048] ; [20.47619048 22.52380952],0
v1,1,0.178337,1.811427,[10 31] ; [16 26],[12.84337349 28.15662651] ; [13.15662651 28.84337349],0
n1,1,0.199256,1.647821,[ 7 12] ; [ 3 14],[ 5.27777778 13.72222222] ; [ 4.72222222 12.27777778],0
p3,1,0.212111,1.556961,[16 25] ; [11 31],[13.3373494 27.6626506] ; [13.6626506 28.3373494],0
p7,1,0.22283,1.486049,[22 18] ; [17 24],[19.25925926 20.74074074] ; [19.74074074 21.25925926],0
b4,1,0.263881,1.248283,[25 16] ; [21 22],[22.45238095 18.54761905] ; [23.54761905 19.45238095],0
s4,1,0.269412,1.219739,[14 27] ; [10 33],[11.71428571 29.28571429] ; [12.28571429 30.71428571],0
d2,1,0.282915,1.153035,[17 24] ; [13 30],[14.64285714 26.35714286] ; [15.35714286 27.64285714],0
s7,1,0.2859,1.138829,[13 27] ; [ 9 32],[10.86419753 29.13580247] ; [11.13580247 29.86419753],0
s5,1,0.288796,1.125224,[13 28] ; [ 9 33],[10.86746988 30.13253012] ; [11.13253012 30.86746988],0
b2,1,0.291721,1.11166,[ 9 13] ; [ 6 17],[ 7.33333333 14.66666667] ; [ 7.66666667 15.33333333],0
b3,1,0.291721,1.11166,[ 9 13] ; [ 6 17],[ 7.33333333 14.66666667] ; [ 7.66666667 15.33333333],0
s1,1,0.328977,0.952921,[ 1 40] ; [ 3 40],[ 1.95238095 39.04761905] ; [ 2.04761905 40.95238095],0
p11,1,0.35632,0.850822,[26 15] ; [23 20],[23.91666667 17.08333333] ; [25.08333333 17.91666667],0
a4,1,0.367783,0.81114,[11 30] ; [ 8 35],[ 9.27380952 31.72619048] ; [ 9.72619048 33.27380952],0
d5,1,0.392852,0.730096,[26 14] ; [24 19],[24.09638554 15.90361446] ; [25.90361446 17.09638554],0
n3,1,0.431176,0.619654,[12  8] ; [8 9],[10.81081081  9.18918919] ; [9.18918919 7.81081081],0
b5,1,0.478074,0.503254,[26 15] ; [24 19],[24.4047619 16.5952381] ; [25.5952381 17.4047619],0
u1,1,0.528616,0.39705,[ 2 39] ; [ 1 42],[ 1.46428571 39.53571429] ; [ 1.53571429 41.46428571],0
s2,1,0.532168,0.390249,[18 23] ; [16 27],[16.5952381 24.4047619] ; [17.4047619 25.5952381],0
v2,1,0.594585,0.283241,[10 30] ; [13 30],[11.08433735 28.91566265] ; [11.91566265 31.08433735],0
a8,1,0.600741,0.27388,[ 1 38] ; [ 2 40],[ 1.44444444 37.55555556] ; [ 1.55555556 40.44444444],0
a1,1,0.605719,0.266456,[ 3 38] ; [ 2 41],[ 2.44047619 38.55952381] ; [ 2.55952381 40.44047619],0
u3,1,0.661126,0.192158,[11 10] ; [11 13],[10.26666667 10.73333333] ; [11.73333333 12.26666667],0
a6,1,0.666116,0.186179,[21 20] ; [20 23],[20.01190476 20.98809524] ; [20.98809524 22.01190476],0
p1,1,0.66841,0.183467,[ 4 37] ; [ 3 39],[ 3.45783133 37.54216867] ; [ 3.54216867 38.45783133],0
a2,1,0.684474,0.165133,[ 2 39] ; [ 3 40],[ 2.44047619 38.55952381] ; [ 2.55952381 40.44047619],0
u2,1,0.6885,0.160714,[10 11] ; [10 14],[ 9.33333333 11.66666667] ; [10.66666667 13.33333333],0
s3,1,0.689853,0.159245,[17 24] ; [16 27],[16.10714286 24.89285714] ; [16.89285714 26.10714286],0
a7,1,0.699585,0.148904,[24 16] ; [24 19],[23.13253012 16.86746988] ; [24.86746988 18.13253012],0
a3,1,0.746475,0.104517,[20 21] ; [19 23],[19.26506024 21.73493976] ; [19.73493976 22.26506024],0
d3,1,0.812089,0.056516,[22 18] ; [22 20],[21.46341463 18.53658537] ; [22.53658537 19.46341463],0
p8,1,0.819848,0.051866,[16 25] ; [15 26],[15.5 25.5] ; [15.5 25.5],0
p2,1,0.886944,0.020213,[26 15] ; [26 16],[25.68674699 15.31325301] ; [26.31325301 15.68674699],0
v3,1,0.889367,0.01935,[ 6 33] ; [ 6 36],[ 5.77777778 33.22222222] ; [ 6.22222222 35.77777778],0
d1,1,0.933485,0.006966,[13 28] ; [14 29],[13.17857143 27.82142857] ; [13.82142857 29.17857143],0
