Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5.4e-05,16.294835,[101  39] ; [15 25],[90.22222222 49.77777778] ; [25.77777778 14.22222222],1
d3,1,5.8e-05,16.152776,[114  26] ; [20 20],[104.22222222  35.77777778] ; [29.77777778 10.22222222],1
p2,1,0.006598,7.379368,[119  19] ; [27 13],[113.19101124  24.80898876] ; [32.80898876  7.19101124],0
p10,1,0.011654,6.36282,[120  18] ; [28 12],[114.74157303  23.25842697] ; [33.25842697  6.74157303],0
d5,1,0.022071,5.240197,[112  28] ; [25 15],[106.55555556  33.44444444] ; [30.44444444  9.55555556],0
n1,1,0.029693,4.726994,[ 6 31] ; [6 7],[ 8.88 28.12] ; [3.12 9.88],0
a1,1,0.029695,4.726891,[  5 135] ; [ 5 35],[  7.77777778 132.22222222] ; [ 2.22222222 37.77777778],0
a4,1,0.047232,3.937116,[46 94] ; [20 20],[51.33333333 88.66666667] ; [14.66666667 25.33333333],0
u1,1,0.060095,3.534769,[ 18 122] ; [ 1 39],[ 14.77777778 125.22222222] ; [ 4.22222222 35.77777778],0
b1,1,0.078743,3.090659,[ 36 104] ; [16 24],[40.44444444 99.55555556] ; [11.55555556 28.44444444],0
p1,1,0.092112,2.837072,[  9 128] ; [ 6 34],[ 11.61016949 125.38983051] ; [ 3.38983051 36.61016949],0
p8,1,0.099049,2.720787,[67 72] ; [13 26],[62.47191011 76.52808989] ; [17.52808989 21.47191011],0
r1,1,0.126569,2.334088,[107  32] ; [26 14],[103.27932961  35.72067039] ; [29.72067039 10.27932961],0
n3,1,0.155827,2.014261,[30  7] ; [8 5],[28.12  8.88] ; [9.88 3.12],0
a2,1,0.156583,2.006922,[ 23 117] ; [ 3 37],[ 20.22222222 119.77777778] ; [ 5.77777778 34.22222222],0
d4,1,0.169417,1.888091,[121  19] ; [31  9],[118.22222222  21.77777778] ; [33.77777778  6.22222222],0
d1,1,0.173838,1.849534,[80 60] ; [18 22],[76.22222222 63.77777778] ; [21.77777778 18.22222222],0
p5,1,0.239036,1.386268,[ 11 128] ; [ 1 38],[  9.37078652 129.62921348] ; [ 2.62921348 36.37078652],0
v3,1,0.246746,1.341634,[39 95] ; [ 7 29],[36.25882353 97.74117647] ; [ 9.74117647 26.25882353],0
v4,1,0.25445,1.298702,[131   7] ; [36  4],[129.47191011   8.52808989] ; [37.52808989  2.47191011],0
r4,1,0.257077,1.28443,[122  18] ; [32  8],[119.77777778  20.22222222] ; [34.22222222  5.77777778],0
b3,1,0.277104,1.18124,[22 50] ; [11 15],[24.24489796 47.75510204] ; [ 8.75510204 17.24489796],0
b2,1,0.277104,1.18124,[22 50] ; [11 15],[24.24489796 47.75510204] ; [ 8.75510204 17.24489796],0
n6,1,0.282492,1.155064,[96 43] ; [24 16],[93.18435754 45.81564246] ; [26.81564246 13.18435754],0
u3,1,0.287762,1.130064,[30 18] ; [6 7],[28.32786885 19.67213115] ; [7.67213115 5.32786885],0
a5,1,0.310494,1.028571,[96 44] ; [24 16],[93.33333333 46.66666667] ; [26.66666667 13.33333333],0
n2,1,0.333808,0.934069,[23 14] ; [10  3],[24.42 12.58] ; [8.58 4.42],0
p12,1,0.338758,0.915126,[  9 131] ; [ 1 39],[  7.77777778 132.22222222] ; [ 2.22222222 37.77777778],0
s3,1,0.34659,0.885902,[68 70] ; [22 16],[70.56818182 67.43181818] ; [19.43181818 18.56818182],0
r2,1,0.357118,0.848003,[129   8] ; [36  4],[127.71186441   9.28813559] ; [37.28813559  2.71186441],0
