Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,56.606054,[247  70] ; [44 68],[215.02797203 101.97202797] ; [75.97202797 36.02797203],1
d3,1,0.0,37.165917,[243  74] ; [51 61],[217.24475524  99.75524476] ; [76.75524476 35.24475524],1
u1,1,8.5e-05,15.447437,[ 69 248] ; [  6 106],[ 55.41958042 261.58041958] ; [19.58041958 92.41958042],1
a2,1,0.000433,12.385064,[ 89 228] ; [13 99],[ 75.37062937 241.62937063] ; [26.62937063 85.37062937],1
d5,1,0.001615,9.942076,[267  50] ; [79 33],[255.66899767  61.33100233] ; [90.33100233 21.66899767],0
s5,1,0.009514,6.723726,[ 90 219] ; [45 60],[100.76086957 208.23913043] ; [34.23913043 70.76086957],0
v4,1,0.014864,5.932469,[301  14] ; [98 12],[295.72941176  19.27058824] ; [103.27058824   6.72941176],0
b3,1,0.017284,5.667292,[ 58 123] ; [35 38],[ 66.27165354 114.72834646] ; [26.72834646 46.27165354],0
b2,1,0.017284,5.667292,[ 58 123] ; [35 38],[ 66.27165354 114.72834646] ; [26.72834646 46.27165354],0
r4,1,0.017454,5.650163,[301  16] ; [99 13],[295.57109557  21.42890443] ; [104.42890443   7.57109557],0
b5,1,0.023551,5.127372,[200 117] ; [57 55],[189.9044289 127.0955711] ; [67.0955711 44.9044289],0
b1,1,0.030661,4.671859,[116 201] ; [54 58],[125.61771562 191.38228438] ; [44.38228438 67.61771562],0
a5,1,0.031008,4.652524,[240  77] ; [73 39],[231.28438228  85.71561772] ; [81.71561772 30.28438228],0
v2,1,0.053284,3.734978,[140 165] ; [38 70],[131.4527845 173.5472155] ; [46.5472155 61.4527845],0
p4,1,0.06942,3.296672,[181 135] ; [52 58],[172.83568075 143.16431925] ; [60.16431925 49.83568075],0
r2,1,0.073818,3.196007,[304  10] ; [104   8],[300.73239437  13.26760563] ; [107.26760563   4.73239437],0
d1,1,0.07697,3.127748,[189 128] ; [56 56],[181.03729604 135.96270396] ; [63.96270396 48.03729604],0
u4,1,0.08263,3.012402,[  2 315] ; [  3 109],[  3.69463869 313.30536131] ; [  1.30536131 110.69463869],0
n3,1,0.088009,2.910419,[59 19] ; [19 13],[55.30909091 22.69090909] ; [22.69090909  9.30909091],0
p8,1,0.097185,2.751144,[162 150] ; [47 63],[154.52132701 157.47867299] ; [54.47867299 55.52132701],0
d4,1,0.097655,2.743431,[270  47] ; [87 24],[264.4135514  52.5864486] ; [92.5864486 18.4135514],0
p2,1,0.098622,2.727693,[267  50] ; [85 25],[261.32084309  55.67915691] ; [90.67915691 19.32084309],0
p11,1,0.146068,2.112839,[236  81] ; [91 21],[241.62937063  75.37062937] ; [85.37062937 26.62937063],0
s6,1,0.236293,1.402574,[217  97] ; [66 39],[212.08114558 101.91885442] ; [70.91885442 34.08114558],0
p12,1,0.244461,1.354682,[ 12 304] ; [  7 101],[ 14.16037736 301.83962264] ; [  4.83962264 103.16037736],0
r3,1,0.27044,1.214512,[300  14] ; [104   8],[297.78403756  16.21596244] ; [106.21596244   5.78403756],0
s2,1,0.283061,1.152333,[152 163] ; [47 64],[147.14788732 167.85211268] ; [51.85211268 59.14788732],0
n6,1,0.361593,0.832352,[259  57] ; [85 24],[255.77411765  60.22588235] ; [88.22588235 20.77411765],0
p9,1,0.372595,0.794993,[255  59] ; [85 25],[251.79245283  62.20754717] ; [88.20754717 21.79245283],0
s1,1,0.396331,0.719428,[  9 305] ; [  5 105],[ 10.36792453 303.63207547] ; [  3.63207547 106.36792453],0
p10,1,0.408582,0.682923,[247  69] ; [81 28],[243.87764706  72.12235294] ; [84.12235294 24.87764706],0
a4,1,0.429009,0.625504,[140 176] ; [54 57],[143.56908665 172.43091335] ; [50.43091335 60.56908665],0
a3,1,0.476595,0.506645,[225  90] ; [76 36],[222.04918033  92.95081967] ; [78.95081967 33.04918033],0
s3,1,0.492999,0.469974,[171 144] ; [65 47],[174.09836066 140.90163934] ; [61.90163934 50.09836066],0
s7,1,0.5159,0.422082,[133 172] ; [51 57],[135.88377724 169.11622276] ; [48.11622276 59.88377724],0
a8,1,0.563863,0.333059,[ 42 247] ; [13 93],[ 40.24050633 248.75949367] ; [14.75949367 91.24050633],0
u3,1,0.571436,0.320286,[58 33] ; [21 15],[56.60629921 34.39370079] ; [22.39370079 13.60629921],0
s4,1,0.634313,0.226257,[ 58 253] ; [23 88],[ 59.6943128 251.3056872] ; [21.3056872 89.6943128],0
n5,1,0.675531,0.1752,[218  96] ; [78 31],[219.72576832  94.27423168] ; [76.27423168 32.72576832],0
p6,1,0.676294,0.174328,[116 199] ; [37 70],[114.20616114 200.79383886] ; [38.79383886 68.20616114],0
p5,1,0.750546,0.101073,[ 23 294] ; [  9 101],[ 23.75644028 293.24355972] ; [  8.24355972 101.75644028],0
n4,1,0.760255,0.093114,[236  81] ; [81 30],[234.78738318  82.21261682] ; [82.21261682 28.78738318],0
u2,1,0.761449,0.09216,[49 41] ; [18 17],[48.24 41.76] ; [18.76 16.24],0
n2,1,0.781701,0.076786,[53 25] ; [24 10],[53.625 24.375] ; [23.375 10.625],0
v1,1,0.794584,0.067789,[143 169] ; [52 58],[144.17061611 167.82938389] ; [50.82938389 59.17061611],0
p3,1,0.839664,0.040935,[136 180] ; [49 62],[136.90866511 179.09133489] ; [48.09133489 62.90866511],0
p1,1,0.845842,0.037802,[ 21 294] ; [  8 103],[ 21.44366197 293.55633803] ; [  7.55633803 103.44366197],0
d2,1,0.870393,0.026621,[150 167] ; [54 58],[150.74125874 166.25874126] ; [53.25874126 58.74125874],0
a1,1,0.928955,0.007949,[  8 309] ; [  3 109],[  8.12820513 308.87179487] ; [  2.87179487 109.12820513],0
p7,1,0.94469,0.004813,[190 119] ; [66 42],[189.69784173 119.30215827] ; [66.30215827 41.69784173],0
n1,1,0.953013,0.003472,[33 46] ; [14 20],[32.85840708 46.14159292] ; [14.14159292 19.85840708],0
b4,1,0.960333,0.002474,[182 135] ; [64 48],[181.77622378 135.22377622] ; [64.22377622 47.77622378],0
s8,1,0.972515,0.001187,[123 193] ; [43 68],[122.84777518 193.15222482] ; [43.15222482 67.84777518],0
