Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.012428,6.248725,[10  6] ; [40 89],[ 5.51724138 10.48275862] ; [44.48275862 84.51724138],0
r4,1,0.015522,5.856275,[15  1] ; [82 47],[10.70344828  5.29655172] ; [86.29655172 42.70344828],0
p4,1,0.032648,4.564159,[9 7] ; [38 90],[ 5.22222222 10.77777778] ; [41.77777778 86.22222222],0
u2,1,0.048593,3.889342,[5 2] ; [20 40],[2.6119403 4.3880597] ; [22.3880597 37.6119403],0
p11,1,0.082286,3.019161,[11  5] ; [59 70],[7.72413793 8.27586207] ; [62.27586207 66.72413793],0
s2,1,0.107807,2.586082,[ 5 10] ; [ 21 107],[ 2.72727273 12.27272727] ; [ 23.27272727 104.72727273],0
v4,1,0.11479,2.487011,[15  1] ; [98 30],[12.55555556  3.44444444] ; [100.44444444  27.55555556],0
r3,1,0.124673,2.357613,[15  1] ; [98 29],[12.64335664  3.35664336] ; [100.35664336  26.64335664],0
d2,1,0.129847,2.294338,[10  6] ; [54 73],[7.16083916 8.83916084] ; [56.83916084 70.16083916],0
p3,1,0.130299,2.288942,[7 9] ; [33 95],[ 4.44444444 11.55555556] ; [35.55555556 92.44444444],0
p7,1,0.136056,2.222003,[ 4 12] ; [57 71],[6.77777778 9.22222222] ; [54.22222222 73.77777778],0
d1,1,0.141355,2.163146,[9 7] ; [48 81],[6.28965517 9.71034483] ; [50.71034483 78.28965517],0
p2,1,0.246941,1.340529,[11  5] ; [69 60],[8.82758621 7.17241379] ; [71.17241379 57.82758621],0
r1,1,0.263836,1.248516,[12  4] ; [77 50],[9.95804196 6.04195804] ; [79.04195804 47.95804196],0
b3,1,0.294167,1.100453,[5 7] ; [21 57],[3.46666667 8.53333333] ; [22.53333333 55.46666667],0
b2,1,0.294167,1.100453,[5 7] ; [21 57],[3.46666667 8.53333333] ; [22.53333333 55.46666667],0
v3,1,0.336657,0.92312,[ 5 10] ; [28 98],[ 3.5106383 11.4893617] ; [29.4893617 96.5106383],0
d5,1,0.336816,0.922514,[12  4] ; [81 48],[10.26206897  5.73793103] ; [82.73793103 46.26206897],0
a8,1,0.392911,0.729913,[ 2 11] ; [ 10 111],[ 1.1641791 11.8358209] ; [ 10.8358209 110.1641791],0
s3,1,0.397708,0.715245,[6 9] ; [37 89],[ 4.57446809 10.42553191] ; [38.42553191 87.57446809],0
p9,1,0.407309,0.686643,[ 6 10] ; [35 92],[ 4.58741259 11.41258741] ; [36.41258741 90.58741259],0
n5,1,0.516706,0.420463,[7 9] ; [67 61],[8.22222222 7.77777778] ; [65.77777778 62.22222222],0
n2,1,0.534622,0.385599,[3 1] ; [32 22],[2.4137931 1.5862069] ; [32.5862069 21.4137931],0
v1,1,0.567269,0.327273,[ 6 10] ; [39 89],[ 5. 11.] ; [40. 88.],0
s5,1,0.570949,0.321097,[ 1 12] ; [ 17 112],[ 1.64788732 11.35211268] ; [ 16.35211268 112.64788732],0
v2,1,0.588909,0.292052,[7 9] ; [46 79],[6.0141844 9.9858156] ; [46.9858156 78.0141844],0
n4,1,0.59298,0.285714,[10  6] ; [71 57],[9. 7.] ; [72. 56.],0
d3,1,0.65816,0.195767,[9 7] ; [65 64],[8.16551724 7.83448276] ; [65.83448276 63.16551724],0
a5,1,0.65816,0.195767,[9 7] ; [65 64],[8.16551724 7.83448276] ; [65.83448276 63.16551724],0
b5,1,0.699891,0.148585,[9 7] ; [79 50],[9.71034483 6.28965517] ; [78.28965517 50.71034483],0
d4,1,0.711662,0.136622,[11  5] ; [82 46],[10.33333333  5.66666667] ; [82.66666667 45.33333333],0
n6,1,0.745885,0.105021,[10  6] ; [74 53],[9.3986014 6.6013986] ; [74.6013986 52.3986014],0
u1,1,0.755174,0.097235,[ 1 15] ; [ 11 118],[ 1.32413793 14.67586207] ; [ 10.67586207 118.32413793],0
p6,1,0.779233,0.078579,[ 3 13] ; [ 20 105],[ 2.60992908 13.39007092] ; [ 20.39007092 104.60992908],0
s4,1,0.780634,0.077558,[ 2 14] ; [ 13 114],[ 1.67832168 14.32167832] ; [ 13.32167832 113.67832168],0
a7,1,0.782696,0.07607,[9 7] ; [76 51],[9.51048951 6.48951049] ; [75.48951049 51.51048951],0
a4,1,0.787385,0.072742,[ 5 11] ; [44 83],[ 5.48251748 10.51748252] ; [43.51748252 83.48251748],0
a3,1,0.816279,0.053979,[9 7] ; [67 59],[8.56338028 7.43661972] ; [67.43661972 58.56338028],0
p8,1,0.828519,0.046916,[ 4 12] ; [35 92],[ 4.36363636 11.63636364] ; [34.63636364 92.36363636],0
a1,1,0.830536,0.045802,[ 1 15] ; [ 10 119],[ 1.2137931 14.7862069] ; [  9.7862069 119.2137931],0
b1,1,0.837597,0.042012,[8 8] ; [61 68],[7.6137931 8.3862069] ; [61.3862069 67.6137931],0
a6,1,0.932276,0.007222,[9 7] ; [74 55],[9.15862069 6.84137931] ; [73.84137931 55.15862069],0
n3,1,0.947843,0.004279,[2 1] ; [35 19],[1.94736842 1.05263158] ; [35.05263158 18.94736842],0
b4,1,0.979406,0.000666,[9 7] ; [73 56],[9.04827586 6.95172414] ; [72.95172414 56.04827586],0
n1,1,1.0,0.0,[1 2] ; [18 36],[1. 2.] ; [18. 36.],0
p1,1,1.0,0.0,[ 1 15] ; [  8 120],[ 1. 15.] ; [  8. 120.],0
