Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,26.18099,[20  9] ; [ 1 27],[10.68421053 18.31578947] ; [10.31578947 17.68421053],1
d5,1,3e-06,21.674127,[25  4] ; [ 7 21],[16.28070175 12.71929825] ; [15.71929825 12.28070175],1
d3,1,0.000269,13.274421,[19 10] ; [ 5 23],[12.21052632 16.78947368] ; [11.78947368 16.21052632],1
n6,1,0.005289,7.777778,[23  5] ; [13 15],[18. 10.] ; [18. 10.],0
p3,1,0.006611,7.37561,[12 16] ; [ 3 25],[ 7.5 20.5] ; [ 7.5 20.5],0
p10,1,0.015007,5.915604,[18 11] ; [ 8 19],[13.46428571 15.53571429] ; [12.53571429 14.46428571],0
v2,1,0.024876,5.032521,[11 18] ; [ 3 23],[ 7.38181818 21.61818182] ; [ 6.61818182 19.38181818],0
p4,1,0.025675,4.977778,[14 14] ; [ 6 22],[10. 18.] ; [10. 18.],0
d2,1,0.032509,4.571429,[18 10] ; [10 18],[14. 14.] ; [14. 14.],0
p9,1,0.039754,4.228352,[18 10] ; [ 9 16],[14.26415094 13.73584906] ; [12.73584906 12.26415094],0
a5,1,0.043015,4.094828,[22  7] ; [14 14],[18.31578947 10.68421053] ; [17.68421053 10.31578947],0
a3,1,0.046526,3.962438,[22  7] ; [13 13],[18.45454545 10.54545455] ; [16.54545455  9.45454545],0
s5,1,0.064078,3.428571,[10 18] ; [ 4 24],[ 7. 21.] ; [ 7. 21.],0
s3,1,0.090341,2.868289,[13 16] ; [ 6 20],[10.01818182 18.98181818] ; [ 8.98181818 17.01818182],0
a4,1,0.114069,2.496929,[13 15] ; [ 7 20],[10.18181818 17.81818182] ; [ 9.81818182 17.18181818],0
b5,1,0.144356,2.130895,[17 12] ; [11 17],[14.24561404 14.75438596] ; [13.75438596 14.24561404],0
a6,1,0.146521,2.108105,[19 10] ; [13 15],[16.28070175 12.71929825] ; [15.71929825 12.28070175],0
p8,1,0.148673,2.085813,[12 17] ; [ 6 20],[ 9.49090909 19.50909091] ; [ 8.50909091 17.49090909],0
s8,1,0.150855,2.063583,[ 9 20] ; [ 4 23],[ 6.73214286 22.26785714] ; [ 6.26785714 20.73214286],0
n3,1,0.17196,1.865769,[4 9] ; [11  9],[5.90909091 7.09090909] ; [ 9.09090909 10.90909091],0
n1,1,0.183226,1.771266,[5 8] ; [13  8],[6.88235294 6.11764706] ; [11.11764706  9.88235294],0
a7,1,0.223319,1.482913,[15 14] ; [10 18],[12.71929825 16.28070175] ; [12.28070175 15.71929825],0
v4,1,0.227156,1.458581,[21  8] ; [16 12],[18.8245614 10.1754386] ; [18.1754386  9.8245614],0
a2,1,0.245526,1.348586,[ 5 24] ; [ 2 26],[ 3.56140351 25.43859649] ; [ 3.43859649 24.56140351],0
p5,1,0.301142,1.069128,[ 6 22] ; [ 3 24],[ 4.58181818 23.41818182] ; [ 4.41818182 22.58181818],0
b3,1,0.349889,0.873859,[ 8 16] ; [ 9 10],[ 9.48837209 14.51162791] ; [ 7.51162791 11.48837209],0
b2,1,0.349889,0.873859,[ 8 16] ; [ 9 10],[ 9.48837209 14.51162791] ; [ 7.51162791 11.48837209],0
s6,1,0.359181,0.840755,[12 17] ; [ 8 19],[10.35714286 18.64285714] ; [ 9.64285714 17.35714286],0
u3,1,0.388072,0.744974,[2 5] ; [ 2 13],[1.27272727 5.72727273] ; [ 2.72727273 12.27272727],0
s2,1,0.41031,0.677903,[ 9 20] ; [ 6 22],[ 7.63157895 21.36842105] ; [ 7.36842105 20.63157895],0
p11,1,0.469862,0.522299,[12 17] ; [ 9 19],[10.68421053 18.31578947] ; [10.31578947 17.68421053],0
s7,1,0.487054,0.483027,[10 18] ; [ 7 19],[ 8.81481481 19.18518519] ; [ 8.18518519 17.81481481],0
r1,1,0.494093,0.4676,[14 15] ; [11 17],[12.71929825 16.28070175] ; [12.28070175 15.71929825],0
b4,1,0.515951,0.42198,[18 11] ; [15 13],[16.78947368 12.21052632] ; [16.21052632 11.78947368],0
b1,1,0.515951,0.42198,[18 11] ; [15 13],[16.78947368 12.21052632] ; [16.21052632 11.78947368],0
n4,1,0.560919,0.338116,[22  7] ; [23  5],[22.89473684  6.10526316] ; [22.10526316  5.89473684],0
r4,1,0.589251,0.291516,[ 8 21] ; [ 6 22],[ 7.12280702 21.87719298] ; [ 6.87719298 21.12280702],0
p7,1,0.632783,0.228306,[ 9 17] ; [ 8 20],[ 8.18518519 17.81481481] ; [ 8.81481481 19.18518519],0
v3,1,0.642821,0.215071,[ 6 23] ; [ 7 20],[ 6.73214286 22.26785714] ; [ 6.26785714 20.73214286],0
n2,1,0.664001,0.1887,[9 4] ; [13  8],[8.41176471 4.58823529] ; [13.58823529  7.41176471],0
p1,1,0.759654,0.093596,[ 5 24] ; [ 4 24],[ 4.57894737 24.42105263] ; [ 4.42105263 23.57894737],0
s4,1,0.786467,0.073388,[ 6 23] ; [ 5 23],[ 5.59649123 23.40350877] ; [ 5.40350877 22.59649123],0
p2,1,0.788077,0.072258,[13 15] ; [12 16],[12.5 15.5] ; [12.5 15.5],0
v1,1,0.838975,0.041292,[ 9 20] ; [ 8 20],[ 8.64912281 20.35087719] ; [ 8.35087719 19.64912281],0
p6,1,0.865272,0.028787,[ 7 22] ; [ 6 21],[ 6.73214286 22.26785714] ; [ 6.26785714 20.73214286],0
u2,1,0.925558,0.00873,[2 5] ; [ 4 11],[1.90909091 5.09090909] ; [ 4.09090909 10.90909091],0
r2,1,0.931164,0.007462,[19  8] ; [20  8],[19.14545455  7.85454545] ; [19.85454545  8.14545455],0
a1,1,0.951275,0.003734,[ 5 24] ; [ 5 23],[ 5.0877193 23.9122807] ; [ 4.9122807 23.0877193],0
s1,1,0.963758,0.002065,[ 3 26] ; [ 3 25],[ 3.05263158 25.94736842] ; [ 2.94736842 25.05263158],0
p12,1,0.970969,0.001324,[ 2 27] ; [ 2 26],[ 2.03508772 26.96491228] ; [ 1.96491228 26.03508772],0
a8,1,1.0,0.0,[ 1 26] ; [ 1 26],[ 1. 26.] ; [ 1. 26.],0
