Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.00065,11.626794,[10  5] ; [ 1 14],[5.5 9.5] ; [5.5 9.5],1
b3,1,0.00065,11.626794,[10  5] ; [ 1 14],[5.5 9.5] ; [5.5 9.5],1
p8,1,0.003955,8.304578,[ 3 24] ; [11 12],[ 7.56 19.44] ; [ 6.44 16.56],0
p2,1,0.006538,7.395704,[10 17] ; [18  6],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
n4,1,0.007497,7.149808,[18  9] ; [ 7 17],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
p4,1,0.015241,5.888349,[ 4 23] ; [11 13],[ 7.94117647 19.05882353] ; [ 7.05882353 16.94117647],0
n1,1,0.018945,5.506548,[9 5] ; [1 7],[6.36363636 7.63636364] ; [3.63636364 4.36363636],0
r2,1,0.054919,3.684533,[22  5] ; [13 10],[18.9  8.1] ; [16.1  6.9],0
p11,1,0.069429,3.296474,[10 17] ; [15  9],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
u2,1,0.072143,3.233566,[6 9] ; [7 2],[8.125 6.875] ; [4.875 4.125],0
s5,1,0.072345,3.228999,[ 1 24] ; [ 5 19],[ 3.06122449 21.93877551] ; [ 2.93877551 21.06122449],0
b1,1,0.111406,2.534161,[12 15] ; [16  8],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
s3,1,0.111406,2.534161,[12 15] ; [16  8],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
r3,1,0.12619,2.338765,[16 11] ; [19  5],[18.52941176  8.47058824] ; [16.47058824  7.52941176],0
p3,1,0.135244,2.23125,[ 6 21] ; [10 14],[ 8.47058824 18.52941176] ; [ 7.52941176 16.47058824],0
s6,1,0.136956,2.211828,[ 8 19] ; [12 12],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
n3,1,0.200933,1.635577,[8 5] ; [7 1],[9.28571429 3.71428571] ; [5.71428571 2.28571429],0
n5,1,0.209686,1.57359,[16 11] ; [10 14],[13.76470588 13.23529412] ; [12.23529412 11.76470588],0
a4,1,0.232014,1.428472,[ 6 21] ; [ 9 15],[ 7.94117647 19.05882353] ; [ 7.05882353 16.94117647],0
v1,1,0.23223,1.427152,[ 8 19] ; [11 13],[10.05882353 16.94117647] ; [ 8.94117647 15.05882353],0
v3,1,0.243403,1.360774,[ 8 18] ; [ 4 20],[ 6.24 19.76] ; [ 5.76 18.24],0
s1,1,0.243511,1.360151,[ 1 26] ; [ 3 21],[ 2.11764706 24.88235294] ; [ 1.88235294 22.11764706],0
a3,1,0.246605,1.342438,[12 14] ; [15  9],[14.04 11.96] ; [12.96 11.04],0
d4,1,0.282521,1.154924,[10 17] ; [12 11],[11.88 15.12] ; [10.12 12.88],0
p6,1,0.306934,1.043823,[ 3 24] ; [ 5 18],[ 4.32 22.68] ; [ 3.68 19.32],0
v4,1,0.324558,0.970489,[16 11] ; [16  6],[17.63265306  9.36734694] ; [14.36734694  7.63265306],0
s8,1,0.340628,0.908067,[ 3 24] ; [ 5 19],[ 4.23529412 22.76470588] ; [ 3.76470588 20.23529412],0
a8,1,0.352741,0.863573,[ 5 21] ; [ 2 19],[ 3.87234043 22.12765957] ; [ 3.12765957 17.87234043],0
a7,1,0.361446,0.832863,[ 9 18] ; [11 13],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
d2,1,0.370896,0.800659,[ 5 22] ; [ 7 17],[ 6.35294118 20.64705882] ; [ 5.64705882 18.35294118],0
p10,1,0.411548,0.674326,[10 16] ; [12 12],[11.44 14.56] ; [10.56 13.44],0
n2,1,0.415522,0.662946,[11  3] ; [5 3],[10.18181818  3.81818182] ; [5.81818182 2.18181818],0
u3,1,0.459033,0.548252,[6 9] ; [5 4],[6.875 8.125] ; [4.125 4.875],0
b5,1,0.467001,0.529064,[13 14] ; [14 10],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
d1,1,0.483082,0.491898,[ 1 26] ; [ 2 22],[ 1.58823529 25.41176471] ; [ 1.41176471 22.58823529],0
s2,1,0.551764,0.354167,[ 8 19] ; [ 9 15],[ 9. 18.] ; [ 8. 16.],0
a2,1,0.623463,0.24103,[ 2 25] ; [ 1 23],[ 1.58823529 25.41176471] ; [ 1.41176471 22.58823529],0
r1,1,0.642429,0.21558,[14 13] ; [14 10],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
s7,1,0.7372,0.112603,[ 6 20] ; [ 4 17],[ 5.53191489 20.46808511] ; [ 4.46808511 16.53191489],0
a1,1,0.739156,0.11087,[ 3 24] ; [ 2 22],[ 2.64705882 24.35294118] ; [ 2.35294118 21.64705882],0
p1,1,0.739156,0.11087,[ 3 24] ; [ 2 22],[ 2.64705882 24.35294118] ; [ 2.35294118 21.64705882],0
p9,1,0.801881,0.062958,[15 11] ; [13 11],[14.56 11.44] ; [13.44 10.56],0
