Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,54.580452,[60 51] ; [ 24 154],[32.26297578 78.73702422] ; [ 51.73702422 126.26297578],1
r1,1,7.4e-05,15.702761,[96 16] ; [116  64],[81.31506849 30.68493151] ; [130.68493151  49.31506849],1
a7,1,0.000148,14.398536,[88 22] ; [105  75],[73.20689655 36.79310345] ; [119.79310345  60.20689655],1
p10,1,0.001238,10.432857,[93 18] ; [119  60],[81.14482759 29.85517241] ; [130.85517241  48.14482759],0
n2,1,0.007489,7.151782,[23  2] ; [40 23],[17.89772727  7.10227273] ; [45.10227273 17.89772727],0
a5,1,0.009168,6.789742,[87 24] ; [115  65],[77.05154639 33.94845361] ; [124.94845361  55.05154639],0
d5,1,0.011721,6.352522,[94 18] ; [127  52],[85.05841924 26.94158076] ; [135.94158076  43.05841924],0
p11,1,0.01528,5.883908,[91 21] ; [123  57],[82.08219178 29.91780822] ; [131.91780822  48.08219178],0
r4,1,0.016963,5.700243,[98 14] ; [137  43],[90.1369863 21.8630137] ; [144.8630137  35.1369863],0
n3,1,0.01866,5.533137,[21  4] ; [35 26],[16.27906977  8.72093023] ; [39.72093023 21.27906977],0
r3,1,0.02049,5.369682,[102   8] ; [149  30],[95.53633218 14.46366782] ; [155.46366782  23.53633218],0
p7,1,0.021225,5.308197,[70 39] ; [89 88],[60.5979021 48.4020979] ; [98.4020979 78.5979021],0
p9,1,0.025778,4.970841,[92 18] ; [127  49],[84.23076923 25.76923077] ; [134.76923077  41.23076923],0
v4,1,0.044608,4.033416,[104   7] ; [155  25],[98.79381443 12.20618557] ; [160.20618557  19.79381443],0
a2,1,0.054413,3.699982,[32 80] ; [ 34 146],[25.31506849 86.68493151] ; [ 40.68493151 139.31506849],0
a3,1,0.058081,3.591365,[82 29] ; [113  66],[74.63793103 36.36206897] ; [120.36206897  58.63793103],0
d4,1,0.058494,3.579569,[89 21] ; [127  52],[82.21453287 27.78546713] ; [133.78546713  45.21453287],0
s1,1,0.060337,3.528105,[  2 108] ; [ 12 167],[  5.32871972 104.67128028] ; [  8.67128028 170.32871972],0
p8,1,0.076788,3.131599,[57 52] ; [ 74 104],[49.75261324 59.24738676] ; [81.24738676 96.75261324],0
s8,1,0.086901,2.930861,[47 64] ; [ 58 121],[40.18965517 70.81034483] ; [ 64.81034483 114.18965517],0
p3,1,0.090685,2.862168,[54 57] ; [ 69 110],[47.07931034 63.92068966] ; [ 75.92068966 103.07931034],0
p4,1,0.100602,2.695972,[65 45] ; [88 91],[58.23529412 51.76470588] ; [94.76470588 84.23529412],0
s2,1,0.11617,2.46821,[57 54] ; [ 75 104],[50.52413793 60.47586207] ; [81.47586207 97.52413793],0
r2,1,0.126812,2.331102,[103   8] ; [155  23],[99.09342561 11.90657439] ; [158.90657439  19.09342561],0
p12,1,0.128073,2.315707,[  9 102] ; [  7 172],[  6.12413793 104.87586207] ; [  9.87586207 169.12413793],0
n1,1,0.128278,2.313225,[ 6 17] ; [27 34],[ 9.03571429 13.96428571] ; [23.96428571 37.03571429],0
p1,1,0.128373,2.312066,[  7 104] ; [ 21 158],[ 10.71724138 100.28275862] ; [ 17.28275862 161.71724138],0
n4,1,0.158718,1.986395,[100  12] ; [150  30],[95.89041096 16.10958904] ; [154.10958904  25.89041096],0
s7,1,0.178547,1.809676,[54 48] ; [78 97],[48.60649819 53.39350181] ; [83.39350181 91.60649819],0
s4,1,0.184573,1.760409,[16 96] ; [ 36 140],[20.22222222 91.77777778] ; [ 31.77777778 144.22222222],0
n6,1,0.190532,1.713497,[100  12] ; [150  29],[96.21993127 15.78006873] ; [153.78006873  25.21993127],0
d3,1,0.191045,1.709544,[74 37] ; [105  73],[68.75086505 42.24913495] ; [110.24913495  67.75086505],0
d1,1,0.20026,1.640475,[64 48] ; [89 91],[58.68493151 53.31506849] ; [94.31506849 85.68493151],0
s5,1,0.20536,1.603838,[35 71] ; [ 46 131],[30.33922261 75.66077739] ; [ 50.66077739 126.33922261],0
a6,1,0.223175,1.483836,[79 32] ; [115  64],[74.25517241 36.74482759] ; [119.74482759  59.25517241],0
s6,1,0.265378,1.240483,[72 38] ; [103  72],[67.54385965 42.45614035] ; [107.45614035  67.54385965],0
d2,1,0.283428,1.150577,[58 53] ; [81 96],[53.57291667 57.42708333] ; [85.42708333 91.57291667],0
s3,1,0.325383,0.967186,[64 45] ; [95 85],[59.96885813 49.03114187] ; [99.03114187 80.96885813],0
a4,1,0.329616,0.950406,[53 58] ; [ 75 104],[48.99310345 62.00689655] ; [79.00689655 99.99310345],0
b4,1,0.380042,0.770567,[65 47] ; [95 85],[61.36986301 50.63013699] ; [98.63013699 81.36986301],0
a8,1,0.413066,0.669959,[16 81] ; [ 22 149],[13.75373134 83.24626866] ; [ 24.24626866 146.75373134],0
u1,1,0.436349,0.605866,[20 92] ; [ 26 154],[17.64383562 94.35616438] ; [ 28.35616438 151.64383562],0
b5,1,0.43712,0.60383,[57 55] ; [100  80],[60.21917808 51.78082192] ; [96.78082192 83.21917808],0
a1,1,0.447019,0.5782,[  8 104] ; [  9 171],[  6.52054795 105.47945205] ; [ 10.47945205 169.52054795],0
p5,1,0.482403,0.493425,[  9 102] ; [ 19 160],[ 10.71724138 100.28275862] ; [ 17.28275862 161.71724138],0
p2,1,0.540969,0.373747,[86 25] ; [133  46],[83.82413793 27.17586207] ; [135.17586207  43.82413793],0
u3,1,0.633479,0.227373,[15 15] ; [30 37],[13.91752577 16.08247423] ; [31.08247423 35.91752577],0
b2,1,0.778511,0.079107,[25 43] ; [35 66],[24.14201183 43.85798817] ; [35.85798817 65.14201183],0
b3,1,0.778511,0.079107,[25 43] ; [35 66],[24.14201183 43.85798817] ; [35.85798817 65.14201183],0
u2,1,0.824096,0.049408,[15 14] ; [33 34],[14.5 14.5] ; [33.5 33.5],0
p6,1,0.882178,0.021966,[34 77] ; [ 56 122],[34.56747405 76.43252595] ; [ 55.43252595 122.56747405],0
b1,1,0.96001,0.002514,[47 65] ; [ 75 105],[46.79452055 65.20547945] ; [ 75.20547945 104.79452055],0
