Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000101,15.111111,[24  8] ; [10 26],[16. 16.] ; [18. 18.],1
p7,1,0.005216,7.803012,[23  8] ; [14 21],[17.37878788 13.62121212] ; [19.62121212 15.37878788],0
a5,1,0.005436,7.728206,[27  5] ; [19 17],[21.64705882 10.35294118] ; [24.35294118 11.64705882],0
p6,1,0.012359,6.25862,[16 15] ; [ 8 28],[11.10447761 19.89552239] ; [12.89552239 23.10447761],0
b1,1,0.014425,5.985417,[14 18] ; [ 6 30],[ 9.41176471 22.58823529] ; [10.58823529 25.41176471],0
p8,1,0.021765,5.264505,[18 14] ; [10 25],[13.37313433 18.62686567] ; [14.62686567 20.37313433],0
u3,1,0.032981,4.546777,[9 2] ; [6 9],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
s6,1,0.054074,3.710412,[29  3] ; [26 10],[25.88235294  6.11764706] ; [29.11764706  6.88235294],0
a7,1,0.05571,3.660706,[19 13] ; [29  7],[22.58823529  9.41176471] ; [25.41176471 10.58823529],0
d1,1,0.08005,3.063886,[21 11] ; [16 20],[17.41176471 14.58823529] ; [19.58823529 16.41176471],0
p1,1,0.090157,2.871572,[ 6 25] ; [ 2 33],[ 3.75757576 27.24242424] ; [ 4.24242424 30.75757576],0
d3,1,0.129584,2.297478,[25  7] ; [22 14],[22.11764706  9.88235294] ; [24.88235294 11.11764706],0
n6,1,0.141432,2.162312,[19 12] ; [28  8],[21.74626866  9.25373134] ; [25.25373134 10.74626866],0
v4,1,0.184949,1.757401,[31  1] ; [30  4],[29.57575758  2.42424242] ; [31.42424242  2.57575758],0
n1,1,0.224839,1.473214,[5 3] ; [5 9],[3.63636364 4.36363636] ; [6.36363636 7.63636364],0
d5,1,0.228922,1.447546,[25  7] ; [32  4],[26.82352941  5.17647059] ; [30.17647059  5.82352941],0
u2,1,0.233703,1.418182,[7 4] ; [6 9],[5.5 5.5] ; [7.5 7.5],0
a4,1,0.254643,1.297651,[15 17] ; [12 24],[12.70588235 19.29411765] ; [14.29411765 21.70588235],0
n4,1,0.261791,1.259259,[ 6 26] ; [11 25],[ 8. 24.] ; [ 9. 27.],0
s4,1,0.263701,1.249222,[13 19] ; [10 26],[10.82352941 21.17647059] ; [12.17647059 23.82352941],0
a1,1,0.313581,1.015532,[ 4 28] ; [ 2 34],[ 2.82352941 29.17647059] ; [ 3.17647059 32.82352941],0
s3,1,0.326472,0.96284,[22 10] ; [20 15],[20.05970149 11.94029851] ; [21.94029851 13.05970149],0
s8,1,0.368012,0.810367,[15 17] ; [13 23],[13.17647059 18.82352941] ; [14.82352941 21.17647059],0
s2,1,0.373889,0.790698,[22 10] ; [21 15],[20.23529412 11.76470588] ; [22.76470588 13.23529412],0
n2,1,0.40227,0.701531,[6 2] ; [8 6],[5.09090909 2.90909091] ; [8.90909091 5.09090909],0
r4,1,0.43762,0.602516,[28  4] ; [29  7],[26.82352941  5.17647059] ; [30.17647059  5.82352941],0
d4,1,0.480552,0.497611,[30  2] ; [32  4],[29.17647059  2.82352941] ; [32.82352941  3.17647059],0
v1,1,0.493236,0.469459,[15 16] ; [14 21],[13.62121212 17.37878788] ; [15.37878788 19.62121212],0
r1,1,0.497786,0.459653,[20 11] ; [26 10],[21.28358209  9.71641791] ; [24.71641791 11.28358209],0
p11,1,0.510584,0.43287,[22 10] ; [22 14],[20.70588235 11.29411765] ; [23.29411765 12.70588235],0
s1,1,0.546963,0.362787,[ 3 29] ; [ 2 34],[ 2.35294118 29.64705882] ; [ 2.64705882 33.35294118],0
p12,1,0.546963,0.362787,[ 3 29] ; [ 2 34],[ 2.35294118 29.64705882] ; [ 2.64705882 33.35294118],0
v3,1,0.557883,0.343384,[10 21] ; [ 9 26],[ 8.92424242 22.07575758] ; [10.07575758 24.92424242],0
a2,1,0.586886,0.295233,[ 6 26] ; [ 5 31],[ 5.17647059 26.82352941] ; [ 5.82352941 30.17647059],0
p5,1,0.599502,0.275748,[ 4 28] ; [ 3 32],[ 3.34328358 28.65671642] ; [ 3.65671642 31.34328358],0
b5,1,0.606282,0.265625,[18 14] ; [18 18],[16.94117647 15.05882353] ; [19.05882353 16.94117647],0
s7,1,0.621014,0.244444,[16 14] ; [17 19],[15. 15.] ; [18. 18.],0
v2,1,0.627029,0.236111,[15 17] ; [19 17],[16. 16.] ; [18. 18.],0
a3,1,0.634412,0.226125,[21 11] ; [21 14],[20.05970149 11.94029851] ; [21.94029851 13.05970149],0
d2,1,0.646864,0.209877,[16 16] ; [16 20],[15.05882353 16.94117647] ; [16.94117647 19.05882353],0
p10,1,0.712744,0.135551,[25  7] ; [26  9],[24.35820896  7.64179104] ; [26.64179104  8.35820896],0
r2,1,0.717967,0.130449,[30  2] ; [32  3],[29.6119403  2.3880597] ; [32.3880597  2.6119403],0
n3,1,0.750679,0.100962,[5 3] ; [9 4],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
