Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.001183,10.516527,[ 8 31] ; [9 4],[12.75 26.25] ; [4.25 8.75],0
p7,1,0.005511,7.703704,[ 8 31] ; [8 5],[12. 27.] ; [4. 9.],0
p8,1,0.006572,7.386386,[ 6 32] ; [7 6],[ 9.68627451 28.31372549] ; [3.31372549 9.68627451],0
s2,1,0.019913,5.419466,[ 4 35] ; [5 8],[ 6.75 32.25] ; [ 2.25 10.75],0
s6,1,0.045328,4.006386,[ 8 31] ; [6 6],[10.70588235 28.29411765] ; [3.29411765 8.70588235],0
s3,1,0.069126,3.303644,[10 28] ; [7 6],[12.66666667 25.33333333] ; [4.33333333 8.66666667],0
a6,1,0.077949,3.10716,[16 23] ; [9 4],[18.75 20.25] ; [6.25 6.75],0
d3,1,0.105109,2.626263,[14 25] ; [8 5],[16.5 22.5] ; [5.5 7.5],0
a5,1,0.109315,2.564103,[17 22] ; [9 4],[19.5 19.5] ; [6.5 6.5],0
s8,1,0.13268,2.26087,[ 3 36] ; [ 3 10],[ 4.5 34.5] ; [ 1.5 11.5],0
a7,1,0.14924,2.08,[21 18] ; [4 9],[18.75 20.25] ; [6.25 6.75],0
u2,1,0.207712,1.587302,[ 4 17] ; [3 4],[ 5.25 15.75] ; [1.75 5.25],0
p10,1,0.210682,1.566733,[13 25] ; [7 6],[14.90196078 23.09803922] ; [5.09803922 7.90196078],0
u3,1,0.212317,1.555556,[ 2 19] ; [2 5],[ 3. 18.] ; [1. 6.],0
p5,1,0.241322,1.372857,[ 2 36] ; [ 2 11],[ 2.98039216 35.01960784] ; [ 1.01960784 11.98039216],0
d4,1,0.244476,1.354599,[23 16] ; [10  3],[24.75 14.25] ; [8.25 4.75],0
p2,1,0.282239,1.156275,[14 24] ; [7 6],[15.64705882 22.35294118] ; [5.35294118 7.64705882],0
n6,1,0.292034,1.110219,[16 23] ; [7 5],[17.58823529 21.41176471] ; [5.41176471 6.58823529],0
d1,1,0.312612,1.019608,[12 27] ; [6 7],[13.5 25.5] ; [4.5 8.5],0
p11,1,0.330879,0.945455,[15 24] ; [7 6],[16.5 22.5] ; [5.5 7.5],0
n3,1,0.368066,0.810185,[ 7 11] ; [2 1],[ 7.71428571 10.28571429] ; [1.28571429 1.71428571],0
s1,1,0.415211,0.66383,[ 3 36] ; [ 2 11],[ 3.75 35.25] ; [ 1.25 11.75],0
p6,1,0.418459,0.654638,[ 5 32] ; [ 3 10],[ 5.92 31.08] ; [ 2.08 10.92],0
a4,1,0.455199,0.557674,[13 25] ; [ 3 10],[11.92156863 26.07843137] ; [4.07843137 8.92156863],0
n2,1,0.475533,0.509091,[ 8 10] ; [2 1],[8.57142857 9.42857143] ; [1.42857143 1.57142857],0
p9,1,0.570036,0.322621,[17 21] ; [7 6],[17.88235294 20.11764706] ; [6.11764706 6.88235294],0
p1,1,0.616226,0.251208,[ 4 35] ; [ 2 11],[ 4.5 34.5] ; [ 1.5 11.5],0
s5,1,0.638855,0.220243,[ 4 34] ; [ 2 11],[ 4.47058824 33.52941176] ; [ 1.52941176 11.47058824],0
r4,1,0.718094,0.130326,[10 29] ; [4 9],[10.5 28.5] ; [3.5 9.5],0
n1,1,0.718816,0.12963,[ 8 10] ; [1 2],[ 7.71428571 10.28571429] ; [1.28571429 1.71428571],0
u1,1,0.731308,0.117914,[ 2 37] ; [ 1 12],[ 2.25 36.75] ; [ 0.75 12.25],0
a8,1,0.734927,0.114635,[ 5 34] ; [ 2 10],[ 5.35294118 33.64705882] ; [ 1.64705882 10.35294118],0
b4,1,0.745851,0.105051,[23 16] ; [7 6],[22.5 16.5] ; [7.5 5.5],0
v3,1,0.814537,0.055026,[ 5 34] ; [ 2 11],[ 5.25 33.75] ; [ 1.75 11.25],0
n5,1,0.864475,0.029132,[26 13] ; [9 4],[26.25 12.75] ; [8.75 4.25],0
r1,1,0.867946,0.027645,[14 25] ; [5 8],[14.25 24.75] ; [4.75 8.25],0
d5,1,0.871932,0.025987,[22 17] ; [7 6],[21.75 17.25] ; [7.25 5.75],0
b1,1,0.872687,0.025679,[19 20] ; [6 7],[18.75 20.25] ; [6.25 6.75],0
b5,1,0.872687,0.025679,[20 19] ; [7 6],[20.25 18.75] ; [6.75 6.25],0
d2,1,0.929377,0.007855,[17 21] ; [6 7],[17.1372549 20.8627451] ; [5.8627451 7.1372549],0
r3,1,0.929377,0.007855,[21 17] ; [7 6],[20.8627451 17.1372549] ; [7.1372549 5.8627451],0
a3,1,0.939631,0.005735,[18 20] ; [6 7],[17.88235294 20.11764706] ; [6.11764706 6.88235294],0
v2,1,0.956687,0.00295,[12 26] ; [4 9],[11.92156863 26.07843137] ; [4.07843137 8.92156863],0
r2,1,0.989677,0.000167,[20 17] ; [7 6],[19.98 17.02] ; [7.02 5.98],0
s4,1,1.0,0.0,[ 3 36] ; [ 1 12],[ 3. 36.] ; [ 1. 12.],0
n4,1,1.0,0.0,[27 12] ; [9 4],[27. 12.] ; [9. 4.],0
b2,1,1.0,0.0,[ 8 16] ; [3 6],[ 8. 16.] ; [3. 6.],0
v1,1,1.0,0.0,[ 9 30] ; [ 3 10],[ 9. 30.] ; [ 3. 10.],0
a2,1,1.0,0.0,[ 3 36] ; [ 1 12],[ 3. 36.] ; [ 1. 12.],0
b3,1,1.0,0.0,[ 8 16] ; [3 6],[ 8. 16.] ; [3. 6.],0
