Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.526582,[99 32] ; [ 7 27],[84.15757576 46.84242424] ; [21.84242424 12.15757576],1
r3,1,0.0,32.841818,[109  21] ; [12 22],[95.91463415 34.08536585] ; [25.08536585  8.91463415],1
r2,1,1e-06,24.423594,[117  13] ; [17 15],[107.5308642  22.4691358] ; [26.4691358  5.5308642],1
p2,1,1.2e-05,19.231968,[85 45] ; [ 8 26],[73.7195122 56.2804878] ; [19.2804878 14.7195122],1
n6,1,2.4e-05,17.870979,[92 39] ; [10 23],[81.47560976 49.52439024] ; [20.52439024 12.47560976],1
d5,1,6.3e-05,16.007361,[99 30] ; [14 20],[89.42944785 39.57055215] ; [23.57055215 10.42944785],1
r1,1,0.000137,14.549606,[95 35] ; [13 21],[85.6097561 44.3902439] ; [22.3902439 11.6097561],1
u3,1,0.000934,10.954715,[28 20] ; [ 2 15],[22.15384615 25.84615385] ; [7.84615385 9.15384615],1
s6,1,0.001829,9.713257,[66 65] ; [ 7 27],[57.95757576 73.04242424] ; [15.04242424 18.95757576],0
v2,1,0.002642,9.039885,[55 71] ; [ 5 28],[47.54716981 78.45283019] ; [12.45283019 20.54716981],0
a7,1,0.002682,9.011872,[93 37] ; [15 19],[85.6097561 44.3902439] ; [22.3902439 11.6097561],0
p9,1,0.003328,8.618182,[70 55] ; [ 9 24],[62.5 62.5] ; [16.5 16.5],0
s8,1,0.004263,8.168284,[33 98] ; [ 1 33],[ 26.99393939 104.00606061] ; [ 7.00606061 26.99393939],0
d3,1,0.005774,7.619423,[79 49] ; [12 22],[71.90123457 56.09876543] ; [19.09876543 14.90123457],0
d1,1,0.006351,7.447925,[65 66] ; [ 8 26],[57.95757576 73.04242424] ; [15.04242424 18.95757576],0
s7,1,0.019613,5.445993,[42 80] ; [ 4 27],[36.67973856 85.32026144] ; [ 9.32026144 21.67973856],0
p10,1,0.02821,4.815201,[58 70] ; [ 8 25],[52.47204969 75.52795031] ; [13.52795031 19.47204969],0
p8,1,0.028544,4.794926,[45 84] ; [ 5 28],[39.81481481 89.18518519] ; [10.18518519 22.81481481],0
