Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1.3e-05,18.978703,[110   9] ; [15 10],[103.29861111  15.70138889] ; [21.70138889  3.29861111],1
p10,1,0.000229,13.575574,[103  15] ; [14 11],[96.54545455 21.45454545] ; [20.45454545  4.54545455],1
p9,1,0.000349,12.78602,[105  14] ; [14 10],[99.02797203 19.97202797] ; [19.97202797  4.02797203],1
p4,1,0.001662,9.890255,[81 39] ; [ 8 16],[74.16666667 45.83333333] ; [14.83333333  9.16666667],0
v2,1,0.004031,8.269777,[76 41] ; [ 8 16],[69.70212766 47.29787234] ; [14.29787234  9.70212766],0
p3,1,0.007174,7.229004,[73 46] ; [ 8 17],[66.9375 52.0625] ; [14.0625 10.9375],0
v1,1,0.008899,6.843032,[67 51] ; [ 7 18],[61.06293706 56.93706294] ; [12.93706294 12.06293706],0
a5,1,0.00963,6.702117,[89 31] ; [12 13],[83.5862069 36.4137931] ; [17.4137931  7.5862069],0
p7,1,0.011401,6.401733,[93 25] ; [13 11],[88.08450704 29.91549296] ; [17.91549296  6.08450704],0
d5,1,0.023812,5.108281,[97 23] ; [15 10],[92.68965517 27.31034483] ; [19.31034483  5.68965517],0
n4,1,0.026161,4.94537,[93 27] ; [14 11],[88.55172414 31.44827586] ; [18.44827586  6.55172414],0
r3,1,0.054216,3.706039,[111   9] ; [20  5],[108.4137931  11.5862069] ; [22.5862069  2.4137931],0
s8,1,0.075798,3.152781,[35 85] ; [ 3 22],[31.44827586 88.55172414] ; [ 6.55172414 18.44827586],0
r4,1,0.117487,2.4505,[102  18] ; [18  7],[99.31034483 20.68965517] ; [20.68965517  4.31034483],0
b5,1,0.135419,2.229257,[67 53] ; [18  7],[70.34482759 49.65517241] ; [14.65517241 10.34482759],0
a6,1,0.139815,2.179991,[81 39] ; [13 12],[77.79310345 42.20689655] ; [16.20689655  8.79310345],0
n6,1,0.155032,2.022024,[100  19] ; [18  7],[97.51388889 21.48611111] ; [20.48611111  4.51388889],0
n1,1,0.171857,1.866667,[ 6 15] ; [4 3],[ 7.5 13.5] ; [2.5 4.5],0
n3,1,0.173016,1.856614,[16  5] ; [4 4],[14.48275862  6.51724138] ; [5.51724138 2.48275862],0
s1,1,0.177191,1.821028,[  3 115] ; [ 2 23],[  4.12587413 113.87412587] ; [ 0.87412587 24.12587413],0
p1,1,0.183351,1.770254,[ 16 103] ; [ 1 24],[ 14.04861111 104.95138889] ; [ 2.95138889 22.04861111],0
a4,1,0.260621,1.265455,[48 72] ; [ 7 18],[45.51724138 74.48275862] ; [ 9.48275862 15.51724138],0
n2,1,0.261901,1.258681,[14  7] ; [7 1],[15.20689655  5.79310345] ; [5.79310345 2.20689655],0
u2,1,0.277884,1.177407,[22 23] ; [3 7],[20.45454545 24.54545455] ; [4.54545455 5.45454545],0
u3,1,0.336411,0.924059,[21 24] ; [3 7],[19.63636364 25.36363636] ; [4.36363636 5.63636364],0
s5,1,0.355818,0.8526,[ 18 102] ; [ 2 23],[ 16.55172414 103.44827586] ; [ 3.44827586 21.55172414],0
s2,1,0.377666,0.778286,[23 95] ; [ 3 22],[21.45454545 96.54545455] ; [ 4.54545455 20.45454545],0
n5,1,0.394017,0.726508,[87 33] ; [16  9],[85.24137931 34.75862069] ; [17.75862069  7.24137931],0
a8,1,0.411868,0.673402,[12 97] ; [ 1 19],[10.98449612 98.01550388] ; [ 2.01550388 17.98449612],0
d1,1,0.413421,0.668941,[73 47] ; [13 12],[71.17241379 48.82758621] ; [14.82758621 10.17241379],0
v4,1,0.422091,0.644486,[114   5] ; [23  2],[113.21527778   5.78472222] ; [23.78472222  1.21527778],0
b1,1,0.501692,0.451355,[47 73] ; [ 8 17],[45.51724138 74.48275862] ; [ 9.48275862 15.51724138],0
a7,1,0.527013,0.400147,[89 31] ; [17  8],[87.72413793 32.27586207] ; [18.27586207  6.72413793],0
s3,1,0.534688,0.385474,[26 91] ; [ 7 18],[27.19014085 89.80985915] ; [ 5.80985915 19.19014085],0
s4,1,0.615164,0.252723,[  8 112] ; [ 1 24],[  7.44827586 112.55172414] ; [ 1.55172414 23.44827586],0
d4,1,0.619863,0.246061,[92 28] ; [18  7],[91.03448276 28.96551724] ; [18.96551724  6.03448276],0
b4,1,0.669028,0.182742,[68 52] ; [13 12],[67.03448276 52.96551724] ; [13.96551724 11.03448276],0
p6,1,0.677351,0.173123,[42 76] ; [10 15],[42.90909091 75.09090909] ; [ 9.09090909 15.90909091],0
b2,1,0.691388,0.157587,[27 47] ; [4 9],[26.36781609 47.63218391] ; [4.63218391 8.36781609],0
b3,1,0.691388,0.157587,[27 47] ; [4 9],[26.36781609 47.63218391] ; [4.63218391 8.36781609],0
v3,1,0.724757,0.12398,[48 68] ; [ 9 15],[47.22857143 68.77142857] ; [ 9.77142857 14.22857143],0
d2,1,0.749714,0.101771,[57 63] ; [11 14],[56.27586207 63.72413793] ; [11.72413793 13.27586207],0
s7,1,0.760036,0.093289,[29 82] ; [ 7 17],[29.6 81.4] ; [ 6.4 17.6],0
r1,1,0.790231,0.070762,[93 27] ; [18  6],[92.5 27.5] ; [18.5  5.5],0
a2,1,0.845591,0.037926,[22 98] ; [ 5 20],[22.34482759 97.65517241] ; [ 4.65517241 20.34482759],0
u1,1,0.865506,0.028686,[ 13 107] ; [ 3 22],[ 13.24137931 106.75862069] ; [ 2.75862069 22.24137931],0
