Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,48.002463,[191  52] ; [40 60],[163.65306122  79.34693878] ; [67.34693878 32.65306122],1
d3,1,0.0,42.633811,[180  62] ; [37 63],[153.5497076  88.4502924] ; [63.4502924 36.5497076],1
r4,1,1e-06,23.93265,[205  38] ; [60 40],[187.74052478  55.25947522] ; [77.25947522 22.74052478],1
a2,1,6e-06,20.541196,[ 61 182] ; [ 4 96],[ 46.04956268 196.95043732] ; [18.95043732 81.04956268],1
d5,1,7e-06,20.302163,[203  40] ; [61 39],[187.03206997  55.96793003] ; [76.96793003 23.03206997],1
r3,1,8e-06,19.854043,[224  18] ; [75 25],[211.57309942  30.42690058] ; [87.42690058 12.57309942],1
d4,1,0.000129,14.658614,[198  45] ; [62 38],[184.19825073  58.80174927] ; [75.80174927 24.19825073],1
v4,1,0.000547,11.948107,[224  19] ; [79 21],[214.66180758  28.33819242] ; [88.33819242 11.66180758],1
u1,1,0.000589,11.809775,[ 36 207] ; [ 2 98],[ 26.9212828 216.0787172] ; [11.0787172 88.9212828],1
r1,1,0.001526,10.046427,[180  62] ; [57 43],[167.70175439  74.29824561] ; [69.29824561 30.70175439],0
d1,1,0.002487,9.149963,[136 107] ; [38 62],[123.27113703 119.72886297] ; [50.72886297 49.27113703],0
p4,1,0.003271,8.649819,[127 116] ; [34 64],[114.73020528 128.26979472] ; [46.26979472 51.73020528],0
p10,1,0.004748,7.973051,[177  64] ; [56 41],[166.13313609  74.86686391] ; [66.86686391 30.13313609],0
r2,1,0.005052,7.860898,[218  23] ; [76 20],[210.24925816  30.75074184] ; [83.75074184 12.24925816],0
p3,1,0.006289,7.465526,[103 140] ; [26 72],[ 91.92668622 151.07331378] ; [37.07331378 60.92668622],0
p2,1,0.006666,7.360879,[190  53] ; [62 35],[180.10588235  62.89411765] ; [71.89411765 25.10588235],0
b1,1,0.007762,7.087602,[ 84 159] ; [50 50],[ 94.93294461 148.06705539] ; [39.06705539 60.93294461],0
u3,1,0.017964,5.599612,[43 36] ; [13 28],[36.86666667 42.13333333] ; [19.13333333 21.86666667],0
b5,1,0.018313,5.565949,[164  79] ; [54 46],[154.44314869  88.55685131] ; [63.55685131 36.44314869],0
p9,1,0.03826,4.293427,[184  56] ; [63 33],[176.42857143  63.57142857] ; [70.57142857 25.42857143],0
a5,1,0.043534,4.074526,[173  70] ; [60 40],[165.06997085  77.93002915] ; [67.93002915 32.06997085],0
p7,1,0.054005,3.712542,[133 107] ; [43 55],[124.9704142 115.0295858] ; [51.0295858 46.9704142],0
b4,1,0.062246,3.476512,[141 102] ; [47 53],[133.18950437 109.81049563] ; [54.81049563 45.18950437],0
p1,1,0.064998,3.405036,[ 17 225] ; [ 2 98],[ 13.44444444 228.55555556] ; [ 5.55555556 94.44444444],0
a4,1,0.06824,3.324853,[104 138] ; [32 67],[ 96.51612903 145.48387097] ; [39.48387097 59.51612903],0
p11,1,0.078986,3.085644,[183  60] ; [66 34],[176.40524781  66.59475219] ; [72.59475219 27.40524781],0
s1,1,0.079815,3.068658,[  4 237] ; [ 5 95],[  6.36070381 234.63929619] ; [ 2.63929619 97.36070381],0
p8,1,0.082643,3.012134,[117 121] ; [38 60],[109.79166667 128.20833333] ; [45.20833333 52.79166667],0
p6,1,0.091562,2.846701,[ 69 171] ; [19 77],[ 62.85714286 177.14285714] ; [25.14285714 70.85714286],0
n5,1,0.1223,2.387611,[157  83] ; [74 26],[163.05882353  76.94117647] ; [67.94117647 32.05882353],0
a3,1,0.127767,2.319432,[163  78] ; [59 41],[156.8973607  84.1026393] ; [65.1026393 34.8973607],0
v2,1,0.146323,2.110169,[124 112] ; [42 54],[118. 118.] ; [48. 48.],0
s6,1,0.168781,1.893738,[ 89 153] ; [29 71],[ 83.49707602 158.50292398] ; [34.50292398 65.49707602],0
v1,1,0.181384,1.786247,[119 122] ; [41 58],[113.41176471 127.58823529] ; [46.58823529 52.41176471],0
u2,1,0.223985,1.478655,[42 37] ; [17 24],[38.84166667 40.15833333] ; [20.15833333 20.84166667],0
a8,1,0.245937,1.346235,[ 23 193] ; [ 6 87],[ 20.27184466 195.72815534] ; [ 8.72815534 84.27184466],0
n1,1,0.252798,1.307776,[15 43] ; [15 26],[17.57575758 40.42424242] ; [12.42424242 28.57575758],0
p12,1,0.294361,1.09957,[  5 237] ; [ 4 94],[  6.40588235 235.59411765] ; [ 2.59411765 95.40588235],0
n3,1,0.325522,0.966631,[39 19] ; [23 17],[36.69387755 21.30612245] ; [25.30612245 14.69387755],0
a1,1,0.344588,0.893287,[  9 234] ; [ 6 94],[ 10.62682216 232.37317784] ; [ 4.37317784 95.62682216],0
b2,1,0.382267,0.763399,[45 94] ; [24 38],[47.71641791 91.28358209] ; [21.28358209 40.71641791],0
b3,1,0.382267,0.763399,[45 94] ; [24 38],[47.71641791 91.28358209] ; [21.28358209 40.71641791],0
n2,1,0.479462,0.500088,[38 20] ; [24 17],[36.32323232 21.67676768] ; [25.67676768 15.32323232],0
s4,1,0.521185,0.411547,[ 22 219] ; [ 7 93],[ 20.49560117 220.50439883] ; [ 8.50439883 91.49560117],0
s2,1,0.52948,0.395389,[ 26 216] ; [13 86],[ 27.67741935 214.32258065] ; [11.32258065 87.67741935],0
p5,1,0.553914,0.350352,[ 11 232] ; [ 6 93],[ 12.07894737 230.92105263] ; [ 4.92105263 94.07894737],0
n6,1,0.559358,0.340817,[188  54] ; [74 25],[185.93548387  56.06451613] ; [76.06451613 22.93548387],0
s7,1,0.621139,0.24427,[ 52 177] ; [24 71],[ 53.71604938 175.28395062] ; [22.28395062 72.71604938],0
n4,1,0.643513,0.214177,[169  74] ; [67 33],[167.19533528  75.80466472] ; [68.80466472 31.19533528],0
s8,1,0.739369,0.110682,[ 47 195] ; [21 79],[ 48.11695906 193.88304094] ; [19.88304094 80.11695906],0
u4,1,0.872912,0.025587,[  2 241] ; [ 1 99],[  2.12536443 240.87463557] ; [ 0.87463557 99.12536443],0
v3,1,0.941153,0.00545,[ 80 157] ; [32 64],[ 79.71171171 157.28828829] ; [32.28828829 63.71171171],0
d2,1,0.964411,0.001991,[100 143] ; [41 58],[100.18421053 142.81578947] ; [40.81578947 58.18421053],0
