Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.2e-05,19.089823,[49 29] ; [50  2],[59.4 18.6] ; [39.6 12.4],1
p11,1,0.001609,9.949399,[32 46] ; [36 16],[40.8 37.2] ; [27.2 24.8],0
s6,1,0.002646,9.037114,[25 53] ; [30 21],[33.25581395 44.74418605] ; [21.74418605 29.25581395],0
v3,1,0.002692,9.004951,[12 61] ; [20 29],[19.14754098 53.85245902] ; [12.85245902 36.14754098],0
d5,1,0.003713,8.419137,[45 32] ; [43  9],[52.52713178 24.47286822] ; [35.47286822 16.52713178],0
p8,1,0.007522,7.143942,[15 62] ; [21 30],[21.65625 55.34375] ; [14.34375 36.65625],0
s7,1,0.009548,6.717421,[13 57] ; [20 30],[19.25 50.75] ; [13.75 36.25],0
r1,1,0.016333,5.766648,[47 31] ; [41 10],[53.20930233 24.79069767] ; [34.79069767 16.20930233],0
a5,1,0.023953,5.098039,[45 33] ; [40 12],[51. 27.] ; [34. 18.],0
p9,1,0.029324,4.748516,[40 38] ; [36 15],[45.95348837 32.04651163] ; [30.04651163 20.95348837],0
a3,1,0.029862,4.717235,[45 32] ; [40 12],[50.73643411 26.26356589] ; [34.26356589 17.73643411],0
d1,1,0.049785,3.848684,[27 51] ; [27 25],[32.4 45.6] ; [21.6 30.4],0
s2,1,0.052141,3.771226,[20 57] ; [22 30],[25.06976744 51.93023256] ; [16.93023256 35.06976744],0
d4,1,0.055231,3.675111,[52 25] ; [43  9],[56.70542636 20.29457364] ; [38.29457364 13.70542636],0
a4,1,0.059894,3.540305,[32 46] ; [13 39],[27. 51.] ; [18. 34.],0
n2,1,0.060846,3.514173,[14 15] ; [13  4],[17.02173913 11.97826087] ; [9.97826087 7.02173913],0
s1,1,0.06409,3.428241,[ 8 69] ; [ 1 51],[ 5.37209302 71.62790698] ; [ 3.62790698 48.37209302],0
v4,1,0.069504,3.294688,[56 21] ; [44  7],[60.15625 16.84375] ; [39.84375 11.15625],0
p4,1,0.075586,3.157343,[21 56] ; [22 30],[25.66666667 51.33333333] ; [17.33333333 34.66666667],0
s8,1,0.080893,3.046875,[15 63] ; [17 35],[19.2 58.8] ; [12.8 39.2],0
b4,1,0.083858,2.988506,[48 30] ; [24 28],[43.2 34.8] ; [28.8 23.2],0
d3,1,0.094254,2.800177,[42 35] ; [36 16],[46.55813953 30.44186047] ; [31.44186047 20.55813953],0
r4,1,0.099475,2.713941,[46 32] ; [38 14],[50.4 27.6] ; [33.6 18.4],0
p10,1,0.103924,2.644262,[36 42] ; [31 20],[40.51162791 37.48837209] ; [26.48837209 24.51162791],0
v1,1,0.1219,2.392735,[24 52] ; [23 28],[28.12598425 47.87401575] ; [18.87401575 32.12598425],0
a1,1,0.122623,2.383499,[ 9 69] ; [ 2 50],[ 6.6 71.4] ; [ 4.4 47.6],0
a2,1,0.136595,2.215909,[15 63] ; [ 5 47],[12. 66.] ; [ 8. 44.],0
p3,1,0.149782,2.074468,[18 60] ; [18 34],[21.6 56.4] ; [14.4 37.6],0
r2,1,0.151847,2.053596,[62 15] ; [45  5],[64.87401575 12.12598425] ; [42.12598425  7.87401575],0
b1,1,0.152078,2.051282,[43 35] ; [22 30],[39. 39.] ; [26. 26.],0
d2,1,0.191466,1.706303,[34 43] ; [17 35],[30.44186047 46.55813953] ; [20.55813953 31.44186047],0
p2,1,0.212524,1.554149,[44 34] ; [35 17],[47.4 30.6] ; [31.6 20.4],0
p7,1,0.213266,1.549115,[26 48] ; [24 28],[29.36507937 44.63492063] ; [20.63492063 31.36507937],0
u2,1,0.2155,1.534091,[18 15] ; [9 3],[19.8 13.2] ; [7.2 4.8],0
p1,1,0.251391,1.315559,[ 7 70] ; [ 2 50],[ 5.37209302 71.62790698] ; [ 3.62790698 48.37209302],0
s5,1,0.261721,1.259633,[11 66] ; [11 39],[13.33858268 63.66141732] ; [ 8.66141732 41.33858268],0
n3,1,0.318689,0.994318,[15 12] ; [12  5],[16.56818182 10.43181818] ; [10.43181818  6.56818182],0
a7,1,0.325262,0.967671,[49 29] ; [37 15],[51.6 26.4] ; [34.4 17.6],0
n4,1,0.350966,0.869961,[44 34] ; [25 27],[41.4 36.6] ; [27.6 24.4],0
s4,1,0.355463,0.853859,[10 68] ; [ 4 48],[ 8.4 69.6] ; [ 5.6 46.4],0
p5,1,0.359932,0.83813,[ 2 75] ; [ 3 49],[ 2.98449612 74.01550388] ; [ 2.01550388 49.98449612],0
u1,1,0.371339,0.79918,[ 6 72] ; [ 2 50],[ 4.8 73.2] ; [ 3.2 48.8],0
a8,1,0.518785,0.416308,[ 9 66] ; [ 4 44],[ 7.92682927 67.07317073] ; [ 5.07317073 42.92682927],0
u3,1,0.745582,0.105281,[21 12] ; [7 5],[20.53333333 12.46666667] ; [7.46666667 4.53333333],0
n1,1,0.839602,0.040967,[10 19] ; [ 6 10],[10.31111111 18.68888889] ; [ 5.68888889 10.31111111],0
n5,1,0.894254,0.017669,[32 45] ; [21 31],[31.63565891 45.36434109] ; [21.36434109 30.63565891],0
b2,1,0.934845,0.006683,[13 39] ; [ 8 23],[13.15662651 38.84337349] ; [ 7.84337349 23.15662651],0
b3,1,0.934845,0.006683,[13 39] ; [ 8 23],[13.15662651 38.84337349] ; [ 7.84337349 23.15662651],0
s3,1,0.937174,0.006213,[36 40] ; [25 27],[36.21875 39.78125] ; [24.78125 27.21875],0
b5,1,0.942578,0.005188,[43 35] ; [29 23],[43.2 34.8] ; [28.8 23.2],0
a6,1,0.983853,0.00041,[49 28] ; [33 19],[48.94573643 28.05426357] ; [33.05426357 18.94573643],0
