Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,62.275203,[ 5 46] ; [162  70],[30.09540636 20.90459364] ; [136.90459364  95.09540636],1
d4,1,0.0,26.16813,[28 23] ; [200  32],[41.08833922  9.91166078] ; [186.91166078  45.08833922],1
r1,1,4.4e-05,16.671032,[30 21] ; [193  36],[40.61785714 10.38214286] ; [182.38214286  46.61785714],1
a5,1,0.0001,15.129123,[28 23] ; [187  45],[38.74558304 12.25441696] ; [176.25441696  55.74558304],1
v2,1,0.000577,11.848073,[16 32] ; [135  88],[26.74538745 21.25461255] ; [124.25461255  98.74538745],1
r3,1,0.000612,11.739082,[43  8] ; [224   8],[48.11660777  2.88339223] ; [218.88339223  13.11660777],1
a7,1,0.001521,10.052702,[28 23] ; [178  54],[37.12367491 13.87632509] ; [168.87632509  63.12367491],0
d3,1,0.001782,9.761185,[26 25] ; [170  62],[35.32155477 15.67844523] ; [160.67844523  71.32155477],0
r2,1,0.002354,9.251104,[40 10] ; [216  15],[45.55160142  4.44839858] ; [210.44839858  20.55160142],0
s1,1,0.003658,8.44609,[ 6 45] ; [  6 222],[ 2.19354839 48.80645161] ; [  9.80645161 218.19354839],0
v3,1,0.004494,8.072715,[11 38] ; [ 97 121],[19.82022472 29.17977528] ; [ 88.17977528 129.82022472],0
n5,1,0.005341,7.760039,[31 20] ; [183  48],[38.70212766 12.29787234] ; [175.29787234  55.70212766],0
n4,1,0.008564,6.911523,[31 20] ; [181  50],[38.34042553 12.65957447] ; [173.65957447  57.34042553],0
r4,1,0.010598,6.531526,[40 11] ; [211  21],[45.23321555  5.76678445] ; [205.76678445  26.23321555],0
a3,1,0.01413,6.021885,[28 23] ; [168  64],[35.32155477 15.67844523] ; [160.67844523  71.32155477],0
d2,1,0.014901,5.928183,[17 34] ; [121 111],[24.86925795 26.13074205] ; [113.13074205 118.86925795],0
u1,1,0.019891,5.421458,[ 3 48] ; [ 45 187],[ 8.65017668 42.34982332] ; [ 39.34982332 192.65017668],0
v4,1,0.020818,5.341991,[44  6] ; [222   9],[47.33096085  2.66903915] ; [218.66903915  12.33096085],0
a6,1,0.040111,4.213203,[30 21] ; [170  62],[36.04240283 14.95759717] ; [163.95759717  68.04240283],0
p3,1,0.045761,3.990358,[25 26] ; [148  83],[31.28723404 19.71276596] ; [141.71276596  89.28723404],0
p11,1,0.07111,3.25721,[35 16] ; [186  46],[39.82685512 11.17314488] ; [181.17314488  50.82685512],0
p2,1,0.076917,3.128862,[40 11] ; [203  28],[43.94680851  7.05319149] ; [199.05319149  31.94680851],0
u3,1,0.078818,3.089108,[10 12] ; [42 21],[13.45882353  8.54117647] ; [38.54117647 24.45882353],0
n2,1,0.160328,1.971127,[7 5] ; [36 10],[8.89655172 3.10344828] ; [34.10344828 11.89655172],0
s5,1,0.163521,1.941359,[11 39] ; [ 72 153],[15.09090909 34.90909091] ; [ 67.90909091 157.09090909],0
a2,1,0.172106,1.864506,[ 8 43] ; [ 57 175],[11.71378092 39.28621908] ; [ 53.28621908 178.71378092],0
a4,1,0.173421,1.853122,[17 34] ; [101 130],[21.34042553 29.65957447] ; [ 96.65957447 134.34042553],0
p10,1,0.185932,1.749564,[38 13] ; [189  40],[41.34642857  9.65357143] ; [185.65357143  43.34642857],0
s4,1,0.1931,1.693806,[ 4 47] ; [ 34 197],[ 6.87234043 44.12765957] ; [ 31.12765957 199.87234043],0
s6,1,0.203177,1.619389,[30 20] ; [158  70],[33.81294964 16.18705036] ; [154.18705036  73.81294964],0
s3,1,0.238476,1.389582,[32 18] ; [124 102],[28.26086957 21.73913043] ; [127.73913043  98.26086957],0
b5,1,0.28811,1.12843,[34 17] ; [136  96],[30.6360424 20.3639576] ; [139.3639576  92.6360424],0
n6,1,0.305716,1.049092,[40 11] ; [194  36],[42.46975089  8.53024911] ; [191.53024911  38.46975089],0
a1,1,0.315659,1.006851,[ 3 48] ; [  7 225],[ 1.80212014 49.19787986] ; [  8.19787986 223.80212014],0
s7,1,0.448269,0.575024,[21 28] ; [106 111],[23.39473684 25.60526316] ; [103.60526316 113.39473684],0
v1,1,0.495785,0.463947,[25 26] ; [120 101],[27.1875 23.8125] ; [117.8125 103.1875],0
p5,1,0.513572,0.426782,[ 4 45] ; [ 26 203],[ 5.28776978 43.71223022] ; [ 24.71223022 204.28776978],0
p12,1,0.554155,0.349927,[ 2 49] ; [ 14 218],[ 2.88339223 48.11660777] ; [ 13.11660777 218.88339223],0
p1,1,0.555759,0.347101,[ 5 46] ; [ 17 214],[ 3.9787234 47.0212766] ; [ 18.0212766 212.9787234],0
b1,1,0.58389,0.299988,[21 30] ; [ 86 146],[19.28268551 31.71731449] ; [ 87.71731449 144.28268551],0
b2,1,0.650533,0.205229,[ 9 24] ; [ 46 101],[10.08333333 22.91666667] ; [ 44.91666667 102.08333333],0
b3,1,0.650533,0.205229,[ 9 24] ; [ 46 101],[10.08333333 22.91666667] ; [ 44.91666667 102.08333333],0
p7,1,0.691426,0.157546,[32 19] ; [138  93],[30.74468085 20.25531915] ; [139.25531915  91.74468085],0
p9,1,0.708074,0.140208,[41 10] ; [190  40],[41.9252669  9.0747331] ; [189.0747331  40.9252669],0
p8,1,0.728904,0.12012,[27 22] ; [121 110],[25.9 23.1] ; [122.1 108.9],0
s2,1,0.797832,0.065615,[26 24] ; [114 114],[25.17985612 24.82014388] ; [114.82014388 113.17985612],0
n1,1,0.816091,0.054091,[4 8] ; [17 29],[4.34482759 7.65517241] ; [16.65517241 29.34482759],0
u2,1,0.83246,0.044753,[12 10] ; [36 27],[12.42352941  9.57647059] ; [35.57647059 27.42352941],0
n3,1,0.853259,0.034211,[9 3] ; [34 13],[8.74576271 3.25423729] ; [34.25423729 12.74576271],0
a8,1,0.889017,0.019474,[ 5 41] ; [ 24 183],[ 5.27272727 40.72727273] ; [ 23.72727273 183.27272727],0
u4,1,0.930471,0.007613,[ 1 50] ; [  5 227],[ 1.08127208 49.91872792] ; [  4.91872792 227.08127208],0
s8,1,0.941213,0.005438,[21 30] ; [ 96 134],[21.23487544 29.76512456] ; [ 95.76512456 134.23487544],0
b4,1,0.971952,0.001236,[28 23] ; [128 104],[28.1130742 22.8869258] ; [127.8869258 104.1130742],0
