Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.008236,6.981433,[53 14] ; [14 13],[47.75531915 19.24468085] ; [19.24468085  7.75531915],0
s7,1,0.008545,6.915547,[22 43] ; [ 2 25],[16.95652174 48.04347826] ; [ 7.04347826 19.95652174],0
r1,1,0.012187,6.283411,[46 21] ; [11 16],[40.62765957 26.37234043] ; [16.37234043 10.62765957],0
a5,1,0.040211,4.208955,[38 29] ; [ 9 18],[33.5 33.5] ; [13.5 13.5],0
n1,1,0.050285,3.831939,[11  9] ; [ 3 11],[ 8.23529412 11.76470588] ; [5.76470588 8.23529412],0
a6,1,0.062991,3.456832,[39 28] ; [10 17],[34.92553191 32.07446809] ; [14.07446809 12.92553191],0
v3,1,0.078921,3.086985,[21 43] ; [ 4 23],[17.58241758 46.41758242] ; [ 7.41758242 19.58241758],0
s3,1,0.084047,2.984847,[29 35] ; [ 7 20],[25.31868132 38.68131868] ; [10.68131868 16.31868132],0
r2,1,0.101131,2.687611,[57 10] ; [19  8],[54.17021277 12.82978723] ; [21.82978723  5.17021277],0
a3,1,0.162427,1.951484,[32 33] ; [ 9 18],[28.9673913 36.0326087] ; [12.0326087 14.9673913],0
d2,1,0.16304,1.945801,[16 51] ; [ 3 24],[13.54255319 53.45744681] ; [ 5.45744681 21.54255319],0
r4,1,0.187557,1.736702,[49 18] ; [16 11],[46.32978723 20.67021277] ; [18.67021277  8.32978723],0
a4,1,0.198081,1.656465,[15 51] ; [ 3 24],[12.77419355 53.22580645] ; [ 5.22580645 21.77419355],0
s2,1,0.199621,1.645147,[23 41] ; [ 6 21],[20.3956044 43.6043956] ; [ 8.6043956 18.3956044],0
s8,1,0.208653,1.580751,[15 52] ; [ 3 24],[12.82978723 54.17021277] ; [ 5.17021277 21.82978723],0
p3,1,0.208653,1.580751,[15 52] ; [ 3 24],[12.82978723 54.17021277] ; [ 5.17021277 21.82978723],0
p6,1,0.212659,1.553231,[ 8 58] ; [ 1 26],[ 6.38709677 59.61290323] ; [ 2.61290323 24.38709677],0
v1,1,0.284013,1.147785,[27 38] ; [ 8 19],[24.72826087 40.27173913] ; [10.27173913 16.72826087],0
s4,1,0.289118,1.123725,[11 56] ; [ 7 20],[12.82978723 54.17021277] ; [ 5.17021277 21.82978723],0
p1,1,0.323009,0.976724,[10 57] ; [ 2 25],[ 8.55319149 58.44680851] ; [ 3.44680851 23.55319149],0
s1,1,0.362571,0.828967,[ 6 59] ; [ 1 26],[ 4.94565217 60.05434783] ; [ 2.05434783 24.94565217],0
p4,1,0.374446,0.788858,[18 48] ; [ 5 22],[16.32258065 49.67741935] ; [ 6.67741935 20.32258065],0
a7,1,0.379588,0.772037,[34 33] ; [11 16],[32.07446809 34.92553191] ; [12.92553191 14.07446809],0
u2,1,0.386324,0.750482,[16 19] ; [ 6 12],[14.52830189 20.47169811] ; [ 7.47169811 10.52830189],0
a8,1,0.390095,0.738646,[ 9 54] ; [ 2 24],[ 7.78651685 55.21348315] ; [ 3.21348315 22.78651685],0
d4,1,0.414134,0.666903,[31 36] ; [10 17],[29.22340426 37.77659574] ; [11.77659574 15.22340426],0
n3,1,0.449731,0.57133,[12  7] ; [7 7],[10.93939394  8.06060606] ; [8.06060606 5.93939394],0
b5,1,0.454198,0.560155,[34 33] ; [16 11],[35.63829787 31.36170213] ; [14.36170213 12.63829787],0
d3,1,0.480054,0.498741,[25 42] ; [ 8 19],[23.5212766 43.4787234] ; [ 9.4787234 17.5212766],0
p9,1,0.491388,0.473485,[46 19] ; [21  6],[47.33695652 17.66304348] ; [19.66304348  7.33695652],0
b4,1,0.529634,0.395093,[40 27] ; [18  9],[41.34042553 25.65957447] ; [16.65957447 10.34042553],0
n6,1,0.558908,0.341598,[48 18] ; [18  9],[46.83870968 19.16129032] ; [19.16129032  7.83870968],0
s6,1,0.583761,0.300194,[31 35] ; [11 16],[29.80645161 36.19354839] ; [12.19354839 14.80645161],0
p10,1,0.627923,0.234887,[42 23] ; [16 11],[40.97826087 24.02173913] ; [17.02173913  9.97826087],0
v4,1,0.630712,0.231096,[55 12] ; [21  6],[54.17021277 12.82978723] ; [21.82978723  5.17021277],0
p5,1,0.657733,0.196289,[ 4 63] ; [ 1 26],[ 3.56382979 63.43617021] ; [ 1.43617021 25.56382979],0
a2,1,0.657733,0.196289,[ 4 63] ; [ 1 26],[ 3.56382979 63.43617021] ; [ 1.43617021 25.56382979],0
p8,1,0.780132,0.077923,[19 47] ; [ 7 20],[18.4516129 47.5483871] ; [ 7.5483871 19.4516129],0
p11,1,0.803396,0.061978,[44 23] ; [17 10],[43.4787234 23.5212766] ; [17.5212766  9.4787234],0
b2,1,0.857225,0.032367,[20 23] ; [3 4],[19.78 23.22] ; [3.22 3.78],0
b3,1,0.857225,0.032367,[20 23] ; [3 4],[19.78 23.22] ; [3.22 3.78],0
b1,1,0.862078,0.030182,[26 41] ; [11 16],[26.37234043 40.62765957] ; [10.62765957 16.37234043],0
n2,1,0.869467,0.027006,[16  5] ; [11  3],[16.2  4.8] ; [10.8  3.2],0
s5,1,0.930109,0.007693,[11 51] ; [ 5 22],[11.14606742 50.85393258] ; [ 4.85393258 22.14606742],0
u3,1,0.937572,0.006134,[14 21] ; [ 7 11],[13.86792453 21.13207547] ; [ 7.13207547 10.86792453],0
r3,1,0.957831,0.002796,[51 15] ; [21  6],[51.09677419 14.90322581] ; [20.90322581  6.09677419],0
p2,1,0.972892,0.001155,[35 32] ; [14 13],[34.92553191 32.07446809] ; [14.07446809 12.92553191],0
v2,1,0.990813,0.000133,[19 43] ; [ 8 18],[19.02272727 42.97727273] ; [ 7.97727273 18.02272727],0
