Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3.9e-05,16.914521,[376  46] ; [6 6],[371.43778802  50.56221198] ; [10.56221198  1.43778802],1
v4,1,0.000303,13.052164,[418   7] ; [10  2],[416.24713959   8.75286041] ; [11.75286041  0.24713959],1
n4,1,0.007526,7.143043,[344  80] ; [6 6],[340.36697248  83.63302752] ; [9.63302752 2.36697248],0
v1,1,0.012329,6.262887,[254 163] ; [3 9],[249.81118881 167.18881119] ; [7.18881119 4.81118881],0
s3,1,0.019347,5.46992,[247 173] ; [3 9],[243.05555556 176.94444444] ; [6.94444444 5.05555556],0
d1,1,0.029869,4.716825,[272 153] ; [4 8],[268.42105263 156.57894737] ; [7.57894737 4.42105263],0
r1,1,0.031461,4.627616,[372  52] ; [8 4],[369.5412844  54.4587156] ; [10.4587156  1.5412844],0
p2,1,0.032603,4.566517,[391  33] ; [9 3],[388.99082569  35.00917431] ; [11.00917431  0.99082569],0
b1,1,0.034527,4.468394,[156 269] ; [8 4],[159.49656751 265.50343249] ; [4.50343249 7.49656751],0
s2,1,0.056931,3.62462,[223 199] ; [3 9],[219.75115207 202.24884793] ; [6.24884793 5.75115207],0
n5,1,0.063981,3.431069,[340  84] ; [7 5],[337.44954128  86.55045872] ; [9.55045872 2.44954128],0
a3,1,0.100074,2.704367,[303 119] ; [6 6],[300.4562212 121.5437788] ; [8.5437788 3.4562212],0
p3,1,0.112087,2.524541,[271 152] ; [5 7],[268.3862069 154.6137931] ; [7.6137931 4.3862069],0
p5,1,0.139565,2.182745,[ 72 353] ; [4 8],[ 73.91304348 351.08695652] ; [2.08695652 9.91304348],0
s7,1,0.144267,2.131849,[216 189] ; [3 7],[213.72289157 191.27710843] ; [5.27710843 4.72289157],0
d5,1,0.158406,1.989376,[349  74] ; [8 4],[347.15172414  75.84827586] ; [9.84827586 2.15172414],0
a7,1,0.16916,1.890368,[321 103] ; [7 5],[318.97247706 105.02752294] ; [9.02752294 2.97247706],0
s1,1,0.194941,1.679875,[ 10 412] ; [ 1 11],[ 10.69585253 411.30414747] ; [ 0.30414747 11.69585253],0
a6,1,0.200284,1.640302,[286 137] ; [6 6],[283.94482759 139.05517241] ; [8.05517241 3.94482759],0
p4,1,0.241951,1.369189,[311 112] ; [7 5],[309.22758621 113.77241379] ; [8.77241379 3.22758621],0
d3,1,0.284227,1.146769,[307 117] ; [7 5],[305.35779817 118.64220183] ; [8.64220183 3.35779817],0
a8,1,0.36324,0.82666,[ 59 326] ; [3 9],[ 60.12594458 324.87405542] ; [ 1.87405542 10.12594458],0
d4,1,0.364851,0.821127,[358  65] ; [9 3],[356.87586207  66.12413793] ; [10.12413793  1.87586207],0
a5,1,0.370187,0.803037,[330  95] ; [8 4],[328.71853547  96.28146453] ; [9.28146453 2.71853547],0
p9,1,0.447354,0.577347,[380  42] ; [10  2],[379.21658986  42.78341014] ; [10.78341014  1.21658986],0
p12,1,0.465866,0.531763,[ 43 380] ; [ 2 10],[ 43.75862069 379.24137931] ; [ 1.24137931 10.75862069],0
a4,1,0.493267,0.469392,[183 240] ; [4 8],[181.84137931 241.15862069] ; [5.15862069 6.84137931],0
p11,1,0.530591,0.393259,[362  63] ; [11  1],[362.75743707  62.24256293] ; [10.24256293  1.75743707],0
s8,1,0.563663,0.333401,[211 210] ; [5 7],[210.01385681 210.98614319] ; [5.98614319 6.01385681],0
b4,1,0.585754,0.297024,[246 179] ; [6 6],[245.08009153 179.91990847] ; [6.91990847 5.08009153],0
a1,1,0.59612,0.280888,[ 21 404] ; [ 1 11],[ 21.39588101 403.60411899] ; [ 0.60411899 11.39588101],0
p6,1,0.602667,0.270992,[207 213] ; [5 7],[206.11111111 213.88888889] ; [5.88888889 6.11111111],0
b2,1,0.625222,0.238597,[ 97 158] ; [2 2],[ 97.47104247 157.52895753] ; [1.52895753 2.47104247],0
b3,1,0.625222,0.238597,[ 97 158] ; [2 2],[ 97.47104247 157.52895753] ; [1.52895753 2.47104247],0
s5,1,0.637183,0.222446,[164 245] ; [4 8],[163.21140143 245.78859857] ; [4.78859857 7.21140143],0
d2,1,0.64777,0.208723,[205 219] ; [5 7],[204.22018349 219.77981651] ; [5.77981651 6.22018349],0
s6,1,0.684381,0.165236,[296 115] ; [8 4],[295.37588652 115.62411348] ; [8.62411348 3.37588652],0
p1,1,0.693097,0.155753,[ 51 371] ; [ 1 11],[ 50.56221198 371.43778802] ; [ 1.43778802 10.56221198],0
v2,1,0.718162,0.130261,[247 165] ; [6 5],[246.42080378 165.57919622] ; [6.57919622 4.42080378],0
u3,1,0.765333,0.089093,[68 53] ; [3 3],[67.64566929 53.35433071] ; [3.35433071 2.64566929],0
v3,1,0.829917,0.046142,[185 228] ; [5 7],[184.63529412 228.36470588] ; [5.36470588 6.63529412],0
b5,1,0.872402,0.025795,[238 187] ; [7 5],[238.27231121 186.72768879] ; [6.72768879 5.27231121],0
p7,1,0.915386,0.011289,[345  75] ; [10  2],[345.13888889  74.86111111] ; [9.86111111 2.13888889],0
s4,1,0.970574,0.001361,[ 68 350] ; [ 2 10],[ 68.04651163 349.95348837] ; [ 1.95348837 10.04651163],0
