Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,32.78669,[86 18] ; [10 23],[72.87591241 31.12408759] ; [23.12408759  9.87591241],1
v4,1,0.0,25.342305,[90 14] ; [15 19],[79.13043478 24.86956522] ; [25.86956522  8.13043478],1
p11,1,1e-06,24.689769,[77 27] ; [ 9 25],[64.8115942 39.1884058] ; [21.1884058 12.8115942],1
p9,1,7e-06,20.295448,[80 22] ; [11 20],[69.78947368 32.21052632] ; [21.21052632  9.78947368],1
p2,1,2.8e-05,17.579085,[74 28] ; [11 23],[63.75 38.25] ; [21.25 12.75],1
n2,1,6.7e-05,15.905072,[30  8] ; [ 3 12],[23.66037736 14.33962264] ; [9.33962264 5.66037736],1
p10,1,0.0001,15.132482,[66 34] ; [ 9 24],[56.39097744 43.60902256] ; [18.60902256 14.39097744],1
n3,1,0.000279,13.209163,[32  6] ; [ 5 10],[26.52830189 11.47169811] ; [10.47169811  4.52830189],1
a1,1,0.000659,11.60067,[  2 102] ; [ 6 28],[ 6.02898551 97.97101449] ; [ 1.97101449 32.02898551],1
p6,1,0.004523,8.060966,[30 68] ; [ 2 31],[23.9389313 74.0610687] ; [ 8.0610687 24.9389313],0
p8,1,0.004847,7.935731,[43 59] ; [ 5 28],[36.26666667 65.73333333] ; [11.73333333 21.26666667],0
b1,1,0.005554,7.68947,[39 65] ; [22 12],[45.97101449 58.02898551] ; [15.02898551 18.97101449],0
p4,1,0.014485,5.978022,[45 57] ; [ 7 27],[39. 63.] ; [13. 21.],0
s6,1,0.015637,5.843192,[38 65] ; [ 5 29],[32.32846715 70.67153285] ; [10.67153285 23.32846715],0
a7,1,0.017539,5.641579,[64 40] ; [13 21],[58.02898551 45.97101449] ; [18.97101449 15.02898551],0
b5,1,0.022293,5.222775,[66 38] ; [14 20],[60.28985507 43.71014493] ; [19.71014493 14.28985507],0
p7,1,0.028753,4.782331,[52 50] ; [10 24],[46.5 55.5] ; [15.5 18.5],0
v2,1,0.029081,4.762792,[40 63] ; [ 6 27],[34.83823529 68.16176471] ; [11.16176471 21.83823529],0
d4,1,0.034415,4.47395,[70 34] ; [16 18],[64.8115942 39.1884058] ; [21.1884058 12.8115942],0
r2,1,0.049116,3.871394,[78 22] ; [20 13],[73.68421053 26.31578947] ; [24.31578947  8.68421053],0
s8,1,0.055296,3.673143,[16 88] ; [ 1 33],[12.8115942 91.1884058] ; [ 4.1884058 29.8115942],0
s3,1,0.071865,3.239902,[29 74] ; [ 4 28],[25.17777778 77.82222222] ; [ 7.82222222 24.17777778],0
p3,1,0.073668,3.199349,[38 64] ; [ 7 27],[33.75 68.25] ; [11.25 22.75],0
d3,1,0.082987,3.005416,[54 49] ; [12 22],[49.62043796 53.37956204] ; [16.37956204 17.62043796],0
p1,1,0.143589,2.139069,[ 9 95] ; [ 6 28],[11.30434783 92.69565217] ; [ 3.69565217 30.30434783],0
s1,1,0.14419,2.132665,[  3 100] ; [ 3 31],[ 4.51094891 98.48905109] ; [ 1.48905109 32.51094891],0
s7,1,0.184134,1.763938,[23 75] ; [ 4 28],[20.35384615 77.64615385] ; [ 6.64615385 25.35384615],0
v3,1,0.1873,1.738732,[30 73] ; [ 6 28],[27.06569343 75.93430657] ; [ 8.93430657 25.06569343],0
d5,1,0.188012,1.733131,[71 33] ; [19 15],[67.82608696 36.17391304] ; [22.17391304 11.82608696],0
a8,1,0.203115,1.619835,[10 89] ; [ 1 32],[ 8.25 90.75] ; [ 2.75 30.25],0
b4,1,0.237271,1.396735,[61 43] ; [16 18],[58.02898551 45.97101449] ; [18.97101449 15.02898551],0
d1,1,0.241112,1.374081,[39 65] ; [ 9 25],[36.17391304 67.82608696] ; [11.82608696 22.17391304],0
b2,1,0.266204,1.236205,[22 35] ; [12 11],[24.225 32.775] ; [ 9.775 13.225],0
b3,1,0.266204,1.236205,[22 35] ; [12 11],[24.225 32.775] ; [ 9.775 13.225],0
d2,1,0.326972,0.960854,[40 63] ; [16 17],[42.41176471 60.58823529] ; [13.58823529 19.41176471],0
a3,1,0.400366,0.707226,[60 43] ; [17 17],[57.89051095 45.10948905] ; [19.10948905 14.89051095],0
a6,1,0.493377,0.469154,[59 45] ; [17 17],[57.27536232 46.72463768] ; [18.72463768 15.27536232],0
p5,1,0.529112,0.396097,[10 94] ; [ 2 31],[ 9.10948905 94.89051095] ; [ 2.89051095 30.10948905],0
v1,1,0.567529,0.326834,[32 69] ; [ 9 25],[30.67407407 70.32592593] ; [10.32592593 23.67407407],0
u2,1,0.594247,0.28376,[17 26] ; [8 9],[17.91666667 25.08333333] ; [7.08333333 9.91666667],0
u3,1,0.603605,0.269593,[13 30] ; [ 4 13],[12.18333333 30.81666667] ; [ 4.81666667 12.18333333],0
n5,1,0.622834,0.241905,[68 35] ; [24 10],[69.16788321 33.83211679] ; [22.83211679 11.16788321],0
s4,1,0.625658,0.237995,[12 92] ; [ 5 29],[12.8115942 91.1884058] ; [ 4.1884058 29.8115942],0
n1,1,0.628402,0.234234,[15 22] ; [ 5 10],[14.23076923 22.76923077] ; [5.76923077 9.23076923],0
s5,1,0.637985,0.221387,[ 9 91] ; [ 4 30],[ 9.70149254 90.29850746] ; [ 3.29850746 30.70149254],0
u1,1,0.643147,0.214649,[ 5 99] ; [ 1 33],[ 4.52173913 99.47826087] ; [ 1.47826087 32.52173913],0
a5,1,0.760909,0.092591,[49 55] ; [15 19],[48.23188406 55.76811594] ; [15.76811594 18.23188406],0
a2,1,0.768782,0.086417,[11 93] ; [ 3 31],[10.55072464 93.44927536] ; [ 3.44927536 30.55072464],0
n4,1,0.779514,0.078374,[67 37] ; [21 13],[66.31884058 37.68115942] ; [21.68115942 12.31884058],0
p12,1,0.792489,0.069211,[ 4 98] ; [ 1 33],[ 3.75 98.25] ; [ 1.25 32.75],0
a4,1,0.797863,0.065594,[34 70] ; [10 23],[33.40145985 70.59854015] ; [10.59854015 22.40145985],0
