Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.227195,1.458333,[ 4 10] ; [26 30],[6. 8.] ; [24. 32.],0
p4,1,0.714435,0.133887,[7 6] ; [27 29],[6.4057971 6.5942029] ; [27.5942029 28.4057971],0
p3,1,0.718927,0.129523,[7 7] ; [25 31],[6.4 7.6] ; [25.6 30.4],0
b1,1,0.810386,0.057566,[6 8] ; [26 30],[6.4 7.6] ; [25.6 30.4],0
p5,1,0.986649,0.00028,[ 1 13] ; [ 4 51],[ 1.01449275 12.98550725] ; [ 3.98550725 51.01449275],0
