Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,24.44123,[11 70] ; [18 12],[21.16216216 59.83783784] ; [ 7.83783784 22.16216216],1
p8,1,3e-06,21.546362,[11 70] ; [17 13],[20.43243243 60.56756757] ; [ 7.56756757 22.43243243],1
p6,1,4.1e-05,16.838768,[ 6 74] ; [12 18],[13.09090909 66.90909091] ; [ 4.90909091 25.09090909],1
s5,1,0.00014,14.507002,[ 7 72] ; [11 16],[13.41509434 65.58490566] ; [ 4.58490566 22.41509434],1
s6,1,0.000189,13.938236,[19 61] ; [18 11],[27.1559633 52.8440367] ; [ 9.8440367 19.1559633],1
p7,1,0.000962,10.898966,[13 67] ; [14 16],[19.63636364 60.36363636] ; [ 7.36363636 22.63636364],1
s2,1,0.005143,7.828293,[ 6 75] ; [ 8 21],[10.30909091 70.69090909] ; [ 3.69090909 25.30909091],0
p5,1,0.006345,7.449644,[ 1 80] ; [ 4 26],[ 3.64864865 77.35135135] ; [ 1.35135135 28.64864865],0
v2,1,0.008983,6.826299,[25 52] ; [17 11],[30.8 46.2] ; [11.2 16.8],0
s1,1,0.020162,5.397774,[ 3 77] ; [ 5 25],[ 5.81818182 74.18181818] ; [ 2.18181818 27.81818182],0
v1,1,0.023976,5.096345,[16 64] ; [12 17],[20.55045872 59.44954128] ; [ 7.44954128 21.55045872],0
s8,1,0.032284,4.583333,[12 68] ; [10 20],[16. 64.] ; [ 6. 24.],0
p11,1,0.037564,4.324675,[36 45] ; [20 10],[40.86486486 40.13513514] ; [15.13513514 14.86486486],0
d3,1,0.04945,3.86001,[37 44] ; [20 10],[41.59459459 39.40540541] ; [15.40540541 14.59459459],0
p9,1,0.0647,3.412602,[33 43] ; [19 11],[37.28301887 38.71698113] ; [14.71698113 15.28301887],0
r3,1,0.073911,3.193961,[56 24] ; [26  4],[59.63636364 20.36363636] ; [22.36363636  7.63636364],0
v4,1,0.073911,3.193961,[56 24] ; [26  4],[59.63636364 20.36363636] ; [22.36363636  7.63636364],0
p10,1,0.129815,2.294713,[32 47] ; [17 13],[35.51376147 43.48623853] ; [13.48623853 16.51376147],0
r4,1,0.210833,1.565696,[49 32] ; [22  8],[51.81081081 29.18918919] ; [19.18918919 10.81081081],0
u2,1,0.216244,1.529121,[12 20] ; [8 6],[13.91304348 18.08695652] ; [6.08695652 7.91304348],0
r2,1,0.248942,1.329231,[63 15] ; [27  3],[65. 13.] ; [25.  5.],0
a5,1,0.250073,1.322895,[47 34] ; [21  9],[49.62162162 31.37837838] ; [18.37837838 11.62162162],0
d5,1,0.255376,1.293653,[50 31] ; [22  8],[52.54054054 28.45945946] ; [19.45945946 10.54054054],0
d1,1,0.285469,1.140867,[34 47] ; [16 14],[36.48648649 44.51351351] ; [13.51351351 16.48648649],0
s4,1,0.285687,1.139837,[10 70] ; [ 6 23],[11.74311927 68.25688073] ; [ 4.25688073 24.74311927],0
a3,1,0.286725,1.134935,[49 31] ; [15 15],[46.54545455 33.45454545] ; [17.45454545 12.54545455],0
n1,1,0.333342,0.935871,[12 21] ; [2 8],[10.74418605 22.25581395] ; [3.25581395 6.74418605],0
p1,1,0.336818,0.922505,[ 7 74] ; [ 1 29],[ 5.83783784 75.16216216] ; [ 2.16216216 27.83783784],0
n6,1,0.338465,0.916237,[53 27] ; [22  7],[55.04587156 24.95412844] ; [19.95412844  9.04587156],0
r1,1,0.366731,0.814712,[43 37] ; [19 11],[45.09090909 34.90909091] ; [16.90909091 13.09090909],0
u3,1,0.401429,0.704042,[15 17] ; [9 6],[16.34042553 15.65957447] ; [7.65957447 7.34042553],0
a2,1,0.434489,0.610794,[16 65] ; [ 4 26],[14.59459459 66.40540541] ; [ 5.40540541 24.59459459],0
n5,1,0.451985,0.56567,[49 31] ; [16 14],[47.27272727 32.72727273] ; [17.72727273 12.27272727],0
n2,1,0.481456,0.495564,[19 14] ; [7 3],[19.95348837 13.04651163] ; [6.04651163 3.95348837],0
p12,1,0.503862,0.446792,[ 3 78] ; [ 2 28],[ 3.64864865 77.35135135] ; [ 1.35135135 28.64864865],0
b1,1,0.515591,0.422703,[38 43] ; [12 18],[36.48648649 44.51351351] ; [13.51351351 16.48648649],0
a7,1,0.527839,0.398551,[48 32] ; [16 14],[46.54545455 33.45454545] ; [17.45454545 12.54545455],0
d4,1,0.581376,0.304015,[55 26] ; [22  8],[56.18918919 24.81081081] ; [20.81081081  9.18918919],0
a8,1,0.671357,0.180019,[ 4 73] ; [ 2 25],[ 4.44230769 72.55769231] ; [ 1.55769231 25.44230769],0
u1,1,0.746433,0.104553,[ 9 72] ; [ 4 26],[ 9.48648649 71.51351351] ; [ 3.51351351 26.48648649],0
b2,1,0.759994,0.093323,[21 29] ; [ 8 13],[20.42253521 29.57746479] ; [ 8.57746479 12.42253521],0
b3,1,0.759994,0.093323,[21 29] ; [ 8 13],[20.42253521 29.57746479] ; [ 8.57746479 12.42253521],0
n3,1,0.774896,0.081783,[17 14] ; [6 4],[17.3902439 13.6097561] ; [5.6097561 4.3902439],0
a4,1,0.810051,0.057773,[30 50] ; [12 18],[30.54545455 49.45454545] ; [11.45454545 18.54545455],0
v3,1,0.811655,0.056783,[25 53] ; [10 19],[25.51401869 52.48598131] ; [ 9.48598131 19.51401869],0
b5,1,0.825413,0.048659,[44 37] ; [17 13],[44.51351351 36.48648649] ; [16.48648649 13.51351351],0
a6,1,0.85118,0.035199,[47 34] ; [18 12],[47.43243243 33.56756757] ; [17.56756757 12.43243243],0
a1,1,0.867038,0.02803,[ 9 72] ; [ 3 27],[ 8.75675676 72.24324324] ; [ 3.24324324 26.75675676],0
n4,1,0.904754,0.014318,[49 31] ; [18 12],[48.72727273 31.27272727] ; [18.27272727 11.72727273],0
s7,1,0.905092,0.014216,[14 63] ; [ 5 21],[14.2038835 62.7961165] ; [ 4.7961165 21.2038835],0
b4,1,0.916617,0.010961,[45 36] ; [17 13],[45.24324324 35.75675676] ; [16.75675676 13.24324324],0
d2,1,0.927369,0.008309,[35 44] ; [13 17],[34.78899083 44.21100917] ; [13.21100917 16.78899083],0
