Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,7.9e-05,15.589966,[ 2 37] ; [6 5],[ 6.24 32.76] ; [1.76 9.24],1
v1,1,0.007214,7.218786,[11 28] ; [8 3],[14.82 24.18] ; [4.18 6.82],0
s6,1,0.012117,6.293706,[12 27] ; [8 3],[15.6 23.4] ; [4.4 6.6],0
s2,1,0.018802,5.519822,[10 29] ; [7 4],[13.26 25.74] ; [3.74 7.26],0
s5,1,0.0227,5.191285,[ 2 36] ; [3 7],[ 3.95833333 34.04166667] ; [1.04166667 8.95833333],0
a5,1,0.030606,4.674955,[11 28] ; [7 4],[14.04 24.96] ; [3.96 7.04],0
n4,1,0.063074,3.454665,[16 23] ; [8 3],[18.72 20.28] ; [5.28 5.72],0
d3,1,0.069523,3.294255,[10 29] ; [6 5],[12.48 26.52] ; [3.52 7.48],0
v4,1,0.086847,2.931862,[24 15] ; [9 1],[26.26530612 12.73469388] ; [6.73469388 3.26530612],0
u3,1,0.091174,2.853515,[ 8 13] ; [4 1],[ 9.69230769 11.30769231] ; [2.30769231 2.69230769],0
b5,1,0.119232,2.42738,[18 21] ; [8 3],[20.28 18.72] ; [5.72 5.28],0
r4,1,0.119232,2.42738,[18 21] ; [8 3],[20.28 18.72] ; [5.72 5.28],0
r2,1,0.145071,2.123333,[26 13] ; [9 1],[27.85714286 11.14285714] ; [7.14285714 2.85714286],0
s3,1,0.158225,1.991111,[19 20] ; [8 3],[21.06 17.94] ; [5.94 5.06],0
p2,1,0.158225,1.991111,[19 20] ; [8 3],[21.06 17.94] ; [5.94 5.06],0
u2,1,0.191785,1.703855,[10 11] ; [4 1],[11.30769231  9.69230769] ; [2.69230769 2.30769231],0
p3,1,0.205344,1.603952,[10 29] ; [5 6],[11.7 27.3] ; [3.3 7.7],0
b4,1,0.205701,1.601429,[19 20] ; [3 8],[17.16 21.84] ; [4.84 6.16],0
p8,1,0.225179,1.471057,[10 28] ; [5 6],[11.63265306 26.36734694] ; [3.36734694 7.63265306],0
v2,1,0.226814,1.460727,[ 7 30] ; [4 7],[ 8.47916667 28.52083333] ; [2.52083333 8.47916667],0
r3,1,0.265956,1.237488,[25 14] ; [9 2],[26.52 12.48] ; [7.48 3.52],0
p9,1,0.299358,1.077054,[21 17] ; [8 3],[22.48979592 15.51020408] ; [6.51020408 4.48979592],0
d2,1,0.305749,1.048951,[ 9 30] ; [ 1 10],[ 7.8 31.2] ; [2.2 8.8],0
p1,1,0.305749,1.048951,[ 3 36] ; [2 9],[ 3.9 35.1] ; [1.1 9.9],0
a2,1,0.329255,0.951826,[ 1 38] ; [ 1 10],[ 1.56 37.44] ; [ 0.44 10.56],0
p4,1,0.401577,0.7036,[ 9 29] ; [4 7],[10.08163265 27.91836735] ; [2.91836735 8.08163265],0
b2,1,0.453129,0.562812,[ 7 16] ; [4 5],[ 7.90625 15.09375] ; [3.09375 5.90625],0
b3,1,0.453129,0.562812,[ 7 16] ; [4 5],[ 7.90625 15.09375] ; [3.09375 5.90625],0
d4,1,0.51965,0.414588,[17 22] ; [6 5],[17.94 21.06] ; [5.06 5.94],0
n5,1,0.56594,0.329523,[21 17] ; [5 6],[20.16326531 17.83673469] ; [5.83673469 5.16326531],0
a7,1,0.66803,0.183916,[17 22] ; [4 7],[16.38 22.62] ; [4.62 6.38],0
a3,1,0.674975,0.175837,[18 20] ; [6 5],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
a8,1,0.700122,0.148345,[ 5 32] ; [2 9],[ 5.39583333 31.60416667] ; [1.60416667 9.39583333],0
a4,1,0.72924,0.11981,[ 9 30] ; [2 9],[ 8.58 30.42] ; [2.42 8.58],0
b1,1,0.732807,0.11655,[20 19] ; [5 6],[19.5 19.5] ; [5.5 5.5],0
r1,1,0.732807,0.11655,[19 20] ; [6 5],[19.5 19.5] ; [5.5 5.5],0
p7,1,0.7372,0.112603,[17 20] ; [4 6],[16.53191489 20.46808511] ; [4.46808511 5.53191489],0
v3,1,0.773522,0.082812,[ 9 30] ; [3 8],[ 9.36 29.64] ; [2.64 8.36],0
p10,1,0.790566,0.07053,[19 19] ; [5 6],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
a6,1,0.792669,0.069088,[16 23] ; [5 6],[16.38 22.62] ; [4.62 6.38],0
s4,1,0.82315,0.04995,[ 6 33] ; [2 9],[ 6.24 32.76] ; [1.76 9.24],0
p11,1,0.848264,0.036609,[20 19] ; [6 5],[20.28 18.72] ; [5.72 5.28],0
p6,1,0.985603,0.000326,[ 7 31] ; [2 9],[ 6.97959184 31.02040816] ; [2.02040816 8.97959184],0
