Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,31.606161,[17 22] ; [84 10],[29.61654135  9.38345865] ; [71.38345865 22.61654135],1
n6,1,3.2e-05,17.287944,[24 15] ; [86  8],[32.2556391  6.7443609] ; [77.7443609 16.2556391],1
b1,1,0.02103,5.324312,[11 28] ; [47 47],[17.0075188 21.9924812] ; [40.9924812 53.0075188],0
s7,1,0.026355,4.932574,[23 15] ; [73 19],[28.06153846  9.93846154] ; [67.93846154 24.06153846],0
a5,1,0.028583,4.792558,[23 16] ; [73 21],[28.15037594 10.84962406] ; [67.84962406 26.15037594],0
r2,1,0.037438,4.330389,[34  4] ; [91  2],[36.25954198  1.74045802] ; [88.74045802  4.25954198],0
a2,1,0.081754,3.029676,[ 4 35] ; [22 72],[ 7.62406015 31.37593985] ; [18.37593985 75.62406015],0
d1,1,0.125156,2.351576,[18 21] ; [57 37],[21.9924812 17.0075188] ; [53.0075188 40.9924812],0
p6,1,0.160843,1.96628,[ 6 31] ; [26 67],[ 9.10769231 27.89230769] ; [22.89230769 70.10769231],0
s3,1,0.180544,1.79314,[25 14] ; [71 23],[28.15037594 10.84962406] ; [67.84962406 26.15037594],0
p8,1,0.184083,1.764347,[19 20] ; [33 58],[15.6 23.4] ; [36.4 54.6],0
a3,1,0.197427,1.66131,[26 13] ; [72 21],[28.95454545 10.04545455] ; [69.04545455 23.95454545],0
s4,1,0.203182,1.61935,[10 29] ; [15 78],[ 7.38636364 31.61363636] ; [17.61363636 75.38636364],0
p10,1,0.213796,1.545534,[29  8] ; [81 12],[31.30769231  5.69230769] ; [78.69230769 14.30769231],0
p5,1,0.240166,1.379619,[ 3 35] ; [ 3 91],[ 1.72727273 36.27272727] ; [ 4.27272727 89.72727273],0
u2,1,0.240848,1.375624,[9 3] ; [12 10],[7.41176471 4.58823529] ; [13.58823529  8.41176471],0
p7,1,0.25398,1.301276,[17 19] ; [52 37],[19.872 16.128] ; [49.128 39.872],0
u1,1,0.259667,1.270532,[ 4 35] ; [17 77],[ 6.15789474 32.84210526] ; [14.84210526 79.15789474],0
d2,1,0.31334,1.016543,[17 22] ; [50 44],[19.64661654 19.35338346] ; [47.35338346 46.64661654],0
s2,1,0.376805,0.7811,[23 16] ; [63 31],[25.21804511 13.78195489] ; [60.78195489 33.21804511],0
p11,1,0.389588,0.740227,[28 11] ; [74 20],[29.90977444  9.09022556] ; [72.09022556 21.90977444],0
b5,1,0.400982,0.70538,[21 18] ; [58 36],[23.16541353 15.83458647] ; [55.83458647 38.16541353],0
d5,1,0.427192,0.630446,[31  8] ; [80 14],[32.54887218  6.45112782] ; [78.45112782 15.54887218],0
