Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,83.674087,[343  87] ; [ 72 101],[295.93698176 134.06301824] ; [119.06301824  53.93698176],1
d3,1,0.0,69.385021,[341  90] ; [77 96],[298.27483444 132.72516556] ; [119.72516556  53.27483444],1
a2,1,0.0,39.751845,[146 287] ; [ 15 158],[115.0379538 317.9620462] ; [ 45.9620462 127.0379538],1
u1,1,0.0,26.219776,[110 323] ; [ 12 161],[ 87.17161716 345.82838284] ; [ 34.82838284 138.17161716],1
b5,1,5e-06,20.782314,[287 146] ; [80 93],[262.22937294 170.77062706] ; [104.77062706  68.22937294],1
r4,1,0.000539,11.976032,[406  27] ; [147  26],[395.13036304  37.86963696] ; [157.86963696  15.13036304],1
r1,1,0.002238,9.34339,[362  68] ; [127  46],[348.70646766  81.29353234] ; [140.29353234  32.70646766],0
d1,1,0.00231,9.285239,[290 143] ; [93 80],[273.66171617 159.33828383] ; [109.33828383  63.66171617],0
b1,1,0.003333,8.615739,[145 288] ; [80 93],[160.76732673 272.23267327] ; [ 64.23267327 108.76732673],0
v4,1,0.003618,8.466049,[417  12] ; [158  14],[410.44093178  18.55906822] ; [164.55906822   7.44093178],0
u3,1,0.005983,7.555413,[67 40] ; [14 24],[59.77241379 47.22758621] ; [21.22758621 16.77241379],0
d5,1,0.01405,6.03188,[371  60] ; [134  38],[360.95356551  70.04643449] ; [144.04643449  27.95356551],0
b3,1,0.016256,5.774984,[ 98 173] ; [58 60],[108.67866324 162.32133676] ; [47.32133676 70.67866324],0
b2,1,0.016256,5.774984,[ 98 173] ; [58 60],[108.67866324 162.32133676] ; [47.32133676 70.67866324],0
a5,1,0.03027,4.693879,[350  83] ; [126  47],[340.11221122  92.88778878] ; [135.88778878  37.11221122],0
r2,1,0.032139,4.591049,[410  15] ; [157  13],[405.  20.] ; [162.   8.],0
a8,1,0.060103,3.534534,[ 72 312] ; [ 20 144],[ 64.46715328 319.53284672] ; [ 27.53284672 136.46715328],0
v2,1,0.09914,2.719332,[256 161] ; [89 76],[247.19072165 169.80927835] ; [97.80927835 67.19072165],0
p4,1,0.110972,2.540321,[294 137] ; [105  66],[285.6627907 145.3372093] ; [113.3372093  57.6627907],0
s7,1,0.119815,2.41974,[221 191] ; [102  66],[229.44137931 182.55862069] ; [93.55862069 74.44137931],0
d4,1,0.120117,2.415801,[368  63] ; [138  34],[361.66832504  69.33167496] ; [144.33167496  27.66832504],0
r3,1,0.154889,2.023434,[414  14] ; [163  10],[410.90848586  17.09151414] ; [166.09151414   6.90848586],0
u2,1,0.183698,1.767451,[64 43] ; [18 20],[60.51034483 46.48965517] ; [21.48965517 16.51034483],0
p10,1,0.184183,1.763548,[400  31] ; [154  18],[395.97678275  35.02321725] ; [158.02321725  13.97678275],0
s2,1,0.22149,1.494691,[237 190] ; [86 86],[230.25208681 196.74791319] ; [92.74791319 79.25208681],0
n2,1,0.231536,1.431403,[55 14] ; [30 13],[52.36607143 16.63392857] ; [32.63392857 10.36607143],0
s8,1,0.241671,1.370818,[208 221] ; [93 80],[214.5 214.5] ; [86.5 86.5],0
p12,1,0.296004,1.09211,[ 48 384] ; [ 14 156],[ 44.49169435 387.50830565] ; [ 17.50830565 152.49169435],0
n6,1,0.340254,0.909473,[391  39] ; [152  20],[387.85714286  42.14285714] ; [155.14285714  16.85714286],0
p1,1,0.356488,0.850227,[ 46 387] ; [ 14 158],[ 42.94214876 390.05785124] ; [ 17.05785124 154.94214876],0
s4,1,0.397548,0.715729,[ 62 363] ; [ 30 143],[ 65.38461538 359.61538462] ; [ 26.61538462 146.38461538],0
b4,1,0.399223,0.710665,[254 179] ; [95 78],[249.3679868 183.6320132] ; [99.6320132 73.3679868],0
s5,1,0.399294,0.71045,[145 266] ; [ 64 100],[149.38956522 261.61043478] ; [ 59.61043478 104.38956522],0
v3,1,0.421083,0.647291,[174 241] ; [77 92],[178.36472603 236.63527397] ; [72.63527397 96.36472603],0
u4,1,0.424338,0.638271,[ 10 422] ; [  6 167],[ 11.42479339 420.57520661] ; [  4.57520661 168.42479339],0
p6,1,0.424618,0.6375,[188 242] ; [ 67 100],[183.66834171 246.33165829] ; [71.33165829 95.66834171],0
n5,1,0.455129,0.557847,[375  54] ; [155  18],[377.6910299  51.3089701] ; [152.3089701  20.6910299],0
n3,1,0.470446,0.520929,[55 14] ; [31 11],[53.45945946 15.54054054] ; [32.54054054  9.45945946],0
v1,1,0.472359,0.516452,[248 171] ; [94 74],[244.11925043 174.88074957] ; [97.88074957 70.11925043],0
a4,1,0.495503,0.464555,[220 211] ; [83 90],[216.21357616 214.78642384] ; [86.78642384 86.21357616],0
a3,1,0.521753,0.410426,[325 105] ; [135  38],[328.026534 101.973466] ; [131.973466  41.026534],0
n1,1,0.523109,0.407758,[29 39] ; [21 22],[30.63063063 37.36936937] ; [19.36936937 23.63063063],0
p7,1,0.548608,0.359817,[290 135] ; [111  58],[286.91077441 138.08922559] ; [114.08922559  54.91077441],0
s1,1,0.617913,0.248812,[ 16 410] ; [  5 166],[ 14.98492462 411.01507538] ; [  6.01507538 164.98492462],0
p3,1,0.64041,0.218207,[244 188] ; [93 78],[241.43283582 190.56716418] ; [95.56716418 75.43283582],0
p5,1,0.669445,0.182251,[ 62 368] ; [ 27 144],[ 63.67720466 366.32279534] ; [ 25.32279534 145.67720466],0
p8,1,0.696463,0.152178,[245 182] ; [94 75],[242.87416107 184.12583893] ; [96.12583893 72.87416107],0
s6,1,0.704213,0.144126,[303 120] ; [117  50],[301.11864407 121.88135593] ; [118.88135593  48.11864407],0
p11,1,0.751375,0.10038,[366  67] ; [148  25],[367.2640264  65.7359736] ; [146.7359736  26.2640264],0
