Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,72.370816,[ 4 39] ; [193  62],[28.4261745 14.5738255] ; [168.5738255  86.4261745],1
d5,1,0.0,67.09419,[18 24] ; [234  21],[35.63636364  6.36363636] ; [216.36363636  38.63636364],1
d3,1,0.0,56.955922,[10 31] ; [206  49],[29.91891892 11.08108108] ; [186.08108108  68.91891892],1
d2,1,0.000203,13.802972,[12 31] ; [149 106],[23.23154362 19.76845638] ; [137.76845638 117.23154362],1
r4,1,0.003832,8.361718,[35  8] ; [240  15],[39.68120805  3.31879195] ; [235.31879195  19.68120805],0
p1,1,0.005091,7.84698,[12 31] ; [ 30 224],[ 6.08080808 36.91919192] ; [ 35.91919192 218.08080808],0
u1,1,0.005758,7.624407,[ 3 40] ; [ 67 188],[10.10067114 32.89932886] ; [ 59.89932886 195.10067114],0
a3,1,0.008008,7.031671,[26 17] ; [200  53],[32.83108108 10.16891892] ; [193.16891892  59.83108108],0
a2,1,0.010298,6.582639,[ 5 38] ; [ 78 177],[11.97651007 31.02348993] ; [ 71.02348993 183.97651007],0
a4,1,0.011492,6.387625,[15 28] ; [142 113],[22.65436242 20.34563758] ; [134.34563758 120.65436242],0
v1,1,0.014409,5.98731,[20 23] ; [165  85],[27.15017065 15.84982935] ; [157.84982935  92.15017065],0
a5,1,0.020649,5.356216,[28 15] ; [206  49],[33.76510067  9.23489933] ; [200.23489933  54.76510067],0
s6,1,0.029259,4.75228,[26 15] ; [195  52],[31.46180556  9.53819444] ; [189.53819444  57.46180556],0
p2,1,0.03382,4.503792,[35  8] ; [234  21],[38.81543624  4.18456376] ; [230.18456376  24.81543624],0
v4,1,0.036206,4.387371,[39  4] ; [246   7],[41.40202703  1.59797297] ; [243.59797297   9.40202703],0
s8,1,0.043167,4.088831,[19 24] ; [154 100],[25.04713805 17.95286195] ; [147.95286195 106.04713805],0
s2,1,0.060583,3.521366,[21 22] ; [161  91],[26.52881356 16.47118644] ; [155.47118644  96.52881356],0
s3,1,0.071895,3.23922,[20 22] ; [157  95],[25.28571429 16.71428571] ; [151.71428571 100.28571429],0
r1,1,0.086568,2.937072,[31 12] ; [211  43],[35.03703704  7.96296296] ; [206.96296296  47.03703704],0
n6,1,0.098368,2.731803,[36  7] ; [232  21],[38.93243243  4.06756757] ; [229.06756757  23.93243243],0
a7,1,0.121868,2.393142,[27 15] ; [192  62],[31.07432432 10.92567568] ; [187.92567568  66.07432432],0
p8,1,0.138591,2.193529,[26 17] ; [182  72],[30.11447811 12.88552189] ; [177.88552189  76.11447811],0
p4,1,0.148383,2.088799,[32 11] ; [213  42],[35.35234899  7.64765101] ; [209.64765101  45.35234899],0
r2,1,0.163492,1.941625,[40  3] ; [243   7],[41.53242321  1.46757679] ; [241.46757679   8.53242321],0
r3,1,0.223895,1.479232,[40  3] ; [244   8],[41.39661017  1.60338983] ; [242.60338983   9.39661017],0
s4,1,0.238585,1.388934,[ 6 36] ; [ 56 195],[ 8.88737201 33.11262799] ; [ 53.11262799 197.88737201],0
s5,1,0.249237,1.327577,[15 25] ; [114 127],[18.36298932 21.63701068] ; [110.63701068 130.36298932],0
u2,1,0.295953,1.09234,[12  5] ; [31 24],[10.15277778  6.84722222] ; [32.84722222 22.15277778],0
