Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.982467,[ 82 203] ; [117 103],[112.30693069 172.69306931] ; [ 86.69306931 133.30693069],1
p9,1,0.000354,12.761277,[217  71] ; [196  27],[232.76712329  55.23287671] ; [180.23287671  42.76712329],1
n5,1,0.000577,11.849666,[183 107] ; [173  51],[200.85603113  89.14396887] ; [155.14396887  68.85603113],1
s5,1,0.000863,11.099973,[ 71 212] ; [ 85 133],[ 88.11976048 194.88023952] ; [ 67.88023952 150.11976048],1
b3,1,0.001262,10.396675,[ 40 114] ; [63 81],[ 53.22818792 100.77181208] ; [49.77181208 94.22818792],0
b2,1,0.001262,10.396675,[ 40 114] ; [63 81],[ 53.22818792 100.77181208] ; [49.77181208 94.22818792],0
a3,1,0.00279,8.940186,[180 113] ; [167  59],[195.89788054  97.10211946] ; [151.10211946  74.89788054],0
a5,1,0.003007,8.803259,[185 108] ; [171  56],[200.59230769  92.40769231] ; [155.40769231  71.59230769],0
s6,1,0.003046,8.779707,[169 120] ; [158  64],[184.93737769 104.06262231] ; [142.06262231  79.93737769],0
p10,1,0.004224,8.184865,[208  83] ; [182  39],[221.66015625  69.33984375] ; [168.33984375  52.66015625],0
r1,1,0.005497,7.708056,[208  84] ; [184  41],[221.40038685  70.59961315] ; [170.59961315  54.40038685],0
p3,1,0.008822,6.858517,[113 179] ; [113 112],[127.64410058 164.35589942] ; [ 98.35589942 126.64410058],0
s8,1,0.009517,6.723112,[ 93 199] ; [ 97 129],[107.1042471 184.8957529] ; [ 82.8957529 143.1042471],0
p6,1,0.012607,6.223502,[ 91 202] ; [ 91 127],[104.35616438 188.64383562] ; [ 77.64383562 140.35616438],0
n2,1,0.022337,5.219352,[64 30] ; [42  7],[69.67832168 24.32167832] ; [36.32167832 12.67832168],0
a4,1,0.028577,4.792943,[110 183] ; [106 119],[122.17760618 170.82239382] ; [ 93.82239382 131.17760618],0
n4,1,0.030836,4.662072,[193 100] ; [168  57],[204.19498069  88.80501931] ; [156.80501931  68.19498069],0
n1,1,0.035927,4.400549,[31 63] ; [25 24],[36.81118881 57.18881119] ; [19.18881119 29.81118881],0
p4,1,0.047613,3.923604,[151 141] ; [136  89],[162.0967118 129.9032882] ; [124.9032882 100.0967118],0
a8,1,0.048028,3.909007,[ 27 251] ; [ 32 172],[ 34.02904564 243.97095436] ; [ 24.97095436 179.02904564],0
a2,1,0.051848,3.780655,[ 53 240] ; [ 57 170],[ 61.98076923 231.01923077] ; [ 48.01923077 178.98076923],0
b5,1,0.054305,3.70331,[168 125] ; [149  78],[178.61730769 114.38269231] ; [138.38269231  88.61730769],0
r2,1,0.080216,3.060526,[266  24] ; [216  10],[270.89147287  19.10852713] ; [211.10852713  14.89147287],0
u3,1,0.087613,2.91769,[59 52] ; [40 20],[64.26315789 46.73684211] ; [34.73684211 25.26315789],0
p7,1,0.099108,2.719833,[164 123] ; [141  78],[172.99407115 114.00592885] ; [132.00592885  86.99407115],0
r3,1,0.101057,2.688787,[267  25] ; [215  11],[271.70656371  20.29343629] ; [210.29343629  15.70656371],0
s2,1,0.105006,2.62781,[127 165] ; [114 111],[136.11605416 155.88394584] ; [104.88394584 120.11605416],0
u1,1,0.108606,2.574391,[ 38 255] ; [ 41 186],[ 44.51346154 248.48653846] ; [ 34.48653846 192.51346154],0
b1,1,0.151841,2.053662,[124 169] ; [ 82 145],[116.07307692 176.92692308] ; [ 89.92692308 137.07307692],0
p8,1,0.160439,1.970084,[135 157] ; [116 105],[142.86939571 149.13060429] ; [108.13060429 112.86939571],0
p5,1,0.172603,1.860193,[ 18 275] ; [ 21 204],[ 22.05984556 270.94015444] ; [ 16.94015444 208.05984556],0
p12,1,0.187587,1.736468,[ 10 283] ; [ 13 210],[ 13.06007752 279.93992248] ; [  9.93992248 213.06007752],0
d4,1,0.192507,1.69833,[225  68] ; [185  42],[231.01923077  61.98076923] ; [178.98076923  48.01923077],0
u4,1,0.204456,1.610258,[  1 292] ; [  3 224],[  2.25384615 290.74615385] ; [  1.74615385 225.25384615],0
r4,1,0.222499,1.488182,[253  40] ; [204  23],[257.50192308  35.49807692] ; [199.49807692  27.50192308],0
p11,1,0.240337,1.378619,[214  79] ; [176  51],[219.75  73.25] ; [170.25  56.75],0
d5,1,0.258921,1.274515,[222  70] ; [182  45],[227.29865125  64.70134875] ; [176.70134875  50.29865125],0
p2,1,0.283749,1.149045,[234  59] ; [188  37],[238.6988417  54.3011583] ; [183.3011583  41.6988417],0
d1,1,0.313185,1.017196,[147 146] ; [124 103],[152.69807692 140.30192308] ; [118.30192308 108.69807692],0
b4,1,0.419455,0.651843,[160 133] ; [132  95],[164.53076923 128.46923077] ; [127.46923077  99.53076923],0
s1,1,0.503855,0.446807,[ 11 281] ; [  6 216],[  9.65758755 282.34241245] ; [  7.34241245 214.65758755],0
s3,1,0.518961,0.415957,[148 144] ; [121 105],[151.63706564 140.36293436] ; [117.36293436 108.63706564],0
d2,1,0.521552,0.410823,[123 169] ; [102 125],[126.58959538 165.41040462] ; [ 98.41040462 128.58959538],0
a7,1,0.535296,0.384328,[205  87] ; [165  62],[208.16955684  83.83044316] ; [161.83044316  65.16955684],0
s7,1,0.540933,0.373813,[116 167] ; [ 94 121],[119.3373494 163.6626506] ; [ 90.6626506 124.3373494],0
n3,1,0.638185,0.221124,[67 27] ; [36 12],[68.18309859 25.81690141] ; [34.81690141 13.18309859],0
a1,1,0.678244,0.172109,[ 11 282] ; [  7 220],[ 10.14230769 282.85769231] ; [  7.85769231 219.14230769],0
n6,1,0.698347,0.150197,[237  56] ; [185  40],[238.6988417  54.3011583] ; [183.3011583  41.6988417],0
s4,1,0.706077,0.142227,[ 62 227] ; [ 45 179],[ 60.27875244 228.72124756] ; [ 46.72124756 177.27875244],0
u2,1,0.765244,0.089163,[60 51] ; [31 29],[59.07017544 51.92982456] ; [31.92982456 28.07017544],0
