Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.00585,7.595897,[ 1 14] ; [7 6],[ 4.28571429 10.71428571] ; [3.71428571 9.28571429],0
b4,1,0.018191,5.577627,[13  3] ; [5 8],[9.93103448 6.06896552] ; [8.06896552 4.93103448],0
s6,1,0.046939,3.947587,[ 4 12] ; [8 5],[6.62068966 9.37931034] ; [5.37931034 7.62068966],0
d2,1,0.062109,3.480145,[ 6 10] ; [ 1 12],[ 3.86206897 12.13793103] ; [3.13793103 9.86206897],0
s5,1,0.082142,3.021995,[ 1 15] ; [4 9],[ 2.75862069 13.24137931] ; [ 2.24137931 10.75862069],0
d4,1,0.119355,2.425759,[11  5] ; [12  1],[12.68965517  3.31034483] ; [10.31034483  2.68965517],0
n2,1,0.134802,2.23631,[3 5] ; [4 1],[4.30769231 3.69230769] ; [2.69230769 2.30769231],0
r1,1,0.137276,2.208236,[8 8] ; [ 3 10],[6.06896552 9.93103448] ; [4.93103448 8.06896552],0
d3,1,0.137276,2.208236,[8 8] ; [10  3],[9.93103448 6.06896552] ; [8.06896552 4.93103448],0
v4,1,0.137276,2.208236,[8 8] ; [10  3],[9.93103448 6.06896552] ; [8.06896552 4.93103448],0
p7,1,0.197631,1.659799,[ 6 10] ; [8 5],[7.72413793 8.27586207] ; [6.27586207 6.72413793],0
p6,1,0.215869,1.531624,[ 1 14] ; [ 3 10],[ 2.14285714 12.85714286] ; [ 1.85714286 11.14285714],0
n6,1,0.21918,1.509733,[ 5 11] ; [7 6],[6.62068966 9.37931034] ; [5.37931034 7.62068966],0
a7,1,0.21918,1.509733,[11  5] ; [6 7],[9.37931034 6.62068966] ; [7.62068966 5.37931034],0
v1,1,0.233297,1.420648,[ 4 12] ; [6 7],[ 5.51724138 10.48275862] ; [4.48275862 8.51724138],0
p2,1,0.244092,1.356807,[9 7] ; [10  3],[10.48275862  5.51724138] ; [8.51724138 4.48275862],0
n1,1,0.252244,1.310833,[1 7] ; [2 3],[1.84615385 6.15384615] ; [1.15384615 3.84615385],0
u3,1,0.3017,1.066667,[2 6] ; [4 4],[3. 5.] ; [3. 5.],0
a4,1,0.320742,0.98592,[ 5 11] ; [ 2 11],[ 3.86206897 12.13793103] ; [3.13793103 9.86206897],0
d1,1,0.403755,0.697115,[ 6 10] ; [ 3 10],[ 4.96551724 11.03448276] ; [4.03448276 8.96551724],0
v3,1,0.453319,0.56234,[ 2 14] ; [ 3 10],[ 2.75862069 13.24137931] ; [ 2.24137931 10.75862069],0
a5,1,0.534359,0.386095,[8 8] ; [5 8],[7.17241379 8.82758621] ; [5.82758621 7.17241379],0
a3,1,0.534359,0.386095,[8 8] ; [5 8],[7.17241379 8.82758621] ; [5.82758621 7.17241379],0
n3,1,0.568618,0.325,[6 2] ; [3 2],[5.53846154 2.46153846] ; [3.46153846 1.53846154],0
a6,1,0.588439,0.292788,[7 9] ; [7 6],[7.72413793 8.27586207] ; [6.27586207 6.72413793],0
p9,1,0.637947,0.221437,[ 6 10] ; [6 7],[6.62068966 9.37931034] ; [5.37931034 7.62068966],0
s7,1,0.663674,0.189091,[ 3 12] ; [3 8],[ 3.46153846 11.53846154] ; [2.53846154 8.46153846],0
p8,1,0.684498,0.165106,[ 5 11] ; [5 8],[ 5.51724138 10.48275862] ; [4.48275862 8.51724138],0
n4,1,0.684498,0.165106,[ 5 11] ; [5 8],[ 5.51724138 10.48275862] ; [4.48275862 8.51724138],0
b1,1,0.684498,0.165106,[11  5] ; [8 5],[10.48275862  5.51724138] ; [8.51724138 4.48275862],0
r3,1,0.729571,0.119505,[12  4] ; [9 4],[11.5862069  4.4137931] ; [9.4137931 3.5862069],0
b5,1,0.773675,0.082697,[9 7] ; [8 5],[9.37931034 6.62068966] ; [7.62068966 5.37931034],0
p10,1,0.773675,0.082697,[7 9] ; [5 8],[6.62068966 9.37931034] ; [5.37931034 7.62068966],0
p11,1,0.836687,0.042491,[8 8] ; [6 7],[7.72413793 8.27586207] ; [6.27586207 6.72413793],0
p5,1,0.878842,0.023237,[ 1 15] ; [ 1 12],[ 1.10344828 14.89655172] ; [ 0.89655172 12.10344828],0
d5,1,0.897001,0.016758,[9 7] ; [7 6],[8.82758621 7.17241379] ; [7.17241379 5.82758621],0
s8,1,0.904201,0.014486,[ 4 12] ; [ 3 10],[ 3.86206897 12.13793103] ; [3.13793103 9.86206897],0
r4,1,0.904201,0.014486,[ 4 12] ; [ 3 10],[ 3.86206897 12.13793103] ; [3.13793103 9.86206897],0
v2,1,0.904201,0.014486,[ 4 12] ; [ 3 10],[ 3.86206897 12.13793103] ; [3.13793103 9.86206897],0
u2,1,1.0,0.0,[5 3] ; [5 3],[5. 3.] ; [5. 3.],0
