Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000601,11.77285,[24 56] ; [16  7],[31.06796117 48.93203883] ; [ 8.93203883 14.06796117],1
p6,1,0.004217,8.188094,[ 8 71] ; [ 8 15],[12.39215686 66.60784314] ; [ 3.60784314 19.39215686],0
a4,1,0.005297,7.77512,[35 45] ; [ 3 21],[29.23076923 50.76923077] ; [ 8.76923077 15.23076923],0
b5,1,0.033398,4.525253,[34 47] ; [16  8],[38.57142857 42.42857143] ; [11.42857143 12.57142857],0
d3,1,0.039323,4.246843,[38 43] ; [17  7],[42.42857143 38.57142857] ; [12.57142857 11.42857143],0
p2,1,0.039323,4.246843,[38 43] ; [17  7],[42.42857143 38.57142857] ; [12.57142857 11.42857143],0
n6,1,0.042048,4.133254,[40 40] ; [17  6],[44.27184466 35.72815534] ; [12.72815534 10.27184466],0
p4,1,0.042536,4.113763,[18 63] ; [10 13],[21.80769231 59.19230769] ; [ 6.19230769 16.80769231],0
p3,1,0.081912,3.026545,[17 63] ; [ 9 14],[20.19417476 59.80582524] ; [ 5.80582524 17.19417476],0
v2,1,0.109755,2.557748,[25 53] ; [12 12],[28.29411765 49.70588235] ; [ 8.70588235 15.29411765],0
v4,1,0.117782,2.446573,[56 22] ; [21  3],[58.88235294 19.11764706] ; [18.11764706  5.88235294],0
d1,1,0.13391,2.246577,[30 51] ; [13 11],[33.17142857 47.82857143] ; [ 9.82857143 14.17142857],0
b3,1,0.140415,2.173406,[20 31] ; [ 2 10],[17.80952381 33.19047619] ; [4.19047619 7.80952381],0
b2,1,0.140415,2.173406,[20 31] ; [ 2 10],[17.80952381 33.19047619] ; [4.19047619 7.80952381],0
p10,1,0.164055,1.936443,[16 65] ; [ 8 16],[18.51428571 62.48571429] ; [ 5.48571429 18.51428571],0
d2,1,0.188337,1.730577,[34 45] ; [14 10],[36.81553398 42.18446602] ; [11.18446602 12.81553398],0
p11,1,0.231468,1.431818,[36 45] ; [14 10],[38.57142857 42.42857143] ; [11.42857143 12.57142857],0
r2,1,0.243797,1.358503,[64 15] ; [21  2],[65.83333333 13.16666667] ; [19.16666667  3.83333333],0
s7,1,0.266916,1.232529,[11 62] ; [ 6 18],[12.79381443 60.20618557] ; [ 4.20618557 19.79381443],0
s2,1,0.308124,1.038702,[10 70] ; [ 5 19],[11.53846154 68.46153846] ; [ 3.46153846 20.53846154],0
a3,1,0.313825,1.014508,[46 34] ; [11 13],[43.84615385 36.15384615] ; [13.15384615 10.84615385],0
b1,1,0.325712,0.965872,[38 43] ; [14 10],[40.11428571 40.88571429] ; [11.88571429 12.11428571],0
r3,1,0.362467,0.829328,[55 24] ; [19  5],[56.75728155 22.24271845] ; [17.24271845  6.75728155],0
s4,1,0.380143,0.770239,[ 8 73] ; [ 1 23],[ 6.94285714 74.05714286] ; [ 2.05714286 21.94285714],0
v3,1,0.392263,0.731915,[17 61] ; [ 7 16],[18.53465347 59.46534653] ; [ 5.46534653 17.53465347],0
a2,1,0.411981,0.673077,[12 69] ; [ 2 22],[10.8 70.2] ; [ 3.2 20.8],0
a5,1,0.415312,0.663543,[43 38] ; [15  9],[44.74285714 36.25714286] ; [13.25714286 10.74285714],0
a7,1,0.420434,0.649102,[42 37] ; [15  9],[43.7184466 35.2815534] ; [13.2815534 10.7184466],0
n1,1,0.43008,0.622609,[11 23] ; [5 6],[12.08888889 21.91111111] ; [3.91111111 7.08888889],0
s8,1,0.433772,0.612703,[ 6 75] ; [ 3 21],[ 6.94285714 74.05714286] ; [ 2.05714286 21.94285714],0
u2,1,0.434508,0.610744,[14 20] ; [7 6],[15.19148936 18.80851064] ; [5.80851064 7.19148936],0
s3,1,0.443157,0.588095,[23 57] ; [ 5 19],[21.53846154 58.46153846] ; [ 6.46153846 17.53846154],0
p1,1,0.444803,0.58386,[ 6 74] ; [ 3 21],[ 6.92307692 73.07692308] ; [ 2.07692308 21.92307692],0
r4,1,0.447833,0.576132,[47 34] ; [16  8],[48.6 32.4] ; [14.4  9.6],0
n2,1,0.478304,0.502729,[18 17] ; [7 4],[19.02173913 15.97826087] ; [5.97826087 5.02173913],0
d4,1,0.503015,0.44857,[52 27] ; [14 10],[50.62135922 28.37864078] ; [15.37864078  8.62135922],0
a8,1,0.509584,0.434921,[ 4 72] ; [ 2 20],[ 4.65306122 71.34693878] ; [ 1.34693878 20.65306122],0
a6,1,0.513549,0.426829,[48 33] ; [16  8],[49.37142857 31.62857143] ; [14.62857143  9.37142857],0
r1,1,0.522346,0.409259,[51 29] ; [17  7],[52.30769231 27.69230769] ; [15.69230769  8.30769231],0
u1,1,0.571722,0.31981,[ 7 74] ; [ 3 21],[ 7.71428571 73.28571429] ; [ 2.28571429 21.71428571],0
b4,1,0.57983,0.306509,[49 32] ; [13 11],[47.82857143 33.17142857] ; [14.17142857  9.82857143],0
s5,1,0.683649,0.166048,[ 9 71] ; [ 2 22],[ 8.46153846 71.53846154] ; [ 2.53846154 21.46153846],0
d5,1,0.791704,0.069748,[53 28] ; [15  9],[52.45714286 28.54285714] ; [15.54285714  8.45714286],0
v1,1,0.846907,0.037274,[22 59] ; [ 7 17],[22.37142857 58.62857143] ; [ 6.62857143 17.37142857],0
s1,1,0.905779,0.01401,[ 6 73] ; [ 2 22],[ 6.13592233 72.86407767] ; [ 1.86407767 22.13592233],0
n4,1,0.911192,0.01244,[51 29] ; [15  9],[50.76923077 29.23076923] ; [15.23076923  8.76923077],0
n5,1,0.914442,0.011543,[39 41] ; [12 12],[39.23076923 40.76923077] ; [11.76923077 12.23076923],0
u3,1,0.922839,0.009382,[14 21] ; [5 8],[13.85416667 21.14583333] ; [5.14583333 7.85416667],0
n3,1,1.0,0.0,[18 15] ; [6 5],[18. 15.] ; [6. 5.],0
