Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.4e-05,17.196026,[37 22] ; [15 45],[25.78151261 33.21848739] ; [26.21848739 33.78151261],1
a5,1,7.3e-05,15.73552,[50  9] ; [31 30],[39.825 19.175] ; [41.175 19.825],1
a3,1,0.000802,11.235604,[48 10] ; [33 28],[39.4789916 18.5210084] ; [41.5210084 19.4789916],1
a8,1,0.002995,8.81048,[12 42] ; [ 2 55],[ 6.81081081 47.18918919] ; [ 7.18918919 49.81081081],0
n2,1,0.004193,8.198175,[15  3] ; [ 8 13],[10.61538462  7.38461538] ; [12.38461538  8.61538462],0
u3,1,0.056969,3.6235,[10  1] ; [16 11],[7.52631579 3.47368421] ; [18.47368421  8.52631579],0
a4,1,0.067265,3.348535,[28 31] ; [19 42],[23.10833333 35.89166667] ; [23.89166667 37.10833333],0
p11,1,0.094914,2.78899,[37 22] ; [29 32],[32.45 26.55] ; [33.55 27.45],0
r2,1,0.132481,2.263187,[53  5] ; [50 11],[50.20168067  7.79831933] ; [52.79831933  8.20168067],0
p8,1,0.157858,1.99463,[19 39] ; [26 31],[22.69565217 35.30434783] ; [22.30434783 34.69565217],0
p7,1,0.157943,1.993813,[32 25] ; [24 32],[28.24778761 28.75221239] ; [27.75221239 28.24778761],0
r1,1,0.224936,1.4726,[47 12] ; [42 18],[44.12605042 14.87394958] ; [44.87394958 15.12605042],0
d2,1,0.246041,1.345645,[25 33] ; [20 41],[21.93277311 36.06722689] ; [23.06722689 37.93277311],0
n1,1,0.252136,1.311427,[ 7 10] ; [ 5 16],[ 5.36842105 11.63157895] ; [ 6.63157895 14.36842105],0
s2,1,0.267357,1.230257,[19 39] ; [26 35],[21.93277311 36.06722689] ; [23.06722689 37.93277311],0
s1,1,0.271414,1.209586,[ 2 55] ; [ 5 55],[ 3.41025641 53.58974359] ; [ 3.58974359 56.41025641],0
s4,1,0.316006,1.005407,[ 6 53] ; [10 51],[ 7.86666667 51.13333333] ; [ 8.13333333 52.86666667],0
s8,1,0.374993,0.787053,[15 44] ; [20 41],[17.20833333 41.79166667] ; [17.79166667 43.20833333],0
n3,1,0.415426,0.663219,[10  7] ; [15  6],[11.18421053  5.81578947] ; [13.81578947  7.18421053],0
p3,1,0.436628,0.605128,[22 37] ; [18 41],[20. 39.] ; [20. 39.],0
a6,1,0.437837,0.601945,[48 10] ; [47 14],[46.30252101 11.69747899] ; [48.69747899 12.30252101],0
s6,1,0.463227,0.538086,[27 32] ; [32 29],[29.00833333 29.99166667] ; [29.99166667 31.00833333],0
d1,1,0.466947,0.529192,[28 31] ; [33 28],[29.99166667 29.00833333] ; [31.00833333 29.99166667],0
s5,1,0.467353,0.528227,[ 8 46] ; [12 48],[ 9.47368421 44.52631579] ; [10.52631579 49.47368421],0
r4,1,0.474161,0.512264,[45 14] ; [43 18],[43.26666667 15.73333333] ; [44.73333333 16.26666667],0
u2,1,0.565021,0.331085,[8 3] ; [17 10],[7.23684211 3.76315789] ; [17.76315789  9.23684211],0
a2,1,0.589704,0.290806,[14 45] ; [12 49],[12.78333333 46.21666667] ; [13.21666667 47.78333333],0
b1,1,0.591392,0.288175,[29 30] ; [27 34],[27.53333333 31.46666667] ; [28.46666667 32.53333333],0
s3,1,0.596875,0.279735,[28 29] ; [27 34],[26.56779661 30.43220339] ; [28.43220339 32.56779661],0
v3,1,0.616699,0.250534,[16 38] ; [15 44],[14.81415929 39.18584071] ; [16.18584071 42.81415929],0
v1,1,0.62661,0.236685,[23 33] ; [22 38],[21.72413793 34.27586207] ; [23.27586207 36.72413793],0
p9,1,0.64389,0.213691,[39 19] ; [42 17],[40.15384615 17.84615385] ; [40.84615385 18.15384615],0
p6,1,0.646654,0.210145,[11 47] ; [13 45],[12. 46.] ; [12. 46.],0
p10,1,0.650568,0.205185,[34 24] ; [37 22],[35.1965812 22.8034188] ; [35.8034188 23.1965812],0
p4,1,0.653228,0.201855,[24 35] ; [22 38],[22.80672269 36.19327731] ; [23.19327731 36.80672269],0
p5,1,0.661698,0.191467,[ 2 56] ; [ 3 56],[ 2.47863248 55.52136752] ; [ 2.52136752 56.47863248],0
v4,1,0.663799,0.188941,[51  8] ; [51 10],[50.15  8.85] ; [51.85  9.15],0
b4,1,0.697158,0.151445,[34 25] ; [33 28],[32.94166667 26.05833333] ; [34.05833333 26.94166667],0
u1,1,0.72079,0.127737,[ 7 52] ; [ 6 55],[ 6.39166667 52.60833333] ; [ 6.60833333 54.39166667],0
p2,1,0.727934,0.121017,[43 16] ; [42 18],[42.14285714 16.85714286] ; [42.85714286 17.14285714],0
d5,1,0.732783,0.116571,[48 10] ; [49 12],[47.27731092 10.72268908] ; [49.72268908 11.27731092],0
d3,1,0.749755,0.101737,[43 15] ; [46 14],[43.74576271 14.25423729] ; [45.25423729 14.74576271],0
b2,1,0.766866,0.087899,[ 7 24] ; [ 9 26],[ 7.51515152 23.48484848] ; [ 8.48484848 26.51515152],0
b3,1,0.766866,0.087899,[ 7 24] ; [ 9 26],[ 7.51515152 23.48484848] ; [ 8.48484848 26.51515152],0
p1,1,0.788604,0.07189,[ 4 54] ; [ 5 56],[ 4.38655462 53.61344538] ; [ 4.61344538 56.38655462],0
b5,1,0.803484,0.061922,[39 20] ; [39 22],[38.35 20.65] ; [39.65 21.35],0
r3,1,0.822328,0.050424,[51  8] ; [51  9],[50.57142857  8.42857143] ; [51.42857143  8.57142857],0
s7,1,0.838464,0.041558,[17 39] ; [18 38],[17.5 38.5] ; [17.5 38.5],0
d4,1,0.895766,0.017164,[47 11] ; [50 11],[47.27731092 10.72268908] ; [49.72268908 11.27731092],0
v2,1,1.0,0.0,[26 30] ; [26 30],[26. 30.] ; [26. 30.],0
