Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00011,14.953846,[ 7 32] ; [11  4],[13. 26.] ; [ 5. 10.],1
p4,1,0.001501,10.077457,[ 5 35] ; [8 7],[ 9.45454545 30.54545455] ; [ 3.54545455 11.45454545],0
s8,1,0.005494,7.709167,[ 1 39] ; [ 4 11],[ 3.63636364 36.36363636] ; [ 1.36363636 13.63636364],0
r3,1,0.016243,5.776424,[17 22] ; [12  3],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
s2,1,0.023163,5.15625,[ 5 35] ; [6 9],[ 8. 32.] ; [ 3. 12.],0
n6,1,0.033441,4.523077,[16 23] ; [11  4],[19.5 19.5] ; [7.5 7.5],0
b5,1,0.041638,4.149857,[17 23] ; [11  4],[20.36363636 19.63636364] ; [7.63636364 7.36363636],0
b3,1,0.079844,3.068071,[12 14] ; [ 2 10],[ 9.57894737 16.42105263] ; [4.42105263 7.57894737],0
b2,1,0.079844,3.068071,[12 14] ; [ 2 10],[ 9.57894737 16.42105263] ; [4.42105263 7.57894737],0
p5,1,0.115109,2.482639,[ 1 39] ; [ 2 13],[ 2.18181818 37.81818182] ; [ 0.81818182 14.18181818],0
d5,1,0.122379,2.386607,[23 17] ; [12  3],[25.45454545 14.54545455] ; [9.54545455 5.45454545],0
s5,1,0.128403,2.311706,[ 4 35] ; [ 4 11],[ 5.77777778 33.22222222] ; [ 2.22222222 12.77777778],0
p3,1,0.13007,2.291667,[ 6 34] ; [ 5 10],[ 8. 32.] ; [ 3. 12.],0
n1,1,0.131587,2.273684,[11  8] ; [1 4],[9.5 9.5] ; [2.5 2.5],0
v1,1,0.143296,2.142198,[ 8 31] ; [6 9],[10.11111111 28.88888889] ; [ 3.88888889 11.11111111],0
s7,1,0.155827,2.014261,[ 7 30] ; [5 8],[ 8.88 28.12] ; [3.12 9.88],0
r1,1,0.156677,2.006011,[13 27] ; [8 7],[15.27272727 24.72727273] ; [5.72727273 9.27272727],0
v3,1,0.164915,1.928571,[ 5 35] ; [ 4 10],[ 6.66666667 33.33333333] ; [ 2.33333333 11.66666667],0
