Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.9e-05,18.281855,[57  8] ; [24 23],[47.00892857 17.99107143] ; [33.99107143 13.00892857],1
p6,1,0.000173,14.106122,[22 41] ; [ 2 43],[14. 49.] ; [10. 35.],1
p11,1,0.000425,12.417622,[44 21] ; [16 31],[34.82142857 30.17857143] ; [25.17857143 21.82142857],1
p4,1,0.001056,10.727323,[30 34] ; [ 8 39],[21.90990991 42.09009009] ; [16.09009009 30.90990991],0
p9,1,0.001858,9.685038,[50 15] ; [20 22],[42.52336449 22.47663551] ; [27.47663551 14.52336449],0
p7,1,0.002049,9.505484,[32 32] ; [10 37],[24.21621622 39.78378378] ; [17.78378378 29.21621622],0
r4,1,0.003513,8.519949,[36 29] ; [13 34],[28.4375 36.5625] ; [20.5625 26.4375],0
r3,1,0.005924,7.57327,[51 13] ; [26 21],[44.3963964 19.6036036] ; [32.6036036 14.3963964],0
p8,1,0.006606,7.377081,[25 39] ; [ 7 39],[18.61818182 45.38181818] ; [13.38181818 32.61818182],0
n6,1,0.012317,6.264632,[50 15] ; [25 21],[43.91891892 21.08108108] ; [31.08108108 14.91891892],0
d2,1,0.012507,6.237564,[18 47] ; [23 22],[24.22727273 40.77272727] ; [16.77272727 28.22727273],0
p3,1,0.016731,5.724326,[25 40] ; [ 8 38],[19.32432432 45.67567568] ; [13.67567568 32.32432432],0
a5,1,0.020458,5.372358,[23 42] ; [27 20],[29.01785714 35.98214286] ; [20.98214286 26.01785714],0
n3,1,0.028369,4.805492,[16  3] ; [12 11],[12.66666667  6.33333333] ; [15.33333333  7.66666667],0
p10,1,0.030792,4.664501,[41 24] ; [19 26],[35.45454545 29.54545455] ; [24.54545455 20.45454545],0
s1,1,0.036675,4.365459,[ 1 63] ; [ 5 42],[ 3.45945946 60.54054054] ; [ 2.54054054 44.45945946],0
s2,1,0.042667,4.108566,[15 50] ; [ 4 43],[11.02678571 53.97321429] ; [ 7.97321429 39.02678571],0
s5,1,0.046055,3.9796,[ 8 54] ; [ 1 45],[ 5.16666667 56.83333333] ; [ 3.83333333 42.16666667],0
u2,1,0.052317,3.765597,[15 18] ; [ 3 14],[11.88 21.12] ; [ 6.12 10.88],0
s4,1,0.063991,3.430809,[12 53] ; [ 3 44],[ 8.70535714 56.29464286] ; [ 6.29464286 40.70535714],0
s8,1,0.063991,3.430809,[12 53] ; [ 3 44],[ 8.70535714 56.29464286] ; [ 6.29464286 40.70535714],0
s7,1,0.079576,3.073538,[15 46] ; [ 5 40],[11.50943396 49.49056604] ; [ 8.49056604 36.50943396],0
b5,1,0.107937,2.584172,[43 22] ; [24 23],[38.88392857 26.11607143] ; [28.11607143 18.88392857],0
p1,1,0.128273,2.313285,[ 6 59] ; [ 9 38],[ 8.70535714 56.29464286] ; [ 6.29464286 40.70535714],0
a3,1,0.147101,2.102055,[32 32] ; [30 17],[35.74774775 28.25225225] ; [26.25225225 20.74774775],0
r2,1,0.159286,1.980993,[50 14] ; [29 15],[46.81481481 17.18518519] ; [32.18518519 11.81481481],0
n5,1,0.202656,1.623131,[38 27] ; [33 14],[41.20535714 23.79464286] ; [29.79464286 17.20535714],0
a2,1,0.225884,1.466592,[ 4 61] ; [ 6 41],[ 5.80357143 59.19642857] ; [ 4.19642857 42.80357143],0
d1,1,0.314021,1.013686,[19 46] ; [18 29],[21.47321429 43.52678571] ; [15.52678571 31.47321429],0
