Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,79.936179,[197  47] ; [25 63],[163.15662651  80.84337349] ; [58.84337349 29.15662651],1
n6,1,8e-06,19.957817,[209  36] ; [56 33],[194.38622754  50.61377246] ; [70.61377246 18.38622754],1
a5,1,1.1e-05,19.393366,[190  55] ; [47 42],[173.84730539  71.15269461] ; [63.15269461 25.84730539],1
s7,1,3.2e-05,17.323307,[122 110] ; [22 62],[105.72151899 126.27848101] ; [38.27848101 45.72151899],1
a4,1,0.000203,13.799502,[119 126] ; [23 66],[104.16167665 140.83832335] ; [37.83832335 51.16167665],1
d2,1,0.001036,10.76121,[129 115] ; [29 60],[115.77177177 128.22822823] ; [42.22822823 46.77177177],0
a2,1,0.001187,10.511078,[ 66 180] ; [ 9 80],[ 55.07462687 190.92537313] ; [19.92537313 69.07462687],0
p3,1,0.001839,9.703537,[115 129] ; [25 64],[102.58258258 141.41741742] ; [37.41741742 51.58258258],0
p11,1,0.004469,8.082689,[188  58] ; [54 35],[177.70746269  68.29253731] ; [64.29253731 24.70746269],0
p10,1,0.011408,6.400607,[189  54] ; [57 32],[180.05421687  62.94578313] ; [65.94578313 23.05421687],0
a3,1,0.017229,5.672913,[176  68] ; [52 37],[167.06306306  76.93693694] ; [60.93693694 28.06306306],0
u1,1,0.018699,5.529495,[ 49 197] ; [ 8 81],[ 41.85671642 204.14328358] ; [15.14328358 73.85671642],0
s3,1,0.024337,5.07047,[145  97] ; [41 48],[135.98791541 106.01208459] ; [50.01208459 38.98791541],0
a8,1,0.02545,4.993025,[ 32 192] ; [ 4 77],[ 26.43934426 197.56065574] ; [ 9.56065574 71.43934426],0
r4,1,0.02828,4.810888,[231  15] ; [77 12],[226.17313433  19.82686567] ; [81.82686567  7.17313433],0
s6,1,0.029582,4.733403,[160  79] ; [48 41],[151.56097561  87.43902439] ; [56.43902439 32.56097561],0
p6,1,0.030135,4.7016,[ 76 168] ; [17 72],[ 68.14414414 175.85585586] ; [24.85585586 64.14414414],0
s8,1,0.031787,4.609936,[ 97 147] ; [24 65],[ 88.66066066 155.33933934] ; [32.33933934 56.66066066],0
p9,1,0.048133,3.905332,[188  53] ; [60 29],[181.11515152  59.88484848] ; [66.88484848 22.11515152],0
p1,1,0.052211,3.768999,[ 20 223] ; [ 2 87],[ 16.10240964 226.89759036] ; [ 5.89759036 83.10240964],0
s4,1,0.059027,3.564516,[ 38 204] ; [22 67],[ 43.86706949 198.13293051] ; [16.13293051 72.86706949],0
s2,1,0.059502,3.551209,[120 124] ; [33 55],[112.44578313 131.55421687] ; [40.55421687 47.44578313],0
p4,1,0.073241,3.208838,[132 111] ; [38 50],[124.80362538 118.19637462] ; [45.19637462 42.80362538],0
d1,1,0.079632,3.072406,[148  98] ; [44 45],[140.99104478 105.00895522] ; [51.00895522 37.99104478],0
r2,1,0.08238,3.017317,[233  10] ; [81  8],[229.8253012  13.1746988] ; [84.1746988  4.8253012],0
d5,1,0.086139,2.945086,[200  45] ; [65 24],[194.38622754  50.61377246] ; [70.61377246 18.38622754],0
