Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,79.350911,[342  86] ; [66 92],[297.99317406 130.00682594] ; [110.00682594  47.99317406],1
d3,1,0.0,59.436868,[343  86] ; [75 83],[305.48892675 123.51107325] ; [112.51107325  45.48892675],1
a2,1,0.0,45.801145,[155 276] ; [ 12 146],[122.20203735 308.79796265] ; [ 44.79796265 113.20203735],1
u1,1,0.0,29.63653,[121 310] ; [ 11 147],[ 96.59083192 334.40916808] ; [ 35.40916808 122.59083192],1
b5,1,1e-06,23.783262,[279 152] ; [67 91],[253.18505942 177.81494058] ; [92.81494058 65.18505942],1
d1,1,0.000545,11.954393,[293 138] ; [83 75],[275.13752122 155.86247878] ; [100.86247878  57.13752122],1
b3,1,0.002038,9.515217,[ 94 177] ; [56 52],[107.25593668 163.74406332] ; [42.74406332 65.25593668],0
b2,1,0.002038,9.515217,[ 94 177] ; [56 52],[107.25593668 163.74406332] ; [42.74406332 65.25593668],0
r4,1,0.003692,8.429601,[419  12] ; [145  13],[412.70628183  18.29371817] ; [151.29371817   6.70628183],0
b1,1,0.004806,7.950879,[160 271] ; [79 79],[174.88794567 256.11205433] ; [64.11205433 93.88794567],0
r2,1,0.006353,7.447225,[422   7] ; [146   9],[417.24657534  11.75342466] ; [150.75342466   4.24657534],0
p4,1,0.008389,6.948402,[286 141] ; [86 70],[272.45969125 154.54030875] ; [99.54030875 56.45969125],0
r3,1,0.013064,6.160385,[417  11] ; [147  11],[411.93174061  16.06825939] ; [152.06825939   5.93174061],0
a5,1,0.03179,4.609802,[356  75] ; [118  40],[346.84889643  84.15110357] ; [127.15110357  30.84889643],0
s5,1,0.037135,4.344227,[139 274] ; [66 87],[149.58480565 263.41519435] ; [55.41519435 97.58480565],0
u3,1,0.037508,4.327212,[69 37] ; [19 22],[63.45578231 42.54421769] ; [24.54421769 16.45578231],0
a4,1,0.039513,4.238687,[227 202] ; [68 89],[215.96416382 213.03583618] ; [79.03583618 77.96416382],0
v4,1,0.043934,4.059104,[417  12] ; [147  10],[412.89419795  16.10580205] ; [151.10580205   5.89419795],0
v2,1,0.049001,3.87532,[255 160] ; [80 73],[244.76232394 170.23767606] ; [90.23767606 62.76232394],0
d4,1,0.056104,3.648963,[367  62] ; [124  33],[359.45221843  69.54778157] ; [131.54778157  25.45221843],0
s4,1,0.068005,3.330534,[ 55 366] ; [ 30 127],[ 61.91176471 359.08823529] ; [ 23.08823529 133.91176471],0
s8,1,0.072599,3.223257,[198 226] ; [87 71],[207.62886598 216.37113402] ; [77.37113402 80.62886598],0
a8,1,0.102764,2.662112,[ 70 307] ; [ 19 131],[ 63.66793169 313.33206831] ; [ 25.33206831 124.66793169],0
n2,1,0.125077,2.35257,[59 17] ; [23 13],[55.64285714 20.35714286] ; [26.35714286  9.64285714],0
n3,1,0.126951,2.329396,[57 18] ; [21 13],[53.66972477 21.33027523] ; [24.33027523  9.66972477],0
p1,1,0.128011,2.316457,[ 45 383] ; [ 10 147],[ 40.23931624 387.76068376] ; [ 14.76068376 142.23931624],0
s7,1,0.15708,2.002113,[218 189] ; [91 60],[225.38172043 181.61827957] ; [83.61827957 67.38172043],0
d5,1,0.160302,1.971376,[365  64] ; [126  31],[359.45221843  69.54778157] ; [131.54778157  25.45221843],0
p2,1,0.206321,1.597053,[368  62] ; [126  29],[363.11111111  66.88888889] ; [130.88888889  24.11111111],0
p9,1,0.244093,1.356797,[362  62] ; [127  29],[357.47586207  66.52413793] ; [131.52413793  24.47586207],0
b4,1,0.279169,1.17113,[256 175] ; [86 72],[250.25806452 180.74193548] ; [91.74193548 66.25806452],0
