Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000131,14.63245,[66 16] ; [22 24],[56.375 25.625] ; [31.625 14.375],1
p4,1,0.002864,8.892198,[66 16] ; [25 20],[58.75590551 23.24409449] ; [32.24409449 12.75590551],0
a3,1,0.01301,6.167757,[59 23] ; [23 23],[52.53125 29.46875] ; [29.46875 16.53125],0
r1,1,0.015897,5.814267,[66 16] ; [28 18],[60.21875 21.78125] ; [33.78125 12.21875],0
s5,1,0.018601,5.538687,[40 39] ; [13 32],[33.76612903 45.23387097] ; [19.23387097 25.76612903],0
p7,1,0.019459,5.459811,[72 10] ; [32 13],[67.1496063 14.8503937] ; [36.8503937  8.1496063],0
s6,1,0.021123,5.31658,[59 19] ; [25 20],[53.26829268 24.73170732] ; [30.73170732 14.26829268],0
d4,1,0.025653,4.97924,[67 14] ; [30 16],[61.86614173 19.13385827] ; [35.13385827 10.86614173],0
s8,1,0.029138,4.759414,[52 30] ; [20 26],[46.125 35.875] ; [25.875 20.125],0
s3,1,0.029805,4.720503,[53 28] ; [21 25],[47.19685039 33.80314961] ; [26.80314961 19.19685039],0
s7,1,0.038286,4.292251,[50 30] ; [19 25],[44.51612903 35.48387097] ; [24.48387097 19.51612903],0
s4,1,0.051668,3.7865,[23 59] ; [ 6 40],[18.578125 63.421875] ; [10.421875 35.578125],0
d1,1,0.081972,3.025356,[47 35] ; [19 27],[42.28125 39.71875] ; [23.71875 22.28125],0
b5,1,0.105766,2.616372,[29 53] ; [23 23],[33.3125 48.6875] ; [18.6875 27.3125],0
p11,1,0.111189,2.537238,[70 12] ; [34 12],[66.625 15.375] ; [37.375  8.625],0
n2,1,0.114653,2.488889,[7 7] ; [11  3],[9. 5.] ; [9. 5.],0
p2,1,0.116638,2.461897,[74  8] ; [37  9],[71.109375 10.890625] ; [39.890625  6.109375],0
s2,1,0.140562,2.171792,[45 37] ; [19 27],[41. 41.] ; [23. 23.],0
d2,1,0.148035,2.092383,[43 39] ; [18 28],[39.078125 42.921875] ; [21.921875 24.078125],0
p12,1,0.14929,2.079496,[ 7 74] ; [ 1 45],[ 5.1023622 75.8976378] ; [ 2.8976378 43.1023622],0
a2,1,0.153608,2.036055,[ 7 75] ; [ 1 45],[ 5.125 76.875] ; [ 2.875 43.125],0
p10,1,0.153608,2.036055,[72 10] ; [36 10],[69.1875 12.8125] ; [38.8125  7.1875],0
p5,1,0.155884,2.013704,[17 65] ; [ 5 41],[14.09375 67.90625] ; [ 7.90625 38.09375],0
n4,1,0.161137,1.963522,[69 13] ; [34 12],[65.984375 16.015625] ; [37.015625  8.984375],0
r4,1,0.179817,1.799132,[73  9] ; [37  9],[70.46875 11.53125] ; [39.53125  6.46875],0
r3,1,0.203326,1.618325,[78  4] ; [41  5],[76.234375  5.765625] ; [42.765625  3.234375],0
v2,1,0.243703,1.359045,[46 34] ; [21 24],[42.88 37.12] ; [24.12 20.88],0
p9,1,0.260456,1.266333,[72 10] ; [37  9],[69.828125 12.171875] ; [39.171875  6.828125],0
p1,1,0.307938,1.0395,[10 72] ; [ 3 43],[ 8.328125 73.671875] ; [ 4.671875 41.328125],0
n3,1,0.309558,1.032561,[7 7] ; [9 4],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
a1,1,0.313605,1.015432,[ 5 77] ; [ 1 45],[ 3.84375 78.15625] ; [ 2.15625 43.84375],0
a6,1,0.391919,0.73298,[33 49] ; [15 31],[30.75 51.25] ; [17.25 28.75],0
p6,1,0.459207,0.547826,[42 38] ; [21 25],[40. 40.] ; [23. 23.],0
a4,1,0.526771,0.400617,[35 47] ; [17 29],[33.3125 48.6875] ; [18.6875 27.3125],0
n5,1,0.538381,0.378549,[64 18] ; [38  8],[65.34375 16.65625] ; [36.65625  9.34375],0
s1,1,0.551483,0.354668,[ 2 80] ; [ 2 44],[ 2.5625 79.4375] ; [ 1.4375 44.5625],0
u2,1,0.551944,0.353846,[14  9] ; [12 11],[13. 10.] ; [13. 10.],0
v3,1,0.560418,0.33898,[36 45] ; [18 28],[34.44094488 46.55905512] ; [19.55905512 26.44094488],0
d5,1,0.58466,0.298761,[60 21] ; [32 14],[58.67716535 22.32283465] ; [33.32283465 12.67716535],0
b2,1,0.584834,0.298484,[23 30] ; [10 17],[21.8625 31.1375] ; [11.1375 15.8625],0
b3,1,0.584834,0.298484,[23 30] ; [10 17],[21.8625 31.1375] ; [11.1375 15.8625],0
n6,1,0.680181,0.169923,[70 12] ; [38  8],[69.1875 12.8125] ; [38.8125  7.1875],0
u1,1,0.694736,0.154006,[ 4 78] ; [ 3 43],[ 4.484375 77.515625] ; [ 2.515625 43.484375],0
u3,1,0.764599,0.089669,[ 9 14] ; [10 13],[ 9.5 13.5] ; [ 9.5 13.5],0
v1,1,0.786544,0.073333,[42 39] ; [25 21],[42.73228346 38.26771654] ; [24.26771654 21.73228346],0
b1,1,0.79106,0.07019,[39 43] ; [23 23],[39.71875 42.28125] ; [22.28125 23.71875],0
d3,1,0.917431,0.010748,[40 42] ; [22 24],[39.71875 42.28125] ; [22.28125 23.71875],0
b4,1,0.917431,0.010748,[42 40] ; [24 22],[42.28125 39.71875] ; [23.71875 22.28125],0
r2,1,0.931033,0.00749,[72  9] ; [38  5],[71.85483871  9.14516129] ; [38.14516129  4.85483871],0
a8,1,0.943507,0.005022,[10 71] ; [ 5 37],[ 9.87804878 71.12195122] ; [ 5.12195122 36.87804878],0
n1,1,1.0,0.0,[7 7] ; [7 7],[7. 7.] ; [7. 7.],0
