Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,29.859484,[132  95] ; [40 99],[106.67759563 120.32240437] ; [65.32240437 73.67759563],1
v2,1,1e-06,23.404208,[159  70] ; [59 76],[137.14835165  91.85164835] ; [80.85164835 54.14835165],1
n1,1,0.000769,11.315136,[20 10] ; [ 6 21],[13.68421053 16.31578947] ; [12.31578947 14.68421053],1
p4,1,0.000854,11.119983,[191  40] ; [94 45],[177.93243243  53.06756757] ; [107.06756757  31.93243243],1
s5,1,0.001434,10.161079,[102 119] ; [40 97],[ 87.65921788 133.34078212] ; [54.34078212 82.65921788],0
n5,1,0.003517,8.517618,[215  16] ; [116  23],[206.65135135  24.34864865] ; [124.34864865  14.65135135],0
s8,1,0.004058,8.257588,[132  96] ; [59 80],[118.65940054 109.34059946] ; [72.34059946 66.65940054],0
p9,1,0.004161,8.212204,[216  14] ; [118  21],[208.18428184  21.81571816] ; [125.81571816  13.18428184],0
b3,1,0.004667,8.003989,[66 87] ; [21 64],[55.92857143 97.07142857] ; [31.07142857 53.92857143],0
b2,1,0.004667,8.003989,[66 87] ; [21 64],[55.92857143 97.07142857] ; [31.07142857 53.92857143],0
d1,1,0.011323,6.413845,[161  71] ; [79 61],[149.67741935  82.32258065] ; [90.32258065 49.67741935],0
a5,1,0.027223,4.876624,[190  42] ; [101  39],[181.48387097  50.51612903] ; [109.51612903  30.48387097],0
p6,1,0.029036,4.765483,[129 100] ; [62 77],[118.85597826 110.14402174] ; [72.14402174 66.85597826],0
d4,1,0.033823,4.503606,[200  30] ; [110  30],[192.7027027  37.2972973] ; [117.2972973  22.7027027],0
n2,1,0.037502,4.327484,[27  3] ; [19  9],[23.79310345  6.20689655] ; [22.20689655  5.79310345],0
p10,1,0.040362,4.202613,[211  19] ; [118  21],[205.06775068  24.93224932] ; [123.93224932  15.06775068],0
r4,1,0.053568,3.726116,[222  10] ; [127  13],[217.65591398  14.34408602] ; [131.34408602   8.65591398],0
d5,1,0.054526,3.69651,[197  33] ; [109  31],[190.21621622  39.78378378] ; [115.78378378  24.21621622],0
